sample,breed,BioProject,BioSample,Organism,sex,Continent,Country,Locality,refGenome,refSpecies
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:Q538949,,PRJNA599025,SAMN13737514,Anas_poecilorhyncha,male,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:Q538932,,PRJNA599025,SAMN13737513,Anas_poecilorhyncha,female,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:Q538852,,PRJNA599025,SAMN13737512,Anas_poecilorhyncha,male,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P289334,,PRJNA599025,SAMN13737511,Anas_poecilorhyncha,female,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P289316,,PRJNA599025,SAMN13737510,Anas_poecilorhyncha,female,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P289124,,PRJNA599025,SAMN13737509,Anas_poecilorhyncha,male,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288913,,PRJNA599025,SAMN13737508,Anas_poecilorhyncha,female,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288911,,PRJNA599025,SAMN13737507,Anas_poecilorhyncha,male,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288866,,PRJNA599025,SAMN13737506,Anas_poecilorhyncha,female,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288663,,PRJNA599025,SAMN13737505,Anas_poecilorhyncha,male,,,,GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:10,Mallard,PRJNA450892,SAMN08952547,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:102,Mallard,PRJNA450892,SAMN08952580,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:16,Mallard,PRJNA450892,SAMN08952548,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:17,Mallard,PRJNA450892,SAMN08952549,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:18,Mallard,PRJNA450892,SAMN08952550,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:21,Mallard,PRJNA450892,SAMN08952551,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
