BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Ecotype,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJDB2614,SAMD00013056,Gasterosteus_aculeatus,missing,SAMD00013056,Japan,Asia,Japan: Akkeshi,"43.099569 N\, 144.881902 E",marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,1772594,0.0386714,45827893,56.282,-7.20414e-4,0.00337635,-0.0354063,-0.0950756,-0.0971292,0.02401,-0.00544266,0.00587021,-0.00889047,0.0013564200000000001,cluster_1,ingroup,NA
PRJEB5198,SAMEA2338591,Gasterosteus_aculeatus,female,BS42b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,1775158,0.0387273,45828289,23.2673,0.00188545,-0.00610209,-0.0315741,-0.0105247,-0.0292613,-0.0102558,-0.0212932,-0.037134,0.164737,-0.1004,cluster_1,ingroup,NA
PRJEB5198,SAMEA2338566,Gasterosteus_aculeatus,male,BS33,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,1831679,0.0399604,45830290,25.8873,0.0394293,-0.00603923,-0.0537373,-0.022692,-0.0477648,-0.0212561,-0.023853,-0.0474837,0.204566,-0.0589132,cluster_4,ingroup,NA
PRJDB2614,SAMD00013057,Gasterosteus_aculeatus,missing,SAMD00013057,Japan,Asia,Japan: Akkeshi,"43.099569 N\, 144.881902 E",marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,1839753,0.0401365,45828807,50.8176,8.98042e-4,0.00479536,-0.0403299,-0.0902175,-0.0917354,0.0377248,0.0139314,-0.00467466,-0.0192068,0.0547067,cluster_1,ingroup,NA
PRJEB5198,SAMEA2338544,Gasterosteus_aculeatus,female,BS40b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,1864283,0.0406717,45830181,25.3862,0.0372961,-0.00399359,-0.0594313,-0.0199278,-0.049834,-0.00422437,-0.00280384,-0.058531,0.202172,-0.00403173,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338578,Gasterosteus_aculeatus,female,BS36b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2103696,0.0458948,45829810,18.9547,0.0377846,-0.00428535,-0.059399,-0.0197866,-0.0503762,-0.00493544,-0.00334484,-0.0599638,0.203548,-0.00587423,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338550,Gasterosteus_aculeatus,female,BS35,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2115941,0.0461619,45829956,20.2361,0.0393242,-0.00549466,-0.058113,-0.0180215,-0.0463686,-0.00669507,-0.00159189,-0.0579057,0.1892,-0.00287388,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338574,Gasterosteus_aculeatus,male,BS41,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2176441,0.0474818,45830196,26.157,0.0388322,-0.00639444,-0.0522932,-0.0244044,-0.048983,-0.0206383,-0.0214594,-0.0447872,0.20223,-0.0596891,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338547,Gasterosteus_aculeatus,male,BS52b,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2178242,0.0475211,45829080,25.6599,0.0594199,-0.0106236,-0.0348636,0.0113008,-0.0148606,-0.203774,-0.00470475,0.013356,-0.0207529,-0.0381358,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338597,Gasterosteus_aculeatus,male,BS34b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2237309,0.0488097,45827959,15.0287,0.0355942,-0.00539321,-0.0546224,-0.0263499,-0.0549518,-0.017616,-0.0224243,-0.0482566,0.21074,-0.060888,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338583,Gasterosteus_aculeatus,female,BS32b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2265119,0.0494164,45829500,18.6608,0.0382459,-0.00443301,-0.0593052,-0.0195546,-0.0503804,-0.00746632,-0.00254098,-0.0614385,0.204395,-0.00373207,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338570,Gasterosteus_aculeatus,female,BS31b,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2386668,0.0520682,45828378,16.3724,0.0383202,-0.00489273,-0.057263,-0.0145067,-0.0402411,-0.00816577,-0.00330691,-0.0551071,0.189274,-0.00305715,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338586,Gasterosteus_aculeatus,female,BS50b,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2414398,0.0526731,45828773,19.0712,0.0627007,-0.00970672,-0.0372949,0.0190392,-0.0107742,-0.193928,0.0153844,0.00322517,-0.0328133,0.0200615,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338548,Gasterosteus_aculeatus,female,BS54,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2486641,0.0542492,45828889,19.5342,0.0614772,-0.00913818,-0.0372728,0.0179951,-0.0120734,-0.190839,0.0143176,0.00317109,-0.0335561,0.0189769,cluster_4,ingroup,NA
PRJNA530695,SAMN11322332,Gasterosteus_aculeatus,female,Tyne2_20,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2489019,0.0543011,45816410,28.6366,-0.0636159,-0.00741858,0.0169133,0.0105325,0.0104991,0.00443048,-0.00693891,0.0124017,-0.0123218,0.0463709,cluster_3,ingroup,NA
PRJNA530695,SAMN11322340,Gasterosteus_aculeatus,female,LITC_DWN_6,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2508356,0.0547229,45813482,25.0486,0.00951433,0.00214504,-0.0432433,-0.075992,-0.124292,0.0482994,0.0128217,0.0201063,-0.0934035,-0.0156871,cluster_1,ingroup,NA
PRJEB15181,SAMEA4385623,Gasterosteus_aculeatus,missing,Kob_M28,Greenland,North America,Kobbefjord,"64° 8016.77′′N, 51°23027.52′′W",marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2532698,0.055254,45826878,24.116,-0.0585866,-0.00657611,0.0132549,0.00614496,0.00495573,0.00584301,-0.00473063,0.00868961,-0.0128705,0.037351,cluster_3,ingroup,NA
