BioSample,BioProject,Organism,sex,Strain,refGenome,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMN18196815,PRJNA323498,Hirundo smithii,not determined,NA,GCA_015227805.2,108225922,0,3712242,0.0343009,108187139,10.0066,0.188435,0.977135,0.00106584,0.012551,0.00728367,0.0175982,0.00585524,5.36863e-4,-0.00140765,-0.00160326,cluster_4,outgroup,NA
SAMN18196761,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,8242823,0.0761631,108168832,6.08643,0.101943,-0.0253741,0.0368457,-0.0615318,-0.00704257,-0.0710604,0.00295884,-0.0263895,-0.00877008,-0.00826634,cluster_5,ingroup,NA
SAMN18196808,PRJNA323498,Hirundo rustica,female,tytleri,GCA_015227805.2,108225922,0,8373818,0.0773735,108169282,6.69962,0.00280876,-0.00669257,-0.103595,-0.00140765,-0.0450922,-0.064914,-0.0339216,-0.0630765,0.0162811,0.00895245,cluster_3,ingroup,NA
SAMN18196802,PRJNA323498,Hirundo rustica,male,transitiva,GCA_015227805.2,108225922,0,8376660,0.0773998,108169287,6.90531,0.139266,-0.0390196,0.0482123,0.129219,-0.00229164,0.0237454,-0.00783479,0.0499784,-0.0281379,0.00321905,cluster_5,ingroup,NA
SAMN18196711,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,8619787,0.0796462,108167023,6.09054,-0.0191193,0.00325999,0.0918974,-0.0504353,0.0507885,-0.0367666,-0.0425923,-0.013948,0.0239124,-0.0175274,cluster_3,ingroup,NA
SAMN18196700,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,8771948,0.0810522,108167354,6.02062,-0.0965599,0.0109438,0.0515588,0.0125463,0.00647002,-0.0416546,0.00777067,-4.95122e-4,-0.00175206,-0.0129784,cluster_1,ingroup,NA
SAMN18196739,PRJNA323498,Hirundo rustica,male,rustica-tytleri,GCA_015227805.2,108225922,0,8874349,0.0819984,108168086,7.47064,0.00125959,-0.00758286,-0.102978,-0.00945618,-0.0457039,0.0819213,-0.0223836,0.00473073,0.0110868,0.0142767,cluster_3,ingroup,NA
SAMN18196794,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,9081774,0.083915,108165942,5.61666,-0.0668818,0.00175562,-0.0120482,0.0171671,-0.0179636,-0.0775851,0.00418133,-0.0133102,0.026752,-0.00531432,cluster_1,ingroup,NA
SAMN18196705,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,9085497,0.0839494,108166168,5.48802,-0.0938997,0.0140096,0.0321097,0.0107846,0.00329578,-0.0682537,-0.008548,-0.0019658,0.0202348,-0.020339,cluster_1,ingroup,NA
SAMN18196781,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,9208703,0.0850878,108171198,7.23454,-0.0283786,-0.00239615,-0.0519799,-0.003953,-0.0435119,-0.0495777,-0.00187884,-0.0193414,0.00652321,-0.00727168,cluster_3,ingroup,NA
SAMN18196712,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,9272149,0.085674,108167500,5.59539,-0.0579334,-0.00140638,0.0645545,-0.00981668,0.028741,-0.0779024,-0.0254074,-0.0110594,0.0568467,-0.00138298,cluster_1,ingroup,NA
SAMN18196707,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,9412453,0.0869704,108163702,5.7549,0.057553,-0.0207227,0.104908,-0.100116,0.0502175,0.120095,-0.0839316,0.00323641,0.0204971,0.0149536,cluster_2,ingroup,NA
SAMN18196809,PRJNA323498,Hirundo rustica,male,tytleri,GCA_015227805.2,108225922,0,9499952,0.087778900000000007,108168074,6.33878,0.00766919,-0.009582,-0.101184,0.00108474,-0.0599057,0.0511359,-0.0211233,0.00485151,0.00455082,0.0318572,cluster_3,ingroup,NA
SAMN18196803,PRJNA323498,Hirundo rustica,male,transitiva,GCA_015227805.2,108225922,0,9530261,0.0880589,108167888,5.86941,0.154734,-0.0360729,0.0591982,0.192186,0.00658841,0.0664668,-0.0023031699999999998,-0.0659277,0.00421607,-0.0320933,cluster_5,ingroup,NA
SAMN18196754,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,9548047,0.0882233,108167857,5.30903,0.0906417,-0.021635,0.0284469,-0.0812764,0.0150553,-0.0757774,-0.0246856,-0.068593199999999993,0.0141181,0.0712839,cluster_2,ingroup,NA
SAMN18196713,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,9558156,0.0883167,108165367,5.3472,0.0788234,-0.0202187,0.0904226,-0.123656,0.0533342,-0.0261232,-0.192921,-0.0618319,0.0695434,-0.0220713,cluster_2,ingroup,NA
SAMN18196800,PRJNA323498,Hirundo rustica,male,transitiva,GCA_015227805.2,108225922,0,9683953,0.0894791,108166537,5.79449,0.137047,-0.0392188,0.0415136,0.119264,0.00393279,0.0348285,0.00121527,0.00197044,-0.0204367,0.00306648,cluster_5,ingroup,NA
SAMN18196774,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,9751675,0.0901048,108168065,5.96269,-0.0254104,0.00269734,-0.0539614,-0.0132569,-0.0321221,-0.0469086,-0.025694,-0.0276231,-0.00366271,0.0177578,cluster_3,ingroup,NA
SAMN18196714,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,9908433,0.0915532,108168310,6.06937,0.0393982,-0.0149853,0.0840432,-0.0867785,0.0410601,0.094665,-0.0774859,-0.00526947,0.0103373,0.00921451,cluster_2,ingroup,NA
SAMN18196676,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,9913759,0.0916024,108166458,5.71738,-0.122751,0.0139353,0.0765832,0.0238971,0.00320495,-0.0513857,0.0208752,-0.018952,-0.0151695,0.007099,cluster_1,ingroup,NA
SAMN18196798,PRJNA323498,Hirundo rustica,male,transitiva,GCA_015227805.2,108225922,0,9919313,0.0916538,108161947,5.87573,0.173176,-0.0470096,0.0815494,0.405227,-0.00688637,0.136799,0.0498751,-0.437799,0.135382,-0.129067,cluster_5,ingroup,NA
SAMN18196709,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,10012351,0.0925134,108165854,5.36663,-0.0512976,0.0033779,0.072709,-0.0249347,0.0214174,-0.0626677,-0.020911,0.0173694,0.0123795,0.00625648,cluster_3,ingroup,NA
SAMN18196724,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,10017620,0.0925621,108166624,6.0206,0.0539044,-0.0180688,0.107399,-0.0957836,0.0497966,0.127441,-0.0893375,-0.0151327,0.0259703,-0.0109,cluster_2,ingroup,NA
SAMN18196799,PRJNA323498,Hirundo rustica,female,transitiva,GCA_015227805.2,108225922,0,10089445,0.0932258,108169671,5.50391,0.13285,-0.0313742,0.0594963,0.135184,0.0129501,-0.110125,-0.0259366,-0.0182534,-0.0104345,-0.0334408,cluster_5,ingroup,NA
SAMN18196723,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,10095821,0.0932847,108168487,5.58284,0.0504618,-0.0190136,0.106055,-0.0961382,0.0471596,0.101939,-0.0818764,-0.0100698,0.00427198,-0.017577,cluster_2,ingroup,NA
SAMN18196687,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,10114317,0.0934556,108165740,5.43949,-0.0903481,0.00544134,0.0776047,0.0118447,0.0178742,-0.0593594,0.025139,-0.0214999,0.00203786,-0.0111914,cluster_1,ingroup,NA
SAMN18196795,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,10134606,0.0936431,108165547,5.07859,-0.0672625,0.00795205,0.00307154,0.00957445,-0.0114257,-0.0606986,0.00834905,-0.0216324,-0.00493221,0.00850496,cluster_1,ingroup,NA
SAMN18196721,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,10145666,0.0937452,108167015,5.23768,0.0392466,-0.00915102,0.0917447,-0.13841,0.0556087,-0.0205191,-0.138596,-0.0449001,0.0334168,-0.0129027,cluster_2,ingroup,NA
SAMN18196769,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,10353534,0.0956659,108166246,5.80749,-0.109707,0.0111678,0.074891,0.0410109,0.0113808,0.0278946,0.0425266,0.0166663,-0.0152057,0.00418698,cluster_1,ingroup,NA
SAMN18196735,PRJNA323498,Hirundo rustica,male,rustica-tytleri,GCA_015227805.2,108225922,0,10362658,0.0957502,108163500,5.30643,0.0058795,-0.0132597,-0.112036,-0.00822713,-0.037053,0.0693717,-0.0147353,-0.0137298,-0.0304553,0.0389548,cluster_3,ingroup,NA
SAMN18196685,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,10396902,0.0960667,108164922,5.86253,-0.0957153,0.00599344,0.0776789,0.0267988,0.0217297,0.0338559,0.0408603,0.021312,-0.0280902,0.00666079,cluster_1,ingroup,NA
SAMN18196718,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,10399584,0.0960914,108166526,5.88293,-0.0695545,0.00478658,0.0687724,0.0132138,0.0256714,0.0614259,0.0210964,0.0145205,-0.0315721,-0.00687107,cluster_1,ingroup,NA
SAMN18196792,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,10456905,0.0966211,108170240,5.86815,-0.0299087,-0.00668349,-0.0835937,-0.00258979,-0.038363800000000003,-0.0661083,-0.0433988,-0.0142266,0.0174615,-0.0422548,cluster_3,ingroup,NA
SAMN18196801,PRJNA323498,Hirundo rustica,male,transitiva,GCA_015227805.2,108225922,0,10490546,0.0969319,108165359,5.37377,0.16478,-0.0444583,0.0719964,0.358292,0.00624941,-0.0913879,-0.2902,0.390073,-0.0588884,0.0851962,cluster_5,ingroup,NA
SAMN18196771,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,10534353,0.0973367,108165871,5.55683,-0.0158228,-0.00360135,-0.105961,-0.0022224,-0.0590832,-0.0586531,-0.0478241,-0.0223297,0.0428328,0.0132335,cluster_3,ingroup,NA
SAMN18196680,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,10562982,0.0976012,108165893,6.2778,-0.114668,0.0108158,0.0742654,0.0358533,0.0213613,0.0383189,0.049173,0.0185502,-0.0168448,8.76627e-4,cluster_1,ingroup,NA
SAMN18196720,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,10662175,0.0985178,108169177,5.49688,0.0470777,-0.0128213,0.103556,-0.14495,0.0476544,-0.0247779,-0.125386,-0.0418005,0.0276659,-0.0173595,cluster_2,ingroup,NA
SAMN18196691,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,10684982,0.0987285,108164549,5.68137,-0.0923708,0.00972722,0.0305433,0.0345957,0.00559624,0.0447391,0.0519144,0.0328528,-0.0298128,0.0197137,cluster_1,ingroup,NA
SAMN18196767,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,10846524,0.100221,108169901,5.4711,0.11569,-0.0301206,0.0230947,-0.0242936,-0.00587568,-0.139943,0.0864601,0.011048,-0.0369799,-0.0352378,cluster_5,ingroup,NA
SAMN18196693,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,10858473,0.100332,108165226,5.73361,-0.0853236,0.0133891,0.0312146,0.0270825,0.00683948,0.0532867,0.0381662,0.0346069,-0.0291712,-0.00589025,cluster_1,ingroup,NA
SAMN18196703,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,10864357,0.100386,108164451,5.08463,-0.0899384,0.00700867,0.0333665,0.0366815,-0.00312506,0.0348715,0.0235687,0.0304577,-0.0191363,0.00241335,cluster_1,ingroup,NA
SAMN18196796,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,10922507,0.100923,108165093,5.54773,-0.0194622,-0.00774155,-0.0720484,0.0175777,-0.024613,0.0635524,0.00601663,-0.00832245,-0.0444635,-7.23599e-4,cluster_3,ingroup,NA
SAMN18196788,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,11030166,0.101918,108163949,5.16132,-0.0348325,-0.00410312,-0.0441889,0.0150547,-0.0360579,0.0567311,6.7473e-4,0.03188,-0.00418745,0.0223864,cluster_3,ingroup,NA
SAMN18196787,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,11071212,0.102297,108169386,5.51054,-0.0543713,0.00401941,-0.0142854,-6.92771e-5,-0.00634672,-0.0490921,-0.010774,-0.0140006,0.0137519,0.0157391,cluster_3,ingroup,NA
