Sample,Clade,County,State,Latitude,Longitude,BioProject,BioSample,Organism,sex,Isolate,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
AA01,allisoni,Cuba,NA,NA,NA,PRJNA533001,SAMN11458499,Anolis_allisoni,unknown,Anolis allisoni,GCF_000090745.1,Anolis_carolinensis,125277263,0,0,0,40269585,10.3425,0.680161,-0.70826,-0.00520109,0.00331408,4.95858e-4,-9.48275e-4,2.11408e-4,-2.30483e-4,-1.64907e-4,-3.16078e-4,cluster_3,outgroup,NA
AP08,porcatus,Cuba,NA,NA,NA,PRJNA533001,SAMN11458512,Anolis_porcatus,unknown,Anolis porcatus,GCF_000090745.1,Anolis_carolinensis,125277263,0,0,0,43045385,10.3193,0.682564,0.70595,-0.00413302,0.00317802,3.62577e-5,-0.00103261,-2.57132e-4,-3.96248e-5,-3.68424e-4,-7.63846e-5,cluster_4,outgroup,NA
AC8-8,Gulf Atlantic (GA),Lafourche,LA,29.797883,-90.8129,PRJNA533001,SAMN11458511,Anolis_carolinensis,unknown,Gulf Atlantic (GA) 6,GCF_000090745.1,Anolis_carolinensis,125277263,0,2424482,0.0193529,76517857,13.112,-0.0526046,2.12538e-4,-0.13749,0.082768,0.149495,0.041126,0.00383514,-0.114028,-0.0286263,0.0531311,cluster_5,ingroup,NA
AC36-1,Gulf Atlantic (GA),Greene,TN,35.53855,-84.07625,PRJNA533001,SAMN11458508,Anolis_carolinensis,unknown,Gulf Atlantic (GA) 3,GCF_000090745.1,Anolis_carolinensis,125277263,0,2537476,0.0202549,76517493,12.6031,-0.052987,5.18047e-4,-0.13586,0.0762217,0.142982,0.039142,0.00210782,-0.106246,-0.0212661,0.046232,cluster_5,ingroup,NA
AC20-6,Carolinas (CA),Carteret,NC,34.727583,-76.736183,PRJNA533001,SAMN11458505,Anolis_carolinensis,unknown,Carolinas (CA) 4,GCF_000090745.1,Anolis_carolinensis,125277263,0,2602401,0.0207731,76516718,12.0677,-0.0529339,1.18503e-4,-0.141794,0.0961026,0.104833,0.0717177,8.46281e-4,0.0103315,0.00379519,0.00261729,cluster_5,ingroup,NA
CC-8,North East Florida (NEF),East Cocoa Beach,FL,28.243611,-80.870556,PRJNA533001,SAMN11458514,Anolis_carolinensis,unknown,North East Florida (NEF) 2,GCF_000090745.1,Anolis_carolinensis,125277263,0,2605436,0.0207974,76511485,14.0379,-0.0518028,-9.95063e-5,-0.0741163,0.0186585,-0.204559,-0.0316366,-0.00804125,0.457177,0.0822874,-0.224639,cluster_2,ingroup,NA
CC-3,North East Florida (NEF),East Cocoa Beach,FL,28.243611,-80.870556,PRJNA533001,SAMN11458513,Anolis_carolinensis,unknown,North East Florida (NEF) 1,GCF_000090745.1,Anolis_carolinensis,125277263,0,3257203,0.026,76514020,14.0655,-0.0519261,2.79951e-4,-0.0723151,0.0173368,-0.165615,-0.0236614,-0.0156105,0.37848,0.0667083,-0.155582,cluster_2,ingroup,NA
AC27-3,Gulf Atlantic (GA),McIntosh,GA,31.35295,-81.447467,PRJNA533001,SAMN11458506,Anolis_carolinensis,unknown,Gulf Atlantic (GA) 1,GCF_000090745.1,Anolis_carolinensis,125277263,0,3390122,0.027061,76519824,9.02763,-0.0513816,3.08396e-4,-0.141335,0.0974248,0.118764,0.0668803,0.00160457,-0.0592996,-0.00685974,0.029825,cluster_2,ingroup,NA
TX-8,Gulf Atlantic (GA),Franklin,TX,32.944667,-95.193683,PRJNA533001,SAMN11458521,Anolis_carolinensis,unknown,Gulf Atlantic (GA) 7,GCF_000090745.1,Anolis_carolinensis,125277263,0,3666583,0.0292677,76515198,9.67491,-0.0527977,3.15832e-4,-0.136597,0.0786131,0.146331,0.0406278,0.0022226,-0.110273,-0.0230803,0.0536735,cluster_5,ingroup,NA
AC27-4,Gulf Atlantic (GA),McIntosh,GA,31.35295,-81.447467,PRJNA533001,SAMN11458507,Anolis_carolinensis,unknown,Gulf Atlantic (GA) 2,GCF_000090745.1,Anolis_carolinensis,125277263,0,3780118,0.030174,76520268,9.10546,-0.0514647,1.34801e-4,-0.142266,0.09685,0.121023,0.0653389,0.00258652,-0.0632759,-0.00546512,0.0328057,cluster_2,ingroup,NA
18-3,North West Florida (NWF),Lafayette,FL,29.90955,-83.314983,PRJNA533001,SAMN11458496,Anolis_carolinensis,unknown,North West Florida (NWF) 2,GCF_000090745.1,Anolis_carolinensis,125277263,0,3882322,0.0309898,76493724,8.06217,-0.0512374,2.62857e-4,-0.0226468,-0.247867,0.204736,-0.376247,0.0502071,-0.0244258,-0.0166602,0.0167712,cluster_2,ingroup,NA
