BioProject,BioSample,Organism,sex,Submitter_Id,Population,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA217049,SAMN01055121,Falco_cherrug,male,NCBI-006,"Abu Dhabi Falcon Hospital, UAE",GCF_000337955.1,Falco_peregrinus,13897242,0,0,0,6166373,110.913,0.985736,0.00807536,3.98226e-5,-5.87238e-4,-3.9922e-5,-3.36085e-4,-1.40779e-4,1.19396e-4,2.28328e-4,-5.24046e-4,cluster_2,outgroup,NA
PRJNA686418,SAMN17117209,Falco_peregrinus,unknown,Kola1,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,96789,0.00696462,9522750,67.7669,-0.029612,0.052632,-0.784731,-0.179022,0.00899024,-0.0425869,0.0300576,-0.00323758,-0.00840178,-0.0215203,cluster_1,ingroup,2
PRJNA686418,SAMN17120864,Falco_peregrinus,unknown,Kola10,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,112636,0.00810492,9522925,44.0689,-0.0267455,-0.216563,-0.0475169,0.266337,0.228695,0.0367451,-0.50327,0.0130388,-0.0216288,-0.0321809,cluster_5,ingroup,3
PRJNA686418,SAMN17125935,Falco_peregrinus,unknown,Yamal8,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,113773,0.00818673,9522885,46.5095,-0.0266205,-0.173378,0.0601791,-0.0189124,-0.0137812,-0.185921,0.215987,-0.0669399,0.00210357,0.0491343,cluster_4,ingroup,NA
PRJNA686418,SAMN17120643,Falco_peregrinus,unknown,Kola5,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,114255,0.00822142,9522842,44.4098,-0.0266134,-0.204826,-0.0770609,0.221298,0.181537,0.041445,-0.427039,0.0180674,-0.0202143,-0.0376375,cluster_5,exclude,3
PRJNA686418,SAMN17125937,Falco_peregrinus,unknown,Yamal6,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,114275,0.00822285,9522935,43.7025,-0.0270392,-0.171751,0.0551714,0.00239839,-0.00230237,-0.105522,0.10586,0.0377535,-0.012676,0.0761822,cluster_4,ingroup,NA
PRJNA686418,SAMN17188551,Falco_peregrinus,unknown,Kola9,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,114444,0.00823502,9522783,43.1615,-0.026738,-0.155059,-0.0631568,0.190289,0.0497641,0.226548,0.0474996,0.0090579,0.0421308,-0.0243054,cluster_4,ingroup,NA
PRJNA686418,SAMN17125936,Falco_peregrinus,unknown,Yamal7,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,114679,0.00825193,9522928,44.1854,-0.0269885,-0.20761,0.117518,-0.409751,-0.317951,0.327987,-0.170122,-0.0196686,-0.00868651,-0.0178756,cluster_5,ingroup,1
PRJNA686418,SAMN17120865,Falco_peregrinus,unknown,Yamal1,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,115348,0.00830006,9522972,41.6236,-0.0267018,-0.169866,0.0373071,-0.0192622,0.00702316,-0.139068,0.120313,0.0137886,-0.00771416,0.071507,cluster_4,ingroup,NA
PRJNA686418,SAMN17125934,Falco_peregrinus,unknown,Yamal11,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,116109,0.00835482,9522896,42.0544,-0.0268784,-0.208611,0.111,-0.408097,-0.322337,0.329136,-0.171675,-0.0252176,-0.00759802,-0.0150828,cluster_5,exclude,1
PRJNA686418,SAMN17125939,Falco_peregrinus,unknown,Kola8,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,116717,0.00839857,9522820,44.1944,-0.0265004,-0.178145,0.0546634,0.13901,0.0398369,0.0660019,0.162017,0.0172449,-0.0183933,0.0242477,cluster_4,ingroup,NA
PRJNA686418,SAMN17125933,Falco_peregrinus,unknown,Yamal9,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,119352,0.00858818,9522795,42.1542,-0.0267207,-0.171096,0.073842,-0.0205337,0.0207987,-0.141434,0.170251,0.0161217,-0.0266389,0.0584704,cluster_4,ingroup,NA
PRJNA686418,SAMN17125946,Falco_peregrinus,unknown,Kola7,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,121948,0.00877498,9522679,40.4594,-0.0265183,-0.171346,0.0218523,0.162988,-0.0138456,0.135479,0.279498,-0.0633025,0.0212839,-0.0137292,cluster_4,ingroup,NA
PRJNA686418,SAMN17132248,Falco_peregrinus,unknown,Kolyma5,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,123822,0.00890983,9522946,50.3973,-0.029718,0.18558,0.0608484,-0.150886,0.153281,0.00912609,-0.123894,0.128806,0.252971,-0.0168553,cluster_3,exclude,2
PRJNA686418,SAMN17154545,Falco_peregrinus,unknown,Kolguev5,Kolguev,GCF_000337955.1,Falco_peregrinus,13897242,0,125229,0.00901107,9522601,42.9536,-0.0268291,-0.154002,0.0383196,0.0917021,-0.158761,-0.248527,0.0243098,-0.0277944,-0.0406786,0.0324454,cluster_4,ingroup,NA
PRJNA686418,SAMN17132314,Falco_peregrinus,unknown,Kolyma7,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,127260,0.00915721,9522909,48.0308,-0.0298894,0.190067,0.0767326,-0.119773,0.190164,0.055805,0.0352434,0.00244049,-0.480904,-0.705112,cluster_3,exclude,2
PRJNA686418,SAMN17169283,Falco_peregrinus,unknown,Yamal10,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,127298,0.00915995,9522480,35.0889,-0.0268384,-0.135521,-0.490863,-0.182705,0.00498687,-0.103609,0.0786327,0.00571837,-0.0101401,-0.00436868,cluster_4,exclude,2
PRJNA686418,SAMN17132232,Falco_peregrinus,unknown,Kolyma4,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,127786,0.00919506,9522955,47.4538,-0.0299578,0.181887,0.0522247,-0.104706,0.116271,-0.00944535,-0.0914851,0.274012,0.515096,-0.0379766,cluster_3,exclude,2
