BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMEA1920090,A. calliptera,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,991106,0.0199052,16269506,33.5007,0.0224516,0.120611,0.217881,0.173819,0.0116993,0.0225614,0.071443,-0.00171584,0.00241978,-1.18572e-4,cluster_1,ingroup,1
SAMEA1920092,A. calliptera,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1010844,0.0203017,16269993,34.5711,0.0222486,0.12072,0.220658,0.171789,0.0102513,0.0209397,0.0911151,0.00216864,3.54118e-4,-0.00183749,cluster_1,exclude,1
SAMEA1920091,NA,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1040526,0.0208978,16269408,32.5497,0.0225228,0.132393,0.261315,0.245172,0.0167729,0.0349801,0.162986,0.00128552,0.00304067,-7.90486e-4,cluster_1,exclude,1
SAMEA3388877,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288191,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1173499,0.0235684,16266648,12.519,0.0245143,0.0390817,0.0251833,-0.00943818,-0.00322826,-0.00838551,-0.296906,0.00328888,0.00285763,-0.0122935,cluster_5,ingroup,NA
SAMEA3388876,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288190,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1231404,0.0247314,16266733,12.3723,0.0245836,0.0378372,0.0250666,-0.0106204,-0.00384689,-0.00940851,-0.296676,0.00421374,0.00361773,-0.0130895,cluster_5,ingroup,NA
SAMEA3388875,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288189,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1261186,0.0253295,16265714,11.2015,0.0242865,0.0412885,0.0275857,-0.0101898,-0.00201838,-0.00799003,-0.294508,0.00309499,0.00298855,-0.0112171,cluster_5,ingroup,NA
SAMEA3388878,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288192,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1262015,0.0253461,16266393,11.823,0.0244676,0.0393281,0.0248126,-0.0102754,-0.00327785,-0.00816319,-0.300209,0.00293611,0.0022134,-0.0123702,cluster_5,ingroup,NA
SAMEA2661389,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Near_Kyela-sc-2016918,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1271341,0.0255334,16264209,16.2481,0.0229844,0.0762999,0.0658514,-0.00689494,-0.00430867,-0.00779379,-0.187222,-3.01569e-4,-1.71505e-4,-0.00145976,cluster_2,ingroup,NA
SAMEA2661383,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Songwe_River-sc-2016912,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1395453,0.0280261,16263548,14.2351,0.0229693,0.0693004,0.0492054,-0.0114974,-0.00262883,-0.00506128,-0.186642,9.77903e-4,-0.00115822,-0.00115867,cluster_2,ingroup,NA
SAMEA1904326,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Mbaka_-sc-2013-01-28T12:01:19Z-1530726,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1399543,0.0281082,16268702,12.7297,0.0241932,0.045019000000000003,0.0282949,-0.00768171,-0.00173036,-0.00422054,-0.211369,0.00182912,0.0028599,-0.00698247,cluster_5,ingroup,NA
SAMEA2661382,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_North_Rukuru-sc-2016911,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1430401,0.028728,16263173,12.3664,0.0225587,0.0804031,0.0737619,-0.00387574,-0.0031708,-0.00813374,-0.186039,6.4839e-4,1.29719e-4,3.5914e-4,cluster_2,ingroup,NA
