Organism,BioProject,BioSample,sex,Submitter_Id,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
Clupea_pallasii,PRJNA642736,SAMN15398034,unknown,Pacific5_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1252350,0.0227059,20068480,39.7592,-0.368186,0.00717027,0.00175616,1.00291e-4,0.0015767,3.93344e-5,0.00279732,0.00233133,0.0012545,9.92053e-4,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398034,unknown,Pacific5_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1252350,0.0227059,20068480,39.7592,-0.368186,0.00717027,0.00175616,1.00291e-4,0.0015767,3.93344e-5,0.00279732,0.00233133,0.0012545,9.92053e-4,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398034,unknown,Pacific5_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1252350,0.0227059,20068480,39.7592,-0.368186,0.00717027,0.00175616,1.00291e-4,0.0015767,3.93344e-5,0.00279732,0.00233133,0.0012545,9.92053e-4,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398038,unknown,Pacific44_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1264066,0.0229183,20068011,38.4731,-0.365791,0.00697829,8.45636e-4,-0.00330087,-1.05917e-4,-6.92952e-4,0.00212333,-0.00125272,1.27832e-4,0.00210128,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398038,unknown,Pacific44_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1264066,0.0229183,20068011,38.4731,-0.365791,0.00697829,8.45636e-4,-0.00330087,-1.05917e-4,-6.92952e-4,0.00212333,-0.00125272,1.27832e-4,0.00210128,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398038,unknown,Pacific44_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1264066,0.0229183,20068011,38.4731,-0.365791,0.00697829,8.45636e-4,-0.00330087,-1.05917e-4,-6.92952e-4,0.00212333,-0.00125272,1.27832e-4,0.00210128,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398035,unknown,Pacific16_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1288828,0.0233673,20068637,38.2795,-0.364174,0.00556203,0.00104359,-0.00483866,-0.00199408,-9.31166e-4,0.00189394,0.00168788,9.16713e-4,-0.00319773,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398035,unknown,Pacific16_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1288828,0.0233673,20068637,38.2795,-0.364174,0.00556203,0.00104359,-0.00483866,-0.00199408,-9.31166e-4,0.00189394,0.00168788,9.16713e-4,-0.00319773,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398035,unknown,Pacific16_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1288828,0.0233673,20068637,38.2795,-0.364174,0.00556203,0.00104359,-0.00483866,-0.00199408,-9.31166e-4,0.00189394,0.00168788,9.16713e-4,-0.00319773,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398037,unknown,Pacific35_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1375010,0.0249298,20062180,31.3502,-0.363324,0.00550622,0.00115646,-0.00211348,2.94115e-4,9.62838e-4,0.0015533,0.00117299,0.0016944,9.00537e-4,cluster_3,outgroup,NA
