BioProject,BioSample,Organism,sex,Submitter_ID,Locality,Country,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA522329,SAMN10928551,Takifugu_flavidus,unknown,F11,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,316432,0.0132149,7644196,13.3521,0.00299656,-0.0163713,0.344637,-0.318014,-0.0746993,0.00554897,0.00334768,0.131298,-0.00844094,0.00777498,cluster_1,outgroup,1
PRJNA522329,SAMN10928554,Takifugu_flavidus,unknown,F16,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,353533,0.0147643,7641775,11.1971,0.00262411,-0.0169786,0.340959,0.139394,-0.408079,0.00269173,-0.0316449,-0.289274,0.00472887,-0.00397338,cluster_1,exclude,1
PRJNA522329,SAMN10928620,Takifugu_rubripes,unknown,R22,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,377352,0.015759,5788627,12.3977,-0.0409247,-0.136379,-0.0429119,6.02596e-4,-0.00239531,-0.00511109,0.0129711,0.00118281,0.0503786,0.142412,cluster_2,ingroup,NA
PRJNA522329,SAMN10928613,Takifugu_rubripes,unknown,R15,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,378028,0.0157873,5789126,12.7447,-0.0410545,-0.137836,-0.0433875,-0.0015827,0.00288894,0.00689848,-0.0177977,-0.00206963,-0.0701479,-0.203119,cluster_2,ingroup,10
PRJNA522329,SAMN10928618,Takifugu_rubripes,unknown,R20,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,378378,0.0158019,5788721,11.5647,-0.0408093,-0.136955,-0.0429677,-0.00306273,-5.30596e-4,-0.00405585,0.00402271,0.00269953,0.018965,0.0545183,cluster_2,ingroup,NA
PRJNA522329,SAMN10928553,Takifugu_flavidus,unknown,F14,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,386939,0.0161594,7639820,10.1147,0.00292104,-0.0171566,0.34321,-0.329726,-0.138744,0.00652583,0.0252224,0.313473,-0.0151437,0.0044038,cluster_1,exclude,1
PRJNA522329,SAMN10928601,Takifugu_rubripes,unknown,R01,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,404746,0.0169031,5787705,10.5508,-0.0407113,-0.135639,-0.0422837,-3.61228e-4,0.00132038,-0.00126595,-7.70447e-4,-6.10802e-4,0.00430956,0.0109934,cluster_2,ingroup,NA
PRJNA522329,SAMN10928629,Takifugu_rubripes,unknown,R32,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,408783,0.0170717,5788725,11.7182,-0.0412269,-0.137779,-0.043491,-0.00267599,0.00131839,0.00525938,-0.0215033,3.42361e-4,-0.0699679,-0.199286,cluster_2,ingroup,8
PRJNA522329,SAMN10928623,Takifugu_rubripes,unknown,R25,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,410948,0.0171621,5787990,10.9947,-0.0409331,-0.137269,-0.0429608,-0.00112135,5.72174e-4,0.00585666,-0.0176517,-8.15913e-4,-0.0561946,-0.163897,cluster_2,ingroup,NA
PRJNA522329,SAMN10928615,Takifugu_rubripes,unknown,R17,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,411757,0.0171959,5787912,10.2134,-0.0408613,-0.136437,-0.0427307,-8.98956e-4,-0.00242918,-0.00433878,0.0118048,-0.00137789,0.0460957,0.135401,cluster_2,ingroup,9
PRJNA522329,SAMN10928626,Takifugu_rubripes,unknown,R28,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,411985,0.0172054,5788439,11.0835,-0.0410938,-0.137604,-0.042875,-0.00272984,-0.00389388,-0.0137906,0.0362644,-5.62807e-4,0.127161,0.362638,cluster_2,ingroup,2
PRJNA522329,SAMN10928609,Takifugu_rubripes,unknown,R11,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,419934,0.0175373,5787950,10.8395,-0.0405051,-0.135635,-0.0421268,-3.24379e-4,-8.6097e-4,-0.00112076,0.00471606,-0.00102765,0.0129613,0.0332027,cluster_2,exclude,2
PRJNA522329,SAMN10928624,Takifugu_rubripes,unknown,R26,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,420567,0.0175638,5788093,10.8769,-0.0415052,-0.138736,-0.0440197,-0.00265455,6.03658e-4,0.00478286,-0.0209799,0.0015467,-0.0678878,-0.1974,cluster_2,exclude,8
PRJNA522329,SAMN10928548,Takifugu_flavidus,unknown,F04,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,421201,0.0175903,7639286,9.15521,0.00252183,-0.0157971,0.294696,0.850727,0.0647234,-0.0045812,0.0162834,0.177556,-0.00190966,0.00353782,cluster_1,exclude,1
PRJNA522329,SAMN10928627,Takifugu_rubripes,unknown,R29,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,425318,0.0177622,5787546,10.9224,-0.0409448,-0.136771,-0.0428316,-0.00265591,-0.00378764,-0.012602,0.0346018,-1.13425e-4,0.125986,0.35715,cluster_2,exclude,2
PRJNA522329,SAMN10928555,Takifugu_flavidus,unknown,F17,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,433550,0.018106,7638205,9.18108,0.00310427,-0.0165725,0.341351,-0.041892,-0.059401,0.0114489,-0.0764518,-0.771134,0.0504122,-0.00997148,cluster_1,exclude,1
PRJNA522329,SAMN10928552,Takifugu_flavidus,unknown,F13,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,439215,0.0183426,7637680,9.45696,0.00305983,-0.0166332,0.341212,0.080099,-0.0325032,-0.021133,0.0443467,0.326293,-0.0304068,-0.00436845,cluster_1,exclude,1
PRJNA522329,SAMN10928619,Takifugu_rubripes,unknown,R21,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,449603,0.0187764,5786998,10.3409,-0.0409381,-0.137116,-0.0430849,-0.00112394,-0.00295271,-0.0085978,0.0227978,-1.15905e-4,0.0830083,0.233699,cluster_2,exclude,2
PRJNA522329,SAMN10928550,Takifugu_flavidus,unknown,F10,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,455186,0.0190095,7635912,8.3033,0.0025983,-0.0170479,0.338068,-0.158374,-0.203653,0.00403455,0.0161233,0.211651,-0.00616316,-0.00392523,cluster_1,exclude,1
PRJNA522329,SAMN10928603,Takifugu_rubripes,unknown,R03,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,455771,0.019034,5786831,9.20523,-0.0410692,-0.137534,-0.0428518,-0.00125877,0.00221122,0.00736338,-0.0172272,-0.00122901,-0.0664348,-0.192143,cluster_2,exclude,10
PRJNA522329,SAMN10928607,Takifugu_rubripes,unknown,R09,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,457858,0.0191211,5786822,10.4527,-0.0409688,-0.137199,-0.0432948,-4.22745e-4,0.0020235,0.00620627,-0.0128751,-1.55002e-4,-0.0585827,-0.161741,cluster_2,ingroup,6
PRJNA522329,SAMN10928549,Takifugu_flavidus,unknown,F08,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,485445,0.0202732,7635847,7.67035,0.00298627,-0.0171711,0.336528,-0.114929,0.870257,-0.00970756,0.00603636,-0.0796821,0.00832508,0.00468981,cluster_1,exclude,1
PRJNA522329,SAMN10928625,Takifugu_rubripes,unknown,R27,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,487700,0.0203674,5785493,8.55817,-0.0409592,-0.13667,-0.0427538,-0.0032979,-4.78631e-4,-0.00258108,0.0107802,-8.53177e-4,0.0387825,0.108447,cluster_2,ingroup,NA
PRJNA522329,SAMN10928605,Takifugu_rubripes,unknown,R07,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,493824,0.0206231,5786677,8.73508,-0.0410192,-0.136797,-0.0431193,-1.5088e-4,8.25614e-4,0.00208479,-0.00531678,-7.89544e-4,-0.0155782,-0.0447813,cluster_2,ingroup,NA
PRJNA522329,SAMN10928621,Takifugu_rubripes,unknown,R23,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,500765,0.020913,5785787,7.69903,-0.0410267,-0.136984,-0.0428063,-0.00109396,-0.00177417,-0.00385253,0.00783,4.6666e-4,0.0333255,0.0940299,cluster_2,ingroup,11
PRJNA522329,SAMN10928604,Takifugu_rubripes,unknown,R04,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,502330,0.0209784,5785865,7.43083,-0.0406648,-0.135693,-0.0423239,-4.93277e-4,2.19627e-4,0.00341423,-0.00904985,-7.30676e-4,-0.0343129,-0.0993524,cluster_2,ingroup,NA
PRJNA522329,SAMN10928616,Takifugu_rubripes,unknown,R18,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,503201,0.0210147,5786021,7.96847,-0.0411937,-0.137091,-0.0428505,-0.00255558,-2.9719e-4,-0.00307358,0.00548048,0.00104689,0.0214115,0.0630059,cluster_2,exclude,11
PRJNA522329,SAMN10928608,Takifugu_rubripes,unknown,R10,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,504111,0.0210528,5786371,8.27032,-0.0411086,-0.137517,-0.0432074,-7.95302e-4,0.00171467,0.00714709,-0.0146147,-3.66495e-4,-0.0631616,-0.175314,cluster_2,exclude,6
PRJNA522329,SAMN10928614,Takifugu_rubripes,unknown,R16,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,507529,0.0211955,5785772,8.23936,-0.0411343,-0.137583,-0.0432725,-0.00305565,0.00226103,0.00509588,-0.0178053,4.52175e-4,-0.0544728,-0.160598,cluster_2,exclude,8
PRJNA522329,SAMN10928622,Takifugu_rubripes,unknown,R24,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,519168,0.0216816,5786632,7.95675,-0.0410711,-0.13708,-0.0429647,-0.00234087,0.00214593,0.0059297,-0.0201597,-1.33484e-4,-0.0655784,-0.188603,cluster_2,exclude,8
PRJNA522329,SAMN10928610,Takifugu_rubripes,unknown,R12,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,541106,0.0225977,5785201,7.41996,-0.0409248,-0.136198,-0.0426136,-8.84649e-4,-0.00265349,-0.00509903,0.0114966,-9.00468e-4,0.0463209,0.133782,cluster_2,exclude,9
PRJNA522329,SAMN10928606,Takifugu_rubripes,unknown,R08,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,551829,0.0230456,5785677,7.00216,-0.0405495,-0.135422,-0.0421894,-0.00112446,-0.00361376,-0.00814111,0.022520600000000002,-3.49301e-5,0.0807302,0.233784,cluster_2,ingroup,NA
PRJNA522329,SAMN10928612,Takifugu_rubripes,unknown,R14,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,560116,0.0233916,5786601,7.18076,-0.0407886,-0.136098,-0.0419639,-9.19264e-4,9.42499e-4,0.00599902,-0.00886262,-0.00220135,-0.0505701,-0.139597,cluster_2,ingroup,4
PRJNA522329,SAMN10928617,Takifugu_rubripes,unknown,R19,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,563217,0.0235211,5785006,6.30638,-0.0412554,-0.13706,-0.0430334,-4.58804e-4,-0.00292406,-0.00836502,0.0194178,-0.00117408,0.0722027,0.2012,cluster_2,exclude,2
PRJNA522329,SAMN10928611,Takifugu_rubripes,unknown,R13,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,568733,0.0237515,5784898,6.28886,-0.0408017,-0.136346,-0.042454,-0.00123596,4.44428e-4,0.0047909,-0.0078771,-0.00255632,-0.0470701,-0.128527,cluster_2,exclude,4
PRJNA522329,SAMN10928602,Takifugu_rubripes,unknown,R02,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,574513,0.0239929,5784704,6.47459,-0.0409399,-0.136905,-0.0428539,-0.00235587,0.00123681,0.00455828,-0.0157299,2.33698e-4,-0.0562313,-0.160664,cluster_2,ingroup,NA
PRJNA522329,SAMN10928628,Takifugu_rubripes,unknown,R31,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,578902,0.0241762,5783580,6.63145,-0.0409854,-0.137183,-0.0430926,-0.00290797,-0.00177194,-0.00257648,0.0048262,0.00146093,0.0187731,0.0559734,cluster_2,exclude,11
PRJNA522329,SAMN10928558,Takifugu_alboplumbeus,unknown,N04,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,627288,0.0261969,10495817,12.1684,0.229662,0.0328051,-0.0372411,-0.00240977,-0.00583276,-0.174383,0.0139884,0.0100838,0.0640851,-0.0912784,cluster_3,outgroup,NA
