Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,Bytes,BioProject,Library Name,BioSampleModel,sex,Isolate,Tissue,AGE,geo_loc_name_country,geo_loc_name_country_continent,dev_stage,geo_loc_name,Collection_date,Ecotype,Breed,Strain,lat_lon,Cultivar,Specimen_voucher,isol_growth_condt,Biomaterial_provider,Sample_Type,Sample_Name,env_biome,env_feature,env_material,estimated_size,num_replicons,ploidy,propagation,collected_by,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,AssemblyName,run (run),actual_read_length (run),total_bases (run),project_name,Alias,geographic_location_(country_and/or_sea),Broker_name,isolation-source,env_broad_scale,env_local_scale,env_medium,sub_species,Investigation_type,snout-vent_length,vent-tail,weight,ENA_CHECKLIST,fasta_file (run),organism (run),COUNTRY,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,common_name,environment_(biome),environment_(feature),environment_(material),External_Id,geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,Sequencing_method,Submitter_Id,biotic_relationship,Clone,extrachrom_elements,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,Source_material_ID,subspecf_gen_lin,trophic_level,Isolation_source,Description,Label,identified_by,locus_tag_prefix,geographic_location_(region_and_locality),PHENOTYPE,BIOME,Env_package,feature,material,Replicate,tissue_type,death_date,quality_book_char (run),Sample_ID,birth_location,Genotype,store_cond,tissue-type,geo-loc-name,specimen-voucher,alternative_specimen_voucher,sequencing_date (run),type-material
SRR649348,WGS,SAMN01886693,WUGSC,public,SRX217619,Illumina Genome Analyzer II,PAIRED,unspecified,GENOMIC,Trachemys scripta,ILLUMINA,2013-01-15T00:00:00Z,152500,SRP017376,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,5401661200,2911641952,PRJNA177943,2868227642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649349,WGS,SAMN01886693,WUGSC,public,SRX217619,Illumina Genome Analyzer II,PAIRED,unspecified,GENOMIC,Trachemys scripta,ILLUMINA,2013-01-15T00:00:00Z,152500,SRP017376,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,5328598800,2874586294,PRJNA177943,2868227642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649350,WGS,SAMN01886693,WUGSC,public,SRX217618,Illumina Genome Analyzer II,PAIRED,unspecified,GENOMIC,Trachemys scripta,ILLUMINA,2013-01-15T00:00:00Z,152500,SRP017376,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,5779153000,3122182337,PRJNA177943,2868227641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649351,WGS,SAMN01886693,WUGSC,public,SRX217618,Illumina Genome Analyzer II,PAIRED,unspecified,GENOMIC,Trachemys scripta,ILLUMINA,2013-01-15T00:00:00Z,152500,SRP017376,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,5683080000,3055980841,PRJNA177943,2868227641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649352,WGS,SAMN01886693,WUGSC,public,SRX217618,Illumina Genome Analyzer II,PAIRED,unspecified,GENOMIC,Trachemys scripta,ILLUMINA,2013-01-15T00:00:00Z,152500,SRP017376,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,5825576800,3164599750,PRJNA177943,2868227641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649358,WGS,SAMN01886693,WUGSC,public,SRX217619,Illumina Genome Analyzer II,PAIRED,unspecified,GENOMIC,Trachemys scripta,ILLUMINA,2013-01-15T00:00:00Z,152500,SRP017376,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,5380695000,2875639974,PRJNA177943,2868227642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649422,WGS,SAMN01886697,WUGSC,public,SRX217620,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Podocnemis expansa,ILLUMINA,2013-01-15T00:00:00Z,152519,SRP016894,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,17391308000,11454434208,PRJNA177923,2877023622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649424,WGS,SAMN01886696,WUGSC,public,SRX217621,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Podocnemis expansa,ILLUMINA,2013-01-15T00:00:00Z,152523,SRP016894,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,17120297200,11194623227,PRJNA177923,2877023635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649427,WGS,SAMN01886694,WUGSC,public,SRX217616,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Apalone spinifera,ILLUMINA,2013-01-15T00:00:00Z,152479,SRP016848,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,17071104600,10542785449,PRJNA177958,2873611416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649428,WGS,SAMN01886694,WUGSC,public,SRX217616,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Apalone spinifera,ILLUMINA,2013-01-15T00:00:00Z,152479,SRP016848,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,16820598600,10408535017,PRJNA177958,2873611416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR649430,WGS,SAMN01886695,WUGSC,public,SRX217617,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Apalone spinifera,ILLUMINA,2013-01-15T00:00:00Z,152475,SRP016848,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,17822628000,11088957364,PRJNA177958,2873611418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
