Organism	BioProject	BioSample	Run
Anguilla_anguilla	PRJNA668259	SAMN16492784	SRR12854733
Anguilla_anguilla	PRJNA668259	SAMN16492832	SRR12854786
Anguilla_anguilla	PRJNA668259	SAMN16492884	SRR12854524
Anguilla_anguilla	PRJNA668259	SAMN16492871	SRR12854525
Anguilla_anguilla	PRJNA668259	SAMN16492867	SRR12854527
Anguilla_anguilla	PRJNA668259	SAMN16492865	SRR12854528
Anguilla_anguilla	PRJNA668259	SAMN16492856	SRR12854529
Anguilla_anguilla	PRJNA668259	SAMN16492850	SRR12854530
Anguilla_anguilla	PRJNA668259	SAMN16492845	SRR12854531
Anguilla_anguilla	PRJNA668259	SAMN16492843	SRR12854532
Anguilla_anguilla	PRJNA668259	SAMN16492839	SRR12854533
Anguilla_anguilla	PRJNA668259	SAMN16492660	SRR12854534
Anguilla_anguilla	PRJNA668259	SAMN16492835	SRR12854535
Anguilla_anguilla	PRJNA668259	SAMN16492827	SRR12854536
Anguilla_anguilla	PRJNA668259	SAMN16492837	SRR12854537
Anguilla_anguilla	PRJNA668259	SAMN16492821	SRR12854538
Anguilla_anguilla	PRJNA668259	SAMN16492816	SRR12854539
Anguilla_anguilla	PRJNA668259	SAMN16492814	SRR12854540
Anguilla_anguilla	PRJNA668259	SAMN16492808	SRR12854541
Anguilla_anguilla	PRJNA668259	SAMN16492803	SRR12854542
Anguilla_anguilla	PRJNA668259	SAMN16492800	SRR12854543
Anguilla_anguilla	PRJNA668259	SAMN16492795	SRR12854544
Anguilla_anguilla	PRJNA668259	SAMN16492658	SRR12854545
Anguilla_anguilla	PRJNA668259	SAMN16492445	SRR12854546
Anguilla_anguilla	PRJNA668259	SAMN16492769	SRR12854547
Anguilla_anguilla	PRJNA668259	SAMN16492759	SRR12854548
Anguilla_anguilla	PRJNA668259	SAMN16492757	SRR12854549
Anguilla_anguilla	PRJNA668259	SAMN16492754	SRR12854550
Anguilla_anguilla	PRJNA668259	SAMN16492728	SRR12854553
Anguilla_anguilla	PRJNA668259	SAMN16492725	SRR12854554
Anguilla_anguilla	PRJNA668259	SAMN16492720	SRR12854555
Anguilla_anguilla	PRJNA668259	SAMN16492710	SRR12854556
