Organism	BioProject	BioSample	Run
Athene_cunicularia	PRJNA431202	SAMN08465492	SRR6670124
Athene_cunicularia	PRJNA431202	SAMN08465487	SRR6670127
Athene_cunicularia	PRJNA431202	SAMN08465489	SRR6670129
Athene_cunicularia	PRJNA431202	SAMN08465483	SRR6670131
Athene_cunicularia	PRJNA431202	SAMN08465485	SRR6670133
Athene_cunicularia	PRJNA431202	SAMN08465551	SRR6670135
Athene_cunicularia	PRJNA431202	SAMN08465501	SRR6670136
Athene_cunicularia	PRJNA431202	SAMN08465499	SRR6670138
Athene_cunicularia	PRJNA431202	SAMN08465500	SRR6670139
Athene_cunicularia	PRJNA431202	SAMN08465497	SRR6670140
Athene_cunicularia	PRJNA431202	SAMN08465495	SRR6670142
Athene_cunicularia	PRJNA431202	SAMN08465493	SRR6670144
Athene_cunicularia	PRJNA431202	SAMN08465494	SRR6670145
Athene_cunicularia	PRJNA431202	SAMN08465506	SRR6670148
Athene_cunicularia	PRJNA431202	SAMN08465504	SRR6670150
Athene_cunicularia	PRJNA431202	SAMN08465503	SRR6670151
Athene_cunicularia	PRJNA431202	SAMN08465510	SRR6670152
Athene_cunicularia	PRJNA431202	SAMN08465508	SRR6670154
Athene_cunicularia	PRJNA431202	SAMN08465517	SRR6670156
Athene_cunicularia	PRJNA431202	SAMN08465518	SRR6670157
Athene_cunicularia	PRJNA431202	SAMN08465519	SRR6670158
Athene_cunicularia	PRJNA431202	SAMN08465513	SRR6670160
Athene_cunicularia	PRJNA431202	SAMN08465526	SRR6670168
Athene_cunicularia	PRJNA431202	SAMN08465527	SRR6670171
Athene_cunicularia	PRJNA431202	SAMN08465530	SRR6670172
Athene_cunicularia	PRJNA431202	SAMN08465582	SRR6670177
Athene_cunicularia	PRJNA431202	SAMN08465574	SRR6670179
Athene_cunicularia	PRJNA431202	SAMN08465576	SRR6670181
Athene_cunicularia	PRJNA431202	SAMN08465578	SRR6670183
Athene_cunicularia	PRJNA431202	SAMN08465580	SRR6670185
Athene_cunicularia	PRJNA431202	SAMN08465533	SRR6670188
Athene_cunicularia	PRJNA431202	SAMN08465539	SRR6670190
Athene_cunicularia	PRJNA431202	SAMN08465537	SRR6670192
Athene_cunicularia	PRJNA431202	SAMN08465542	SRR6670195
Athene_cunicularia	PRJNA431202	SAMN08465569	SRR6670197
Athene_cunicularia	PRJNA431202	SAMN08465565	SRR6670201
Athene_cunicularia	PRJNA431202	SAMN08465563	SRR6670203
Athene_cunicularia	PRJNA431202	SAMN08465572	SRR6670204
Athene_cunicularia	PRJNA431202	SAMN08465571	SRR6670205
Athene_cunicularia	PRJNA431202	SAMN08465595	SRR6670208
Athene_cunicularia	PRJNA431202	SAMN08465593	SRR6670210
Athene_cunicularia	PRJNA431202	SAMN08465599	SRR6670212
Athene_cunicularia	PRJNA431202	SAMN08465598	SRR6670214
Athene_cunicularia	PRJNA431202	SAMN08465549	SRR6670216
Athene_cunicularia	PRJNA431202	SAMN08465547	SRR6670218
Athene_cunicularia	PRJNA431202	SAMN08465545	SRR6670220
Athene_cunicularia	PRJNA431202	SAMN08465543	SRR6670222
Athene_cunicularia	PRJNA431202	SAMN08465467	SRR6670223
Athene_cunicularia	PRJNA431202	SAMN08465469	SRR6670225
Athene_cunicularia	PRJNA431202	SAMN08465463	SRR6670227
Athene_cunicularia	PRJNA431202	SAMN08465465	SRR6670229
Athene_cunicularia	PRJNA431202	SAMN08465471	SRR6670231
Athene_cunicularia	PRJNA431202	SAMN08465553	SRR6670233
Athene_cunicularia	PRJNA431202	SAMN08465473	SRR6670235
Athene_cunicularia	PRJNA431202	SAMN08465474	SRR6670236
Athene_cunicularia	PRJNA431202	SAMN08465476	SRR6670238
Athene_cunicularia	PRJNA431202	SAMN08465477	SRR6670239
Athene_cunicularia	PRJNA431202	SAMN08465479	SRR6670241
Athene_cunicularia	PRJNA431202	SAMN08465481	SRR6670243
Athene_cunicularia	PRJNA431202	SAMN08465584	SRR6670245
Athene_cunicularia	PRJNA431202	SAMN08465583	SRR6670246
Athene_cunicularia	PRJNA431202	SAMN08465585	SRR6670248
Athene_cunicularia	PRJNA431202	SAMN08465587	SRR6670250
Athene_cunicularia	PRJNA431202	SAMN08465589	SRR6670252
Athene_cunicularia	PRJNA431202	SAMN08465591	SRR6670254
Athene_cunicularia	PRJNA431202	SAMN08465555	SRR6670255
Athene_cunicularia	PRJNA431202	SAMN08465556	SRR6670256
Athene_cunicularia	PRJNA431202	SAMN08465558	SRR6670258
Athene_cunicularia	PRJNA431202	SAMN08465491	SRR6670125
Athene_cunicularia	PRJNA431202	SAMN08465488	SRR6670126
Athene_cunicularia	PRJNA431202	SAMN08465490	SRR6670128
Athene_cunicularia	PRJNA431202	SAMN08465484	SRR6670130
Athene_cunicularia	PRJNA431202	SAMN08465552	SRR6670134
Athene_cunicularia	PRJNA431202	SAMN08465502	SRR6670137
Athene_cunicularia	PRJNA431202	SAMN08465498	SRR6670141
Athene_cunicularia	PRJNA431202	SAMN08465496	SRR6670143
Athene_cunicularia	PRJNA431202	SAMN08465512	SRR6670146
Athene_cunicularia	PRJNA431202	SAMN08465511	SRR6670147
Athene_cunicularia	PRJNA431202	SAMN08465505	SRR6670149
Athene_cunicularia	PRJNA431202	SAMN08465509	SRR6670153
Athene_cunicularia	PRJNA431202	SAMN08465507	SRR6670155
Athene_cunicularia	PRJNA431202	SAMN08465520	SRR6670159
Athene_cunicularia	PRJNA431202	SAMN08465514	SRR6670161
Athene_cunicularia	PRJNA431202	SAMN08465515	SRR6670162
Athene_cunicularia	PRJNA431202	SAMN08465521	SRR6670164
Athene_cunicularia	PRJNA431202	SAMN08465523	SRR6670167
Athene_cunicularia	PRJNA431202	SAMN08465525	SRR6670169
Athene_cunicularia	PRJNA431202	SAMN08465529	SRR6670173
Athene_cunicularia	PRJNA431202	SAMN08465532	SRR6670174
Athene_cunicularia	PRJNA431202	SAMN08465531	SRR6670175
Athene_cunicularia	PRJNA431202	SAMN08465581	SRR6670176
Athene_cunicularia	PRJNA431202	SAMN08465573	SRR6670178
