Organism	BioProject	BioSample	Run
Clupea_harengus	PRJNA356817	SAMN06127792	SRR5097357
Clupea_harengus	PRJNA356817	SAMN06127786	SRR5097358
Clupea_harengus	PRJNA356817	SAMN06127785	SRR5097359
Clupea_harengus	PRJNA356817	SAMN06127781	SRR5097360
Clupea_harengus	PRJNA356817	SAMN06127783	SRR5097361
Clupea_harengus	PRJNA356817	SAMN06127793	SRR5097362
Clupea_harengus	PRJNA356817	SAMN06127789	SRR5097363
Clupea_harengus	PRJNA356817	SAMN06127787	SRR5097364
Clupea_harengus	PRJNA356817	SAMN06127790	SRR5097366
Clupea_harengus	PRJNA356817	SAMN06127794	SRR5097367
Clupea_harengus	PRJNA356817	SAMN06127791	SRR5097368
Clupea_harengus	PRJNA356817	SAMN06127784	SRR5097369
Clupea_harengus	PRJNA356817	SAMN06127779	SRR5097370
Clupea_harengus	PRJNA356817	SAMN06127782	SRR5097371
Clupea_harengus	PRJNA356817	SAMN06127780	SRR5097372
Clupea_harengus	PRJNA356817	SAMN07292367	SRR5770114
Clupea_harengus	PRJNA356817	SAMN07292368	SRR5770115
Clupea_harengus	PRJNA356817	SAMN07292365	SRR5770116
Clupea_harengus	PRJNA356817	SAMN07292366	SRR5770117
Clupea_harengus	PRJNA356817	SAMN07292371	SRR5770118
Clupea_harengus	PRJNA356817	SAMN07292372	SRR5770119
Clupea_harengus	PRJNA356817	SAMN07292369	SRR5770120
Clupea_harengus	PRJNA356817	SAMN07292370	SRR5770121
Clupea_harengus	PRJNA356817	SAMN07292375	SRR5770122
Clupea_harengus	PRJNA356817	SAMN07292376	SRR5770123
Clupea_harengus	PRJNA356817	SAMN06127788	SRR5097365
Clupea_harengus	PRJNA642736	SAMN15398084	SRR12106887
Clupea_harengus	PRJNA642736	SAMN15398089	SRR12106874
Clupea_harengus	PRJNA642736	SAMN15398089	SRR12106875
Clupea_harengus	PRJNA642736	SAMN15398089	SRR12106876
Clupea_harengus	PRJNA642736	SAMN15398088	SRR12106879
Clupea_harengus	PRJNA642736	SAMN15398088	SRR12106880
Clupea_harengus	PRJNA642736	SAMN15398087	SRR12106881
Clupea_harengus	PRJNA642736	SAMN15398086	SRR12106883
Clupea_harengus	PRJNA642736	SAMN15398086	SRR12106884
Clupea_harengus	PRJNA642736	SAMN15398085	SRR12106885
Clupea_harengus	PRJNA642736	SAMN15398085	SRR12106886
Clupea_harengus	PRJNA642736	SAMN15398083	SRR12106889
Clupea_harengus	PRJNA642736	SAMN15398082	SRR12106890
Clupea_harengus	PRJNA642736	SAMN15398080	SRR12106892
Clupea_harengus	PRJNA642736	SAMN15398080	SRR12106893
Clupea_harengus	PRJNA642736	SAMN15398080	SRR12106894
Clupea_harengus	PRJNA642736	SAMN15398079	SRR12106895
Clupea_harengus	PRJNA642736	SAMN15398078	SRR12106896
Clupea_harengus	PRJNA642736	SAMN15398077	SRR12106897
Clupea_harengus	PRJNA642736	SAMN15398077	SRR12106898
Clupea_harengus	PRJNA642736	SAMN15398076	SRR12106900
Clupea_harengus	PRJNA642736	SAMN15398076	SRR12106901
Clupea_harengus	PRJNA642736	SAMN15398075	SRR12106902
Clupea_harengus	PRJNA642736	SAMN15398074	SRR12106903
Clupea_harengus	PRJNA642736	SAMN15398073	SRR12106904
Clupea_harengus	PRJNA642736	SAMN15398072	SRR12106905
Clupea_harengus	PRJNA642736	SAMN15398072	SRR12106906
Clupea_harengus	PRJNA642736	SAMN15398071	SRR12106907
Clupea_harengus	PRJNA642736	SAMN15398070	SRR12106908
Clupea_harengus	PRJNA642736	SAMN15398069	SRR12106909
Clupea_harengus	PRJNA642736	SAMN15398067	SRR12106912
Clupea_harengus	PRJNA642736	SAMN15398065	SRR12106914
Clupea_harengus	PRJNA642736	SAMN15398064	SRR12106915
Clupea_harengus	PRJNA642736	SAMN15398063	SRR12106916
Clupea_harengus	PRJNA642736	SAMN15398062	SRR12106917
Clupea_harengus	PRJNA642736	SAMN15398061	SRR12106918
Clupea_harengus	PRJNA642736	SAMN15398060	SRR12106919
Clupea_harengus	PRJNA642736	SAMN15398059	SRR12106920
Clupea_harengus	PRJNA642736	SAMN15398058	SRR12106922
Clupea_harengus	PRJNA642736	SAMN15398057	SRR12106923
Clupea_harengus	PRJNA642736	SAMN15398056	SRR12106924
Clupea_harengus	PRJNA642736	SAMN15398053	SRR12106927
Clupea_harengus	PRJNA642736	SAMN15398053	SRR12106928
Clupea_harengus	PRJNA642736	SAMN15398052	SRR12106930
Clupea_harengus	PRJNA642736	SAMN15398051	SRR12106933
Clupea_harengus	PRJNA642736	SAMN15398050	SRR12106934
Clupea_harengus	PRJNA642736	SAMN15398050	SRR12106935
Clupea_harengus	PRJNA642736	SAMN15398049	SRR12106936
Clupea_harengus	PRJNA642736	SAMN15398049	SRR12106937
Clupea_harengus	PRJNA642736	SAMN15398048	SRR12106938
Clupea_harengus	PRJNA642736	SAMN15398048	SRR12106939
Clupea_harengus	PRJNA642736	SAMN15398047	SRR12106940
Clupea_harengus	PRJNA642736	SAMN15398047	SRR12106941
Clupea_harengus	PRJNA642736	SAMN15398046	SRR12106942
Clupea_harengus	PRJNA642736	SAMN15398046	SRR12106944
Clupea_harengus	PRJNA642736	SAMN15398045	SRR12106945
Clupea_harengus	PRJNA642736	SAMN15398044	SRR12106947
Clupea_harengus	PRJNA642736	SAMN15398043	SRR12106948
Clupea_harengus	PRJNA642736	SAMN15398042	SRR12106949
Clupea_harengus	PRJNA642736	SAMN15398041	SRR12106950
Clupea_harengus	PRJNA642736	SAMN15398041	SRR12106951
Clupea_harengus	PRJNA642736	SAMN15398040	SRR12106952
Clupea_harengus	PRJNA642736	SAMN15398040	SRR12106953
Clupea_harengus	PRJNA642736	SAMN15398039	SRR12106955
Clupea_harengus	PRJNA642736	SAMN15398086	SRR12106882
Clupea_harengus	PRJNA642736	SAMN15398055	SRR12106925
Clupea_harengus	PRJNA642736	SAMN15398068	SRR12106911
Clupea_harengus	PRJNA642736	SAMN15398051	SRR12106931
Clupea_harengus	PRJNA642736	SAMN15398081	SRR12106891
Clupea_harengus	PRJNA642736	SAMN15398039	SRR12106956
Clupea_harengus	PRJNA642736	SAMN15398066	SRR12106913
Clupea_harengus	PRJNA642736	SAMN15398052	SRR12106929
Clupea_harengus	PRJNA642736	SAMN15398045	SRR12106946
Clupea_harengus	PRJNA642736	SAMN15398088	SRR12106878
Clupea_harengus	PRJNA642736	SAMN15398054	SRR12106926
Clupea_harengus	PRJNA338612	SAMN05589101	SRR5410393
Clupea_harengus	PRJNA338612	SAMN05589100	SRR5410394
Clupea_harengus	PRJNA338612	SAMN05589099	SRR5410395
Clupea_harengus	PRJNA338612	SAMN05589098	SRR5410396
Clupea_harengus	PRJNA338612	SAMN05589096	SRR5410398
Clupea_harengus	PRJNA338612	SAMN05589094	SRR5410400
Clupea_harengus	PRJNA338612	SAMN05589093	SRR5410401
Clupea_harengus	PRJNA338612	SAMN05589090	SRR5410404
Clupea_harengus	PRJNA338612	SAMN05589089	SRR5410405
Clupea_harengus	PRJNA338612	SAMN05589088	SRR5410406
Clupea_harengus	PRJNA338612	SAMN05589085	SRR5410409
Clupea_harengus	PRJNA338612	SAMN05589084	SRR5410410
Clupea_harengus	PRJNA338612	SAMN05589083	SRR5410411
Clupea_harengus	PRJNA338612	SAMN05589082	SRR5410412
Clupea_harengus	PRJNA338612	SAMN05589081	SRR5410413
Clupea_harengus	PRJNA338612	SAMN05589080	SRR5362785
Clupea_harengus	PRJNA338612	SAMN05589079	SRR5362786
Clupea_harengus	PRJNA338612	SAMN05589078	SRR5362787
Clupea_harengus	PRJNA338612	SAMN05589077	SRR5362788
Clupea_harengus	PRJNA338612	SAMN05589076	SRR5362789
Clupea_harengus	PRJNA338612	SAMN05589075	SRR5362790
Clupea_harengus	PRJNA338612	SAMN05589091	SRR5410403
Clupea_harengus	PRJNA338612	SAMN05589087	SRR5410407
Clupea_harengus	PRJNA338612	SAMN05589092	SRR5410402
Clupea_harengus	PRJNA338612	SAMN05589086	SRR5410408
Clupea_harengus	PRJNA338612	SAMN05589095	SRR5410399
Clupea_harengus	PRJNA338612	SAMN05589097	SRR5410397
