Organism	BioProject	BioSample	Run
Coilia_nasus	PRJNA422339	SAMN13381277	SRR6384181
Coilia_nasus	PRJNA422339	SAMN13381278	SRR6384182
Coilia_nasus	PRJNA422339	SAMN13381271	SRR6384183
Coilia_nasus	PRJNA422339	SAMN13381272	SRR6384184
Coilia_nasus	PRJNA422339	SAMN13381269	SRR6384185
Coilia_nasus	PRJNA422339	SAMN13381275	SRR6384187
Coilia_nasus	PRJNA422339	SAMN13381276	SRR6384188
Coilia_nasus	PRJNA422339	SAMN13381273	SRR6384189
Coilia_nasus	PRJNA422339	SAMN13381274	SRR6384190
Coilia_nasus	PRJNA422339	SAMN13381304	SRR6384193
Coilia_nasus	PRJNA422339	SAMN13381303	SRR6384194
Coilia_nasus	PRJNA422339	SAMN13381301	SRR6384196
Coilia_nasus	PRJNA422339	SAMN13381300	SRR6384197
Coilia_nasus	PRJNA422339	SAMN13381299	SRR6384198
Coilia_nasus	PRJNA422339	SAMN13381228	SRR6384201
Coilia_nasus	PRJNA422339	SAMN13381227	SRR6384202
Coilia_nasus	PRJNA422339	SAMN13381226	SRR6384203
Coilia_nasus	PRJNA422339	SAMN13381225	SRR6384204
Coilia_nasus	PRJNA422339	SAMN13381224	SRR6384205
Coilia_nasus	PRJNA422339	SAMN13381222	SRR6384207
Coilia_nasus	PRJNA422339	SAMN13381221	SRR6384208
Coilia_nasus	PRJNA422339	SAMN13381220	SRR6384209
Coilia_nasus	PRJNA422339	SAMN13381219	SRR6384210
Coilia_nasus	PRJNA422339	SAMN13381289	SRR6384211
Coilia_nasus	PRJNA422339	SAMN13381290	SRR6384212
Coilia_nasus	PRJNA422339	SAMN13381291	SRR6384213
Coilia_nasus	PRJNA422339	SAMN13381292	SRR6384214
Coilia_nasus	PRJNA422339	SAMN13381293	SRR6384215
Coilia_nasus	PRJNA422339	SAMN13381294	SRR6384216
Coilia_nasus	PRJNA422339	SAMN13381295	SRR6384217
Coilia_nasus	PRJNA422339	SAMN13381297	SRR6384219
Coilia_nasus	PRJNA422339	SAMN13381298	SRR6384220
Coilia_nasus	PRJNA422339	SAMN13381244	SRR6384221
Coilia_nasus	PRJNA422339	SAMN13381243	SRR6384222
Coilia_nasus	PRJNA422339	SAMN13381246	SRR6384223
Coilia_nasus	PRJNA422339	SAMN13381245	SRR6384224
Coilia_nasus	PRJNA422339	SAMN13381240	SRR6384225
Coilia_nasus	PRJNA422339	SAMN13381239	SRR6384226
Coilia_nasus	PRJNA422339	SAMN13381242	SRR6384227
Coilia_nasus	PRJNA422339	SAMN13381241	SRR6384228
Coilia_nasus	PRJNA422339	SAMN13381248	SRR6384229
Coilia_nasus	PRJNA422339	SAMN13381247	SRR6384230
Coilia_nasus	PRJNA422339	SAMN13381235	SRR6384231
Coilia_nasus	PRJNA422339	SAMN13381236	SRR6384232
Coilia_nasus	PRJNA422339	SAMN13381233	SRR6384233
Coilia_nasus	PRJNA422339	SAMN13381234	SRR6384234
Coilia_nasus	PRJNA422339	SAMN13381231	SRR6384235
Coilia_nasus	PRJNA422339	SAMN13381232	SRR6384236
Coilia_nasus	PRJNA422339	SAMN13381229	SRR6384237
Coilia_nasus	PRJNA422339	SAMN13381230	SRR6384238
Coilia_nasus	PRJNA422339	SAMN13381237	SRR6384240
Coilia_nasus	PRJNA422339	SAMN13381238	SRR6384241
Coilia_nasus	PRJNA422339	SAMN13381262	SRR6384243
Coilia_nasus	PRJNA422339	SAMN13381261	SRR6384244
Coilia_nasus	PRJNA422339	SAMN13381260	SRR6384245
Coilia_nasus	PRJNA422339	SAMN13381259	SRR6384246
Coilia_nasus	PRJNA422339	SAMN13381266	SRR6384247
Coilia_nasus	PRJNA422339	SAMN13381265	SRR6384248
Coilia_nasus	PRJNA422339	SAMN13381264	SRR6384249
Coilia_nasus	PRJNA422339	SAMN13381263	SRR6384250
Coilia_nasus	PRJNA422339	SAMN13381268	SRR6384252
Coilia_nasus	PRJNA422339	SAMN13381267	SRR6384253
Coilia_nasus	PRJNA422339	SAMN13381218	SRR6384254
Coilia_nasus	PRJNA422339	SAMN13381217	SRR6384255
Coilia_nasus	PRJNA422339	SAMN13381214	SRR6384256
Coilia_nasus	PRJNA422339	SAMN13381213	SRR6384257
Coilia_nasus	PRJNA422339	SAMN13381216	SRR6384258
Coilia_nasus	PRJNA422339	SAMN13381215	SRR6384259
Coilia_nasus	PRJNA422339	SAMN08177143	SRR6384261
Coilia_nasus	PRJNA422339	SAMN13381212	SRR6384262
