Organism	BioProject	BioSample	Run
Corvus_brachyrhynchos	PRJNA192205	SAMN02743852	SRR1289962
Corvus_brachyrhynchos	PRJNA192205	SAMN02743852	SRR1289965
Corvus_brachyrhynchos	PRJNA192205	SAMN02743852	SRR1289975
Corvus_brachyrhynchos	PRJNA192205	SAMN02743852	SRR1284298
Corvus_brachyrhynchos	PRJNA192205	SAMN02743848	SRR1286110
Corvus_brachyrhynchos	PRJNA192205	SAMN02743848	SRR1286111
Corvus_brachyrhynchos	PRJNA192205	SAMN02743848	SRR1286112
Corvus_brachyrhynchos	PRJNA192205	SAMN02743848	SRR1286113
Corvus_brachyrhynchos	PRJNA192205	SAMN02743848	SRR1286115
Corvus_brachyrhynchos	PRJNA192205	SAMN02743850	SRR1286117
Corvus_brachyrhynchos	PRJNA192205	SAMN02743850	SRR1286118
Corvus_brachyrhynchos	PRJNA192205	SAMN02743850	SRR1286119
Corvus_brachyrhynchos	PRJNA192205	SAMN02743850	SRR1286121
Corvus_brachyrhynchos	PRJNA192205	SAMN02743850	SRR1286122
Corvus_brachyrhynchos	PRJNA192205	SAMN02743849	SRR1286123
Corvus_brachyrhynchos	PRJNA192205	SAMN02743849	SRR1286124
Corvus_brachyrhynchos	PRJNA192205	SAMN02743849	SRR1286125
Corvus_brachyrhynchos	PRJNA192205	SAMN02743849	SRR1286127
Corvus_brachyrhynchos	PRJNA192205	SAMN02743849	SRR1286128
Corvus_brachyrhynchos	PRJNA192205	SAMN02743851	SRR1286130
Corvus_brachyrhynchos	PRJNA192205	SAMN02743851	SRR1286131
Corvus_brachyrhynchos	PRJNA192205	SAMN02743851	SRR1286132
Corvus_brachyrhynchos	PRJNA192205	SAMN02743851	SRR1286134
Corvus_brachyrhynchos	PRJNA192205	SAMN02743851	SRR1286135
Corvus_brachyrhynchos	PRJNA192205	SAMN02743852	SRR1289976
Corvus_brachyrhynchos	PRJNA192205	SAMN02743849	SRR1286126
