Organism	BioProject	BioSample	Run
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867110
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867112
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867113
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867114
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867115
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867116
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867117
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867118
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	SRR867119
Corvus_cornix_cornix	PRJNA192205	SAMN02439805	SRR1265090
Corvus_cornix_cornix	PRJNA192205	SAMN02439805	SRR1265091
Corvus_cornix_cornix	PRJNA192205	SAMN02439805	SRR1265092
Corvus_cornix_cornix	PRJNA192205	SAMN02439805	SRR1265093
Corvus_cornix_cornix	PRJNA192205	SAMN02439805	SRR1265094
Corvus_cornix_cornix	PRJNA192205	SAMN02439806	SRR1265101
Corvus_cornix_cornix	PRJNA192205	SAMN02439806	SRR1265102
Corvus_cornix_cornix	PRJNA192205	SAMN02439806	SRR1265103
Corvus_cornix_cornix	PRJNA192205	SAMN02439807	SRR1265105
Corvus_cornix_cornix	PRJNA192205	SAMN02439807	SRR1265106
Corvus_cornix_cornix	PRJNA192205	SAMN02439807	SRR1265107
Corvus_cornix_cornix	PRJNA192205	SAMN02439807	SRR1265108
Corvus_cornix_cornix	PRJNA192205	SAMN02439808	SRR1265116
Corvus_cornix_cornix	PRJNA192205	SAMN02439808	SRR1265118
Corvus_cornix_cornix	PRJNA192205	SAMN02439808	SRR1265119
Corvus_cornix_cornix	PRJNA192205	SAMN02439808	SRR1265120
Corvus_cornix_cornix	PRJNA192205	SAMN02439809	SRR1265419
Corvus_cornix_cornix	PRJNA192205	SAMN02439809	SRR1265420
Corvus_cornix_cornix	PRJNA192205	SAMN02439809	SRR1265421
Corvus_cornix_cornix	PRJNA192205	SAMN02439810	SRR1265422
Corvus_cornix_cornix	PRJNA192205	SAMN02439810	SRR1265423
Corvus_cornix_cornix	PRJNA192205	SAMN02439810	SRR1265424
Corvus_cornix_cornix	PRJNA192205	SAMN02439810	SRR1265425
Corvus_cornix_cornix	PRJNA192205	SAMN02439811	SRR1265427
Corvus_cornix_cornix	PRJNA192205	SAMN02439811	SRR1265428
Corvus_cornix_cornix	PRJNA192205	SAMN02439812	SRR1265485
Corvus_cornix_cornix	PRJNA192205	SAMN02439812	SRR1265486
Corvus_cornix_cornix	PRJNA192205	SAMN02439812	SRR1265487
Corvus_cornix_cornix	PRJNA192205	SAMN02439812	SRR1265488
Corvus_cornix_cornix	PRJNA192205	SAMN02439814	SRR1265490
Corvus_cornix_cornix	PRJNA192205	SAMN02439814	SRR1265491
Corvus_cornix_cornix	PRJNA192205	SAMN02439814	SRR1265493
Corvus_cornix_cornix	PRJNA192205	SAMN02439813	SRR1265959
Corvus_cornix_cornix	PRJNA192205	SAMN02439813	SRR1265960
Corvus_cornix_cornix	PRJNA192205	SAMN02439813	SRR1265961
Corvus_cornix_cornix	PRJNA192205	SAMN02439813	SRR1265962
Corvus_cornix_cornix	PRJNA192205	SAMN02439815	SRR1266946
Corvus_cornix_cornix	PRJNA192205	SAMN02439815	SRR1266947
Corvus_cornix_cornix	PRJNA192205	SAMN02439815	SRR1266948
Corvus_cornix_cornix	PRJNA192205	SAMN02439815	SRR1266949
Corvus_cornix_cornix	PRJNA192205	SAMN02439816	SRR1266950
Corvus_cornix_cornix	PRJNA192205	SAMN02439816	SRR1266951
Corvus_cornix_cornix	PRJNA192205	SAMN02439816	SRR1266953
Corvus_cornix_cornix	PRJNA192205	SAMN02439817	SRR1266954
Corvus_cornix_cornix	PRJNA192205	SAMN02439817	SRR1266955
Corvus_cornix_cornix	PRJNA192205	SAMN02439817	SRR1266956
Corvus_cornix_cornix	PRJNA192205	SAMN02439817	SRR1266957
Corvus_cornix_cornix	PRJNA192205	SAMN02439817	SRR1266958
Corvus_cornix_cornix	PRJNA192205	SAMN02439818	SRR1266959
Corvus_cornix_cornix	PRJNA192205	SAMN02439818	SRR1266960
Corvus_cornix_cornix	PRJNA192205	SAMN02439819	SRR1266963
Corvus_cornix_cornix	PRJNA192205	SAMN02439819	SRR1266964
Corvus_cornix_cornix	PRJNA192205	SAMN02439819	SRR1266965
Corvus_cornix_cornix	PRJNA192205	SAMN02439819	SRR1266966
Corvus_cornix_cornix	PRJNA192205	SAMN02439820	SRR1269689
Corvus_cornix_cornix	PRJNA192205	SAMN02439820	SRR1269690
Corvus_cornix_cornix	PRJNA192205	SAMN02439820	SRR1269692
Corvus_cornix_cornix	PRJNA192205	SAMN02439820	SRR1269693
Corvus_cornix_cornix	PRJNA192205	SAMN02439821	SRR1269694
Corvus_cornix_cornix	PRJNA192205	SAMN02439821	SRR1269695
