Organism	BioProject	BioSample	Run
Coturnix_japonica	PRJNA339911	SAMN06756386	SRR5460167
Coturnix_japonica	PRJNA339911	SAMN06756401	SRR5460168
Coturnix_japonica	PRJNA339911	SAMN06756387	SRR5460169
Coturnix_japonica	PRJNA339911	SAMN06756392	SRR5460170
Coturnix_japonica	PRJNA339911	SAMN06756384	SRR5460171
Coturnix_japonica	PRJNA339911	SAMN06756399	SRR5460172
Coturnix_japonica	PRJNA339911	SAMN06756385	SRR5460173
Coturnix_japonica	PRJNA339911	SAMN06756400	SRR5460174
Coturnix_japonica	PRJNA339911	SAMN06756390	SRR5460175
Coturnix_japonica	PRJNA339911	SAMN06756391	SRR5460177
Coturnix_japonica	PRJNA339911	SAMN06756396	SRR5460178
Coturnix_japonica	PRJNA339911	SAMN06756388	SRR5460179
Coturnix_japonica	PRJNA339911	SAMN06756393	SRR5460180
Coturnix_japonica	PRJNA339911	SAMN06756389	SRR5460181
Coturnix_japonica	PRJNA339911	SAMN06756394	SRR5460182
Coturnix_japonica	PRJNA339911	SAMN06756382	SRR5460183
Coturnix_japonica	PRJNA339911	SAMN06756397	SRR5460184
Coturnix_japonica	PRJNA339911	SAMN06756383	SRR5460185
Coturnix_japonica	PRJNA339911	SAMN06756398	SRR5460186
Coturnix_japonica	PRJNA339911	SAMN06756450	SRR5460187
Coturnix_japonica	PRJNA339911	SAMN06756443	SRR5460188
Coturnix_japonica	PRJNA339911	SAMN06756448	SRR5460189
Coturnix_japonica	PRJNA339911	SAMN06756445	SRR5460190
Coturnix_japonica	PRJNA339911	SAMN06756449	SRR5460191
Coturnix_japonica	PRJNA339911	SAMN06756446	SRR5460192
Coturnix_japonica	PRJNA339911	SAMN06756451	SRR5460193
Coturnix_japonica	PRJNA339911	SAMN06756447	SRR5460194
Coturnix_japonica	PRJNA339911	SAMN06756452	SRR5460195
Coturnix_japonica	PRJNA339911	SAMN06756444	SRR5460196
Coturnix_japonica	PRJNA339911	SAMN06756424	SRR5460197
Coturnix_japonica	PRJNA339911	SAMN06756423	SRR5460198
Coturnix_japonica	PRJNA339911	SAMN06756422	SRR5460199
Coturnix_japonica	PRJNA339911	SAMN06756425	SRR5460200
Coturnix_japonica	PRJNA339911	SAMN06756426	SRR5460201
Coturnix_japonica	PRJNA339911	SAMN06756431	SRR5460202
Coturnix_japonica	PRJNA339911	SAMN06756430	SRR5460203
Coturnix_japonica	PRJNA339911	SAMN06756427	SRR5460204
Coturnix_japonica	PRJNA339911	SAMN06756429	SRR5460206
Coturnix_japonica	PRJNA339911	SAMN06756437	SRR5460207
Coturnix_japonica	PRJNA339911	SAMN06756432	SRR5460209
Coturnix_japonica	PRJNA339911	SAMN06756433	SRR5460210
Coturnix_japonica	PRJNA339911	SAMN06756434	SRR5460211
Coturnix_japonica	PRJNA339911	SAMN06756436	SRR5460212
Coturnix_japonica	PRJNA339911	SAMN06756441	SRR5460213
Coturnix_japonica	PRJNA339911	SAMN06756439	SRR5460214
Coturnix_japonica	PRJNA339911	SAMN06756440	SRR5460215
Coturnix_japonica	PRJNA339911	SAMN06756442	SRR5460216
Coturnix_japonica	PRJNA339911	SAMN06756438	SRR5460217
Coturnix_japonica	PRJNA339911	SAMN06756402	SRR5460218
Coturnix_japonica	PRJNA339911	SAMN06756417	SRR5460219
Coturnix_japonica	PRJNA339911	SAMN06756403	SRR5460220
Coturnix_japonica	PRJNA339911	SAMN06756418	SRR5460221
Coturnix_japonica	PRJNA339911	SAMN06756407	SRR5460222
Coturnix_japonica	PRJNA339911	SAMN06756412	SRR5460223
Coturnix_japonica	PRJNA339911	SAMN06756408	SRR5460224
Coturnix_japonica	PRJNA339911	SAMN06756413	SRR5460225
Coturnix_japonica	PRJNA339911	SAMN06756409	SRR5460226
Coturnix_japonica	PRJNA339911	SAMN06756414	SRR5460227
Coturnix_japonica	PRJNA339911	SAMN06756410	SRR5460228
Coturnix_japonica	PRJNA339911	SAMN06756415	SRR5460229
Coturnix_japonica	PRJNA339911	SAMN06756411	SRR5460230
Coturnix_japonica	PRJNA339911	SAMN06756416	SRR5460231
Coturnix_japonica	PRJNA339911	SAMN06756419	SRR5460233
Coturnix_japonica	PRJNA339911	SAMN06756405	SRR5460234
Coturnix_japonica	PRJNA339911	SAMN06756420	SRR5460235
Coturnix_japonica	PRJNA339911	SAMN06756406	SRR5460236
Coturnix_japonica	PRJNA339911	SAMN06756421	SRR5460237
Coturnix_japonica	PRJNA339911	SAMN08892728	SRR6974327
Coturnix_japonica	PRJNA339911	SAMN08892727	SRR6974328
Coturnix_japonica	PRJNA339911	SAMN08892730	SRR6974329
Coturnix_japonica	PRJNA339911	SAMN08892729	SRR6974330
Coturnix_japonica	PRJNA339911	SAMN08892723	SRR6974332
Coturnix_japonica	PRJNA339911	SAMN08892726	SRR6974333
Coturnix_japonica	PRJNA339911	SAMN08892725	SRR6974334
Coturnix_japonica	PRJNA339911	SAMN08892732	SRR6974335
Coturnix_japonica	PRJNA339911	SAMN08892731	SRR6974336
Coturnix_japonica	PRJNA339911	SAMN08892743	SRR6974337
Coturnix_japonica	PRJNA339911	SAMN08892722	SRR6974338
Coturnix_japonica	PRJNA339911	SAMN08892721	SRR6974339
Coturnix_japonica	PRJNA339911	SAMN08892720	SRR6974340
Coturnix_japonica	PRJNA339911	SAMN08892719	SRR6974341
Coturnix_japonica	PRJNA339911	SAMN08892718	SRR6974342
Coturnix_japonica	PRJNA339911	SAMN08892717	SRR6974343
Coturnix_japonica	PRJNA339911	SAMN08892716	SRR6974344
Coturnix_japonica	PRJNA339911	SAMN08892715	SRR6974345
Coturnix_japonica	PRJNA339911	SAMN08892714	SRR6974346
Coturnix_japonica	PRJNA339911	SAMN08892713	SRR6974347
Coturnix_japonica	PRJNA339911	SAMN08892741	SRR6974348
Coturnix_japonica	PRJNA339911	SAMN08892742	SRR6974349
Coturnix_japonica	PRJNA339911	SAMN08892733	SRR6974350
Coturnix_japonica	PRJNA339911	SAMN08892734	SRR6974351
Coturnix_japonica	PRJNA339911	SAMN08892735	SRR6974352
Coturnix_japonica	PRJNA339911	SAMN08892736	SRR6974353
Coturnix_japonica	PRJNA339911	SAMN08892737	SRR6974354
Coturnix_japonica	PRJNA339911	SAMN08892738	SRR6974355
Coturnix_japonica	PRJNA339911	SAMN08892739	SRR6974356
Coturnix_japonica	PRJNA339911	SAMN08892724	SRR6974331
Coturnix_japonica	PRJNA339911	SAMN06756395	SRR5460176
Coturnix_japonica	PRJNA339911	SAMN08892740	SRR6974357
Coturnix_japonica	PRJNA339911	SAMN06756404	SRR5460232
Coturnix_japonica	PRJNA339911	SAMN06756435	SRR5460208
Coturnix_japonica	PRJNA339911	SAMN06756428	SRR5460205
