Organism	BioProject	BioSample	Run
Cyprinodon_variegatus	PRJNA690558	SAMN17251346	SRR13394204
Cyprinodon_variegatus	PRJNA690558	SAMN17251344	SRR13394206
Cyprinodon_variegatus	PRJNA690558	SAMN17251342	SRR13394208
Cyprinodon_variegatus	PRJNA690558	SAMN17251341	SRR13394209
Cyprinodon_variegatus	PRJNA690558	SAMN17251340	SRR13394210
Cyprinodon_variegatus	PRJNA690558	SAMN17251339	SRR13394211
Cyprinodon_variegatus	PRJNA690558	SAMN17251338	SRR13394213
Cyprinodon_variegatus	PRJNA690558	SAMN17251337	SRR13394214
Cyprinodon_variegatus	PRJNA690558	SAMN17251336	SRR13394215
Cyprinodon_variegatus	PRJNA690558	SAMN17251335	SRR13394216
Cyprinodon_variegatus	PRJNA690558	SAMN17251334	SRR13394217
Cyprinodon_variegatus	PRJNA690558	SAMN17251333	SRR13394218
Cyprinodon_variegatus	PRJNA690558	SAMN17251331	SRR13394220
Cyprinodon_variegatus	PRJNA690558	SAMN17251330	SRR13394221
Cyprinodon_variegatus	PRJNA690558	SAMN17251328	SRR13394224
Cyprinodon_variegatus	PRJNA690558	SAMN17251326	SRR13394226
Cyprinodon_variegatus	PRJNA690558	SAMN17251325	SRR13394227
Cyprinodon_variegatus	PRJNA690558	SAMN17251324	SRR13394228
Cyprinodon_variegatus	PRJNA690558	SAMN17251323	SRR13394229
Cyprinodon_variegatus	PRJNA690558	SAMN17251322	SRR13394230
Cyprinodon_variegatus	PRJNA690558	SAMN17251321	SRR13394231
Cyprinodon_variegatus	PRJNA690558	SAMN17251320	SRR13394232
Cyprinodon_variegatus	PRJNA690558	SAMN17251277	SRR13394280
Cyprinodon_variegatus	PRJNA690558	SAMN17251435	SRR13394282
Cyprinodon_variegatus	PRJNA690558	SAMN17251276	SRR13394289
Cyprinodon_variegatus	PRJNA690558	SAMN17251420	SRR13394298
Cyprinodon_variegatus	PRJNA690558	SAMN17251419	SRR13394299
Cyprinodon_variegatus	PRJNA690558	SAMN17251275	SRR13394300
Cyprinodon_variegatus	PRJNA690558	SAMN17251417	SRR13394302
Cyprinodon_variegatus	PRJNA690558	SAMN17251416	SRR13394303
Cyprinodon_variegatus	PRJNA690558	SAMN17251403	SRR13394317
Cyprinodon_variegatus	PRJNA690558	SAMN17251402	SRR13394318
Cyprinodon_variegatus	PRJNA690558	SAMN17251385	SRR13394337
Cyprinodon_variegatus	PRJNA690558	SAMN17251384	SRR13394338
Cyprinodon_variegatus	PRJNA690558	SAMN17251383	SRR13394339
Cyprinodon_variegatus	PRJNA690558	SAMN17251382	SRR13394340
Cyprinodon_variegatus	PRJNA690558	SAMN17251381	SRR13394341
Cyprinodon_variegatus	PRJNA690558	SAMN17251380	SRR13394342
Cyprinodon_variegatus	PRJNA690558	SAMN17251379	SRR13394343
Cyprinodon_variegatus	PRJNA690558	SAMN17251378	SRR13394345
Cyprinodon_variegatus	PRJNA690558	SAMN17251377	SRR13394346
Cyprinodon_variegatus	PRJNA690558	SAMN17251376	SRR13394347
Cyprinodon_variegatus	PRJNA690558	SAMN17251375	SRR13394348
Cyprinodon_variegatus	PRJNA690558	SAMN17251374	SRR13394349
Cyprinodon_variegatus	PRJNA690558	SAMN17251373	SRR13394350
Cyprinodon_variegatus	PRJNA690558	SAMN17251372	SRR13394351
Cyprinodon_variegatus	PRJNA690558	SAMN17251371	SRR13394352
Cyprinodon_variegatus	PRJNA690558	SAMN17251370	SRR13394353
Cyprinodon_variegatus	PRJNA690558	SAMN17251369	SRR13394354
Cyprinodon_variegatus	PRJNA690558	SAMN17251368	SRR13394356
Cyprinodon_variegatus	PRJNA690558	SAMN17251367	SRR13394357
Cyprinodon_variegatus	PRJNA690558	SAMN17251366	SRR13394358
Cyprinodon_variegatus	PRJNA690558	SAMN17251365	SRR13394359
Cyprinodon_variegatus	PRJNA690558	SAMN17251364	SRR13394360
Cyprinodon_variegatus	PRJNA690558	SAMN17251363	SRR13394361
Cyprinodon_variegatus	PRJNA690558	SAMN17251362	SRR13394362
Cyprinodon_variegatus	PRJNA690558	SAMN17251361	SRR13394363
Cyprinodon_variegatus	PRJNA690558	SAMN17251259	SRR13394368
Cyprinodon_variegatus	PRJNA690558	SAMN17251345	SRR13394205
Cyprinodon_variegatus	PRJNA690558	SAMN17251418	SRR13394301
Cyprinodon_variegatus	PRJNA690558	SAMN17251415	SRR13394304
Cyprinodon_variegatus	PRJNA690558	SAMN17251327	SRR13394225
Cyprinodon_variegatus	PRJNA690558	SAMN17251343	SRR13394207
Cyprinodon_variegatus	PRJNA690558	SAMN17251329	SRR13394222
Cyprinodon_variegatus	PRJNA690558	SAMN17251332	SRR13394219
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1263954
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1263955
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1263985
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261315
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261346
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261556
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261572
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261600
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261615
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261616
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261618
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1261820
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1262357
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1262386
Cyprinodon_variegatus	PRJNA89149	SAMN02736898	SRR1262387
