Organism	BioProject	BioSample	Run
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385615	ERR1599894
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385615	ERR1599895
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385616	ERR1599896
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385616	ERR1599897
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385617	ERR1599898
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385617	ERR1599899
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385618	ERR1599900
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385620	ERR1599902
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385621	ERR1599903
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385622	ERR1599904
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385623	ERR1599905
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385624	ERR1599906
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385625	ERR1599907
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385626	ERR1599908
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385627	ERR1599909
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385627	ERR1599910
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385628	ERR1599911
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385628	ERR1599912
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385629	ERR1599913
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385629	ERR1599914
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385619	ERR1599901
