Organism	BioProject	BioSample	Run
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750985
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750986
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750987
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750988
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750989
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750990
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750991
Hypoplectrus_puella	PRJEB27858	SAMEA4799754	ERR2751026
Hypoplectrus_puella	PRJEB27858	SAMEA4799747	ERR2751028
Hypoplectrus_puella	PRJEB27858	SAMEA4799753	ERR2751030
Hypoplectrus_puella	PRJEB27858	SAMEA4799746	ERR2751039
Hypoplectrus_puella	PRJEB27858	SAMEA4799750	ERR2751044
Hypoplectrus_puella	PRJEB27858	SAMEA4799745	ERR2751046
Hypoplectrus_puella	PRJEB27858	SAMEA4799749	ERR2751048
Hypoplectrus_puella	PRJEB27858	SAMEA4799748	ERR2751049
Hypoplectrus_puella	PRJEB27858	SAMEA4799748	ERR2751050
Hypoplectrus_puella	PRJEB27858	SAMEA4799744	ERR2751051
Hypoplectrus_puella	PRJEB27858	SAMEA4799752	ERR2751055
Hypoplectrus_puella	PRJEB27858	SAMEA4799751	ERR2751058
Hypoplectrus_puella	PRJEB27858	SAMEA4799743	ERR2751060
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2751069
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2751070
Hypoplectrus_puella	PRJEB27858	SAMEA4799719	ERR2751072
Hypoplectrus_puella	PRJEB27858	SAMEA4799720	ERR2751074
Hypoplectrus_puella	PRJEB27858	SAMEA4799722	ERR2751084
Hypoplectrus_puella	PRJEB27858	SAMEA4799723	ERR2751085
Hypoplectrus_puella	PRJEB27858	SAMEA4799725	ERR2751088
Hypoplectrus_puella	PRJEB27858	SAMEA4799726	ERR2751089
Hypoplectrus_puella	PRJEB27858	SAMEA4799727	ERR2751090
Hypoplectrus_puella	PRJEB27858	SAMEA4799729	ERR2751092
Hypoplectrus_puella	PRJEB27858	SAMEA4799730	ERR2751093
Hypoplectrus_puella	PRJEB27858	SAMEA4799731	ERR2751107
Hypoplectrus_puella	PRJEB27858	SAMEA4799732	ERR2751108
Hypoplectrus_puella	PRJEB27858	SAMEA4799733	ERR2751109
Hypoplectrus_puella	PRJEB27858	SAMEA4799734	ERR2751110
Hypoplectrus_puella	PRJEB27858	SAMEA4799736	ERR2751112
Hypoplectrus_puella	PRJEB27858	SAMEA4799737	ERR2751113
Hypoplectrus_puella	PRJEB27858	SAMEA4799738	ERR2751114
Hypoplectrus_puella	PRJEB27858	SAMEA4799739	ERR2751138
Hypoplectrus_puella	PRJEB27858	SAMEA4799740	ERR2751139
Hypoplectrus_puella	PRJEB27858	SAMEA4799741	ERR2751140
Hypoplectrus_puella	PRJEB27858	SAMEA4799742	ERR2751141
Hypoplectrus_puella	PRJEB27858	SAMEA4799735	ERR2751111
Hypoplectrus_puella	PRJEB27858	SAMEA4799721	ERR2751080
Hypoplectrus_puella	PRJEB27858	SAMEA4799728	ERR2751091
Hypoplectrus_puella	PRJEB27858	SAMEA4799724	ERR2751087
