Organism	BioProject	BioSample	Run
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891305
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891306
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891307
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891308
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891309
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891310
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891311
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891312
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891313
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891314
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891315
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891316
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891317
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891318
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891319
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891320
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891321
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891322
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891323
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891324
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891325
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891326
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891327
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891328
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891329
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891330
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891331
Leuciscus_waleckii	PRJNA298374	SAMN04158632	SRR2891332
