Organism	BioProject	BioSample	Run
Maylandia_zebra	PRJEB1254	SAMEA3388874	ERR1081384
Maylandia_zebra	PRJEB15289	SAMEA4032066	ERR1749503
Maylandia_zebra	PRJEB15289	SAMEA4032067	ERR1749505
Maylandia_zebra	PRJEB15289	SAMEA4032068	ERR1749507
Maylandia_zebra	PRJEB15289	SAMEA4032069	ERR1749509
Maylandia_zebra	PRJEB15289	SAMEA4032070	ERR1749511
Maylandia_zebra	PRJEB15289	SAMEA4032089	ERR1749515
Maylandia_zebra	PRJEB15289	SAMEA4033278	ERR1749504
Maylandia_zebra	PRJEB15289	SAMEA4033279	ERR1749506
Maylandia_zebra	PRJEB15289	SAMEA4033280	ERR1749508
Maylandia_zebra	PRJEB15289	SAMEA4033281	ERR1749510
Maylandia_zebra	PRJEB15289	SAMEA4033282	ERR1749512
Maylandia_zebra	PRJEB15289	SAMEA4033283	ERR1749514
Maylandia_zebra	PRJEB15289	SAMEA4033284	ERR1749516
Maylandia_zebra	PRJEB15289	SAMEA4032088	ERR1749513
