Organism	BioProject	BioSample	Run
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750985
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750986
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750987
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750988
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750989
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750990
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2750991
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799785	ERR2751024
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799712	ERR2751025
Hypoplectrus_puella	PRJEB27858	SAMEA4799754	ERR2751026
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799711	ERR2751027
Hypoplectrus_puella	PRJEB27858	SAMEA4799747	ERR2751028
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799787	ERR2751029
Hypoplectrus_puella	PRJEB27858	SAMEA4799753	ERR2751030
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799788	ERR2751031
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799781	ERR2751032
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799713	ERR2751033
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799713	ERR2751034
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799708	ERR2751035
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799790	ERR2751036
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799709	ERR2751037
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799783	ERR2751038
Hypoplectrus_puella	PRJEB27858	SAMEA4799746	ERR2751039
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799707	ERR2751040
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799717	ERR2751041
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799782	ERR2751042
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799718	ERR2751043
Hypoplectrus_puella	PRJEB27858	SAMEA4799750	ERR2751044
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799715	ERR2751045
Hypoplectrus_puella	PRJEB27858	SAMEA4799745	ERR2751046
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799791	ERR2751047
Hypoplectrus_puella	PRJEB27858	SAMEA4799749	ERR2751048
Hypoplectrus_puella	PRJEB27858	SAMEA4799748	ERR2751049
Hypoplectrus_puella	PRJEB27858	SAMEA4799748	ERR2751050
Hypoplectrus_puella	PRJEB27858	SAMEA4799744	ERR2751051
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799784	ERR2751052
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799710	ERR2751053
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799710	ERR2751054
Hypoplectrus_puella	PRJEB27858	SAMEA4799752	ERR2751055
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799789	ERR2751056
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799716	ERR2751057
Hypoplectrus_puella	PRJEB27858	SAMEA4799751	ERR2751058
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799786	ERR2751059
Hypoplectrus_puella	PRJEB27858	SAMEA4799743	ERR2751060
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799714	ERR2751061
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799780	ERR2751062
Hypoplectrus_gummigutta	PRJEB27858	SAMEA4799792	ERR2751063
Hypoplectrus_gummigutta	PRJEB27858	SAMEA4799792	ERR2751064
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799779	ERR2751065
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799779	ERR2751066
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799706	ERR2751067
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799706	ERR2751068
