Organism	BioProject	BioSample	Run
Sylvia_atricapilla	PRJNA616371	SAMN14488541	SRR11451639
Sylvia_atricapilla	PRJNA616371	SAMN14488539	SRR11451642
Sylvia_atricapilla	PRJNA616371	SAMN14488538	SRR11451643
Sylvia_atricapilla	PRJNA616371	SAMN14488537	SRR11451644
Sylvia_atricapilla	PRJNA616371	SAMN14488536	SRR11451645
Sylvia_atricapilla	PRJNA616371	SAMN14488535	SRR11451646
Sylvia_atricapilla	PRJNA616371	SAMN14488534	SRR11451647
Sylvia_atricapilla	PRJNA616371	SAMN14488533	SRR11451648
Sylvia_atricapilla	PRJNA616371	SAMN14488532	SRR11451649
Sylvia_atricapilla	PRJNA616371	SAMN14488531	SRR11451650
Sylvia_atricapilla	PRJNA616371	SAMN14488459	SRR11451651
Sylvia_atricapilla	PRJNA616371	SAMN14488530	SRR11451652
Sylvia_atricapilla	PRJNA616371	SAMN14488529	SRR11451653
Sylvia_atricapilla	PRJNA616371	SAMN14488528	SRR11451654
Sylvia_atricapilla	PRJNA616371	SAMN14488527	SRR11451655
Sylvia_atricapilla	PRJNA616371	SAMN14488526	SRR11451656
Sylvia_atricapilla	PRJNA616371	SAMN14488525	SRR11451657
Sylvia_atricapilla	PRJNA616371	SAMN14488524	SRR11451658
Sylvia_atricapilla	PRJNA616371	SAMN14488523	SRR11451659
Sylvia_atricapilla	PRJNA616371	SAMN14488522	SRR11451660
Sylvia_atricapilla	PRJNA616371	SAMN14488458	SRR11451662
Sylvia_atricapilla	PRJNA616371	SAMN14488520	SRR11451663
Sylvia_atricapilla	PRJNA616371	SAMN14488519	SRR11451664
Sylvia_atricapilla	PRJNA616371	SAMN14488518	SRR11451665
Sylvia_atricapilla	PRJNA616371	SAMN14488517	SRR11451666
Sylvia_atricapilla	PRJNA616371	SAMN14488516	SRR11451667
Sylvia_atricapilla	PRJNA616371	SAMN14488515	SRR11451668
Sylvia_atricapilla	PRJNA616371	SAMN14488514	SRR11451669
Sylvia_atricapilla	PRJNA616371	SAMN14488513	SRR11451670
Sylvia_atricapilla	PRJNA616371	SAMN14488511	SRR11451672
Sylvia_atricapilla	PRJNA616371	SAMN14488457	SRR11451673
Sylvia_atricapilla	PRJNA616371	SAMN14488510	SRR11451674
Sylvia_atricapilla	PRJNA616371	SAMN14488509	SRR11451675
Sylvia_atricapilla	PRJNA616371	SAMN14488508	SRR11451676
Sylvia_atricapilla	PRJNA616371	SAMN14488507	SRR11451677
Sylvia_atricapilla	PRJNA616371	SAMN14488506	SRR11451678
Sylvia_atricapilla	PRJNA616371	SAMN14488505	SRR11451679
Sylvia_atricapilla	PRJNA616371	SAMN14488504	SRR11451680
Sylvia_atricapilla	PRJNA616371	SAMN14488503	SRR11451681
Sylvia_atricapilla	PRJNA616371	SAMN14488502	SRR11451682
Sylvia_atricapilla	PRJNA616371	SAMN14488501	SRR11451683
Sylvia_atricapilla	PRJNA616371	SAMN14488456	SRR11451684
Sylvia_atricapilla	PRJNA616371	SAMN14488500	SRR11451685
Sylvia_atricapilla	PRJNA616371	SAMN14488499	SRR11451686
Sylvia_atricapilla	PRJNA616371	SAMN14488498	SRR11451687
Sylvia_atricapilla	PRJNA616371	SAMN14488497	SRR11451688
Sylvia_atricapilla	PRJNA616371	SAMN14488496	SRR11451689
Sylvia_atricapilla	PRJNA616371	SAMN14488495	SRR11451690
Sylvia_atricapilla	PRJNA616371	SAMN14488494	SRR11451691
Sylvia_atricapilla	PRJNA616371	SAMN14488492	SRR11451693
Sylvia_atricapilla	PRJNA616371	SAMN14488491	SRR11451694
Sylvia_atricapilla	PRJNA616371	SAMN14488455	SRR11451695
Sylvia_atricapilla	PRJNA616371	SAMN14488490	SRR11451696
Sylvia_atricapilla	PRJNA616371	SAMN14488489	SRR11451697
Sylvia_atricapilla	PRJNA616371	SAMN14488487	SRR11451699
Sylvia_atricapilla	PRJNA616371	SAMN14488486	SRR11451700
Sylvia_atricapilla	PRJNA616371	SAMN14488485	SRR11451701
Sylvia_atricapilla	PRJNA616371	SAMN14488484	SRR11451702
Sylvia_atricapilla	PRJNA616371	SAMN14488483	SRR11451703
Sylvia_atricapilla	PRJNA616371	SAMN14488482	SRR11451704
Sylvia_atricapilla	PRJNA616371	SAMN14488481	SRR11451705
Sylvia_atricapilla	PRJNA616371	SAMN14488454	SRR11451706
Sylvia_atricapilla	PRJNA616371	SAMN14488480	SRR11451707
Sylvia_atricapilla	PRJNA616371	SAMN14488479	SRR11451708
Sylvia_atricapilla	PRJNA616371	SAMN14488478	SRR11451709
Sylvia_atricapilla	PRJNA616371	SAMN14488477	SRR11451710
Sylvia_atricapilla	PRJNA616371	SAMN14488476	SRR11451711
Sylvia_atricapilla	PRJNA616371	SAMN14488475	SRR11451712
Sylvia_atricapilla	PRJNA616371	SAMN14488474	SRR11451713
Sylvia_atricapilla	PRJNA616371	SAMN14488473	SRR11451714
