Organism	BioProject	BioSample	Run
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884552	SRR3511938
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884552	SRR3511939
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884553	SRR3511940
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884553	SRR3511945
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881279	SRR3511946
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881279	SRR3511948
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881279	SRR3511950
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881278	SRR3511952
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881278	SRR3511955
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881278	SRR3511956
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884551	SRR3511958
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884551	SRR3511960
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884551	SRR3511962
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884551	SRR3511963
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884554	SRR3511966
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884554	SRR3511968
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884555	SRR3511970
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884555	SRR3511972
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884555	SRR3511974
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884555	SRR3511975
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884556	SRR3511977
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884556	SRR3511978
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884556	SRR3511979
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884556	SRR3511981
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881205	SRR3465320
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881205	SRR3466714
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881205	SRR3466758
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881205	SRR3466760
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884552	SRR3511934
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884552	SRR3511935
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884552	SRR3511936
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884552	SRR3511937
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884553	SRR3511943
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884553	SRR3511944
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881279	SRR3511947
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881279	SRR3511949
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881279	SRR3511951
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881278	SRR3511954
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884551	SRR3511959
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884551	SRR3511961
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884554	SRR3511964
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884554	SRR3511965
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884554	SRR3511967
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884554	SRR3511969
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884555	SRR3511971
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884556	SRR3511976
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884556	SRR3511980
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881278	SRR3511957
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881205	SRR3466717
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04881278	SRR3511953
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884555	SRR3511973
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884553	SRR3511941
Phylloscopus_trochilus_acredula	PRJNA319295	SAMN04884553	SRR3511942
