Organism	BioProject	BioSample	Run
Plectropomus_leopardus	PRJNA622646	SAMN14524154	SRR11468577
Plectropomus_leopardus	PRJNA622646	SAMN14524200	SRR11468579
Plectropomus_leopardus	PRJNA622646	SAMN14524152	SRR11468583
Plectropomus_leopardus	PRJNA622646	SAMN14524196	SRR11468584
Plectropomus_leopardus	PRJNA622646	SAMN14524193	SRR11468587
Plectropomus_leopardus	PRJNA622646	SAMN14524191	SRR11468589
Plectropomus_leopardus	PRJNA622646	SAMN14524151	SRR11468594
Plectropomus_leopardus	PRJNA622646	SAMN14524185	SRR11468596
Plectropomus_leopardus	PRJNA622646	SAMN14524183	SRR11468598
Plectropomus_leopardus	PRJNA622646	SAMN14524181	SRR11468600
Plectropomus_leopardus	PRJNA622646	SAMN14524179	SRR11468602
Plectropomus_leopardus	PRJNA622646	SAMN14524177	SRR11468604
Plectropomus_leopardus	PRJNA622646	SAMN14524176	SRR11468606
Plectropomus_leopardus	PRJNA622646	SAMN14524173	SRR11468609
Plectropomus_leopardus	PRJNA622646	SAMN14524171	SRR11468611
Plectropomus_leopardus	PRJNA622646	SAMN14524169	SRR11468613
Plectropomus_leopardus	PRJNA622646	SAMN14524167	SRR11468615
Plectropomus_leopardus	PRJNA622646	SAMN14524166	SRR11468617
Plectropomus_leopardus	PRJNA622646	SAMN14524165	SRR11468618
Plectropomus_leopardus	PRJNA622646	SAMN14524163	SRR11468620
Plectropomus_leopardus	PRJNA622646	SAMN14524161	SRR11468622
Plectropomus_leopardus	PRJNA622646	SAMN14524159	SRR11468624
Plectropomus_leopardus	PRJNA622646	SAMN14524157	SRR11468626
Plectropomus_leopardus	PRJNA622646	SAMN14524146	SRR11468628
Plectropomus_leopardus	PRJNA622646	SAMN14524156	SRR11468575
Plectropomus_leopardus	PRJNA622646	SAMN14524155	SRR11468576
Plectropomus_leopardus	PRJNA622646	SAMN14524153	SRR11468578
Plectropomus_leopardus	PRJNA622646	SAMN14524198	SRR11468581
Plectropomus_leopardus	PRJNA622646	SAMN14524197	SRR11468582
Plectropomus_leopardus	PRJNA622646	SAMN14524195	SRR11468585
Plectropomus_leopardus	PRJNA622646	SAMN14524194	SRR11468586
Plectropomus_leopardus	PRJNA622646	SAMN14524192	SRR11468588
Plectropomus_leopardus	PRJNA622646	SAMN14524190	SRR11468590
Plectropomus_leopardus	PRJNA622646	SAMN14524189	SRR11468591
Plectropomus_leopardus	PRJNA622646	SAMN14524187	SRR11468593
Plectropomus_leopardus	PRJNA622646	SAMN14524186	SRR11468595
Plectropomus_leopardus	PRJNA622646	SAMN14524182	SRR11468599
Plectropomus_leopardus	PRJNA622646	SAMN14524180	SRR11468601
Plectropomus_leopardus	PRJNA622646	SAMN14524178	SRR11468603
Plectropomus_leopardus	PRJNA622646	SAMN14524149	SRR11468605
Plectropomus_leopardus	PRJNA622646	SAMN14524175	SRR11468607
Plectropomus_leopardus	PRJNA622646	SAMN14524174	SRR11468608
Plectropomus_leopardus	PRJNA622646	SAMN14524172	SRR11468610
Plectropomus_leopardus	PRJNA622646	SAMN14524168	SRR11468614
Plectropomus_leopardus	PRJNA622646	SAMN14524164	SRR11468619
Plectropomus_leopardus	PRJNA622646	SAMN14524162	SRR11468621
Plectropomus_leopardus	PRJNA622646	SAMN14524160	SRR11468623
Plectropomus_leopardus	PRJNA622646	SAMN14524158	SRR11468625
Plectropomus_leopardus	PRJNA622646	SAMN14524147	SRR11468627
Plectropomus_leopardus	PRJNA622646	SAMN14524188	SRR11468592
Plectropomus_leopardus	PRJNA622646	SAMN14524184	SRR11468597
Plectropomus_leopardus	PRJNA622646	SAMN14524199	SRR11468580
Plectropomus_leopardus	PRJNA622646	SAMN14524148	SRR11468616
Plectropomus_leopardus	PRJNA622646	SAMN14524170	SRR11468612
