Organism	BioProject	BioSample	Run
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011595
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011596
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011597
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011614
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011615
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011616
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011617
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011618
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011619
Strix_occidentalis_caurina	PRJNA338167	SAMN05525316	SRR4011620
