BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Biomaterial_provider	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Sample_Type	use_species
PRJNA668259	SRR12854557	WGS	302	7009695122	SAMN16492482	2229167759	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321619	Illumina NovaSeq 6000	ACA36	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA36	SRP287931	Model organism or animal	missing	not applicable	ACA36	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854558	WGS	302	3771365732	SAMN16492486	1204978944	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321618	Illumina NovaSeq 6000	ACA3	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA3	SRP287931	Model organism or animal	missing	not applicable	ACA3	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854559	WGS	302	3585365442	SAMN16492474	1131846828	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321617	Illumina NovaSeq 6000	ACA29	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA29	SRP287931	Model organism or animal	missing	not applicable	ACA29	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854560	WGS	302	5573854242	SAMN16492472	1767258006	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321616	Illumina NovaSeq 6000	ACA27	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA27	SRP287931	Model organism or animal	missing	not applicable	ACA27	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854561	WGS	302	3122465278	SAMN16492468	997521602	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321615	Illumina NovaSeq 6000	ACA23	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA23	SRP287931	Model organism or animal	missing	not applicable	ACA23	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854562	WGS	302	2375648572	SAMN16492475	764808900	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321614	Illumina NovaSeq 6000	ACA2	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA2	SRP287931	Model organism or animal	missing	not applicable	ACA2	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854563	WGS	302	6500866496	SAMN16492458	2068023046	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321613	Illumina NovaSeq 6000	ACA14	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA14	SRP287931	Model organism or animal	missing	not applicable	ACA14	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854565	WGS	302	11994704630	SAMN16492456	3857032893	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321611	Illumina NovaSeq 6000	ACA12	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA12	SRP287931	Model organism or animal	missing	not applicable	ACA12	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854653	WGS	302	3255705564	SAMN16492501	1127859849	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321523	Illumina NovaSeq 6000	ACA8	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA8	SRP287931	Model organism or animal	missing	not applicable	ACA8	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854655	WGS	302	3689804894	SAMN16492490	1168175806	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321521	Illumina NovaSeq 6000	ACA43	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA43	SRP287931	Model organism or animal	missing	not applicable	ACA43	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
