BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR755296	WGS	250	7256672750	SAMEA2661302	2696413779	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698928	Illumina HiSeq 2000	12334698	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661302	ERP002088	missing	ERS510516	2015-02-10	2018-11-16	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:36:52Z	public	ERS510516	Astatotilapia	Astatotilapia__Massoko_littoral__6-sc-2016819	ERC000011	0
PRJEB1254	ERR755299	WGS	250	6143990500	SAMEA2661332	2313289019	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698931	Illumina HiSeq 2000	12334734	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661332	ERP002088	missing	ERS510546	2015-02-10	2018-11-16	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:37:29Z	public	ERS510546	Astatotilapia	Astatotilapia__Massoko_littoral__36-sc-2016849	ERC000011	0
PRJEB1254	ERR755300	WGS	250	6331343500	SAMEA2661340	2394103373	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698932	Illumina HiSeq 2000	12334746	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661340	ERP002088	missing	ERS510554	2015-02-10	2018-11-16	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:23:29Z	public	ERS510554	Astatotilapia	Astatotilapia__Massoko_benthic__8-sc-2016857	ERC000011	0
PRJEB1254	ERR755301	WGS	250	6441971750	SAMEA2661348	2426895262	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX698933	Illumina HiSeq 2000	12334758	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-02-12T00:00:00Z	SAMEA2661348	ERP002088	missing	ERS510562	2015-02-10	2018-11-16	SC	Wellcome Sanger Institute	2015-02-10T14:38:58Z	2018-03-09T11:31:45Z	public	ERS510562	Astatotilapia	Astatotilapia__Massoko_benthic__16-sc-2016865	ERC000011	0
PRJEB1254	ERR702224	WGS	250	6682442750	SAMEA2661375	2437460303	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646487	Illumina HiSeq 2000	11649640	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661375	ERP002088	missing	ERS510589	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510589	Astatotilapia	Astatotilapia__Massoko_olive__5-sc-2016892	ERC000011	0
PRJEB1254	ERR702226	WGS	250	5344811500	SAMEA2661377	1968949103	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646489	Illumina HiSeq 2000	11649664	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661377	ERP002088	missing	ERS510591	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:29Z	public	ERS510591	Astatotilapia	Astatotilapia__Massoko_olive__7-sc-2016894	ERC000011	0
PRJEB1254	ERR702227	WGS	250	4858799500	SAMEA2661378	1767605018	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646490	Illumina HiSeq 2000	11649676	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661378	ERP002088	missing	ERS510592	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510592	Astatotilapia	Astatotilapia__Massoko_olive__8-sc-2016895	ERC000011	0
PRJEB1254	ERR702228	WGS	250	3883152750	SAMEA2661379	1403323936	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646491	Illumina HiSeq 2000	11649688	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661379	ERP002088	missing	ERS510593	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:18:10Z	public	ERS510593	Astatotilapia	Astatotilapia__Massoko_olive__9-sc-2016896	ERC000011	0
PRJEB1254	ERR702229	WGS	250	3722807000	SAMEA2661380	1357111563	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646492	Illumina HiSeq 2000	11649700	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661380	ERP002088	missing	ERS510594	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:29Z	public	ERS510594	Astatotilapia	Astatotilapia__Massoko_olive__10-sc-2016897	ERC000011	0
PRJEB1254	ERR702230	WGS	250	5651333750	SAMEA2661392	2053874383	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646493	Illumina HiSeq 2000	11649712	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661392	ERP002088	missing	ERS510606	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:37:59Z	public	ERS510606	Astatotilapia	Astatotilapia__Massoko_olive__11-sc-2016921	ERC000011	0
PRJEB1254	ERR702231	WGS	250	5290002750	SAMEA2661393	1919090942	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646494	Illumina HiSeq 2000	11649724	PAIRED	RANDOM	GENOMIC	Astatotilapia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661393	ERP002088	missing	ERS510607	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:32:07Z	public	ERS510607	Astatotilapia	Astatotilapia__Massoko_olive__12-sc-2016922	ERC000011	0
