Organism	BioProject	BioSample	SampleName	Sex	Ecotype
Athene_cunicularia	PRJNA431202	SAMN08465492	BO15-101	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465487	BO15-109	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465489	BO15-111	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465483	BO15-105	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465485	BO15-107	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465551	BO15-069	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465501	BO15-103	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465499	BO15-120	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465500	BO15-102	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465497	BO15-118	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465495	BO15-116	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465493	BO15-114	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465494	BO15-115	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465506	BO15-092	female	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465504	BO15-081	male	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465503	BO15-093	female	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465510	BO15-091	female	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465508	BO15-084	male	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465517	BO15-094	male	B_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465518	BO15-096	male	B_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465519	BO15-100	female	B_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465513	BO15-087	female	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465526	BO15-067	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465527	BO15-065	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465530	BO15-059	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465582	BO15-150	male	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465574	BO17-004	male	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465576	BO17-006	male	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465578	BO17-008	female	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465580	BO15-151	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465533	BO15-071	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465539	BO15-074	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465537	BO15-044	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465542	BO15-075	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465569	BO15-236	female	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465565	BO15-232	missing	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465563	BO15-230	female	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465572	BO17-002	female	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465571	BO17-001	male	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465595	BO15-149	female	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465593	BO15-146	male	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465599	BO15-144	male	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465598	BO15-147	female	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465549	BO15-062	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465547	BO15-068	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465545	BO15-077	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465543	BO15-053	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465467	BO15-127	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465469	BO15-128	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465463	BO15-121	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465465	BO15-125	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465471	BO15-130	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465553	BO15-079	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465473	BO15-132	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465474	BO15-133	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465476	BO15-135	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465477	BO15-136	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465479	BO15-138	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465481	BO15-140	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465584	BO15-178	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465583	BO15-179	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465585	BO15-172	male	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465587	BO15-176	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465589	BO15-175	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465591	BO15-145	female	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465555	BO15-042	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465556	BO15-043	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465558	BO15-046	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465491	BO15-113	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465488	BO15-110	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465490	BO15-112	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465484	BO15-106	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465552	BO15-080	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465502	BO15-104	male	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465498	BO15-119	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465496	BO15-117	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465512	BO15-088	male	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465511	BO15-086	male	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465505	BO15-083	female	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465509	BO15-085	female	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465507	BO15-082	male	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465520	BO15-099	male	B_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465514	BO15-089	male	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465515	BO15-090	female	B_urban_2013
Athene_cunicularia	PRJNA431202	SAMN08465521	BO15-095	female	B_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465523	BO15-057	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465525	BO15-064	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465529	BO15-060	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465532	BO15-066	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465531	BO15-054	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465581	BO15-177	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465573	BO17-003	male	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465575	BO17-005	female	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465577	BO17-007	female	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465579	BO17-009	female	B_rural_2016
Athene_cunicularia	PRJNA431202	SAMN08465535	BO15-022	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465536	BO15-051	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465534	BO15-073	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465540	BO15-058	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465541	BO15-052	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465570	BO15-237	female	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465568	BO15-235	female	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465566	BO15-233	missing	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465564	BO15-231	missing	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465562	BO15-050	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465596	BO15-142	female	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465594	BO15-148	male	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465597	BO15-141	female	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465550	BO15-070	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465548	BO15-061	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465546	BO15-056	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465544	BO15-076	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465470	BO15-129	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465464	BO15-124	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465466	BO15-126	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465472	BO15-131	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465554	BO15-041	male	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465475	BO15-134	male	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465480	BO15-139	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465482	BO15-123	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465586	BO15-173	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465588	BO15-174	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465590	BO15-152	female	C1_rural_2012
Athene_cunicularia	PRJNA431202	SAMN08465592	BO15-143	male	C1_rural_2013
Athene_cunicularia	PRJNA431202	SAMN08465557	BO15-078	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465559	BO15-047	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465560	BO15-048	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465478	BO15-137	female	A_rural_2014
Athene_cunicularia	PRJNA431202	SAMN08465522	BO15-097	female	B_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465486	BO15-108	female	A_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465538	BO15-045	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465567	BO15-234	male	B_rural_2015
Athene_cunicularia	PRJNA431202	SAMN08465561	BO15-049	female	C3_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465528	BO15-063	female	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465516	BO15-098	male	B_urban_2014
Athene_cunicularia	PRJNA431202	SAMN08465524	BO15-055	male	C1_urban_2012
Athene_cunicularia	PRJNA431202	SAMN08465468	BO15-122	male	A_rural_2014
