Organism	BioProject	BioSample	SampleName	Country	Continent	Locality	Ecotype	Strain
Chloebia_gouldiae	PRJNA515277	SAMN10751928	erythrura_gouldiae_221	USA	North America	USA: Ithaca	red	female
Chloebia_gouldiae	PRJNA515277	SAMN10751929	erythrura_gouldiae_222	USA	North America	USA: Ithaca	yellow	female
Chloebia_gouldiae	PRJNA515277	SAMN10751926	erythrura_gouldiae_215	USA	North America	USA: Ithaca	red	male
Chloebia_gouldiae	PRJNA515277	SAMN10751927	erythrura_gouldiae_216	USA	North America	USA: Ithaca	red	male
Chloebia_gouldiae	PRJNA515277	SAMN10751907	erythrura_gouldiae_29	USA	North America	USA: Ithaca	black	male
Chloebia_gouldiae	PRJNA515277	SAMN10751906	erythrura_gouldiae_23	USA	North America	USA: Ithaca	black	female
Chloebia_gouldiae	PRJNA515277	SAMN10751909	erythrura_gouldiae_91	USA	North America	USA: Ithaca	yellow	female
Chloebia_gouldiae	PRJNA515277	SAMN10751908	erythrura_gouldiae_61	USA	North America	USA: Ithaca	red	female
Chloebia_gouldiae	PRJNA515277	SAMN10751911	erythrura_gouldiae_131	USA	North America	USA: Ithaca	red	male
Chloebia_gouldiae	PRJNA515277	SAMN10751910	erythrura_gouldiae_114	USA	North America	USA: Ithaca	red	female
Chloebia_gouldiae	PRJNA515277	SAMN10751913	erythrura_gouldiae_133	USA	North America	USA: Ithaca	yellow	male
Chloebia_gouldiae	PRJNA515277	SAMN10751912	erythrura_gouldiae_132	USA	North America	USA: Ithaca	black	male
Chloebia_gouldiae	PRJNA515277	SAMN10751915	erythrura_gouldiae_138	USA	North America	USA: Ithaca	yellow	female
Chloebia_gouldiae	PRJNA515277	SAMN10751914	erythrura_gouldiae_137	USA	North America	USA: Ithaca	black	female
Chloebia_gouldiae	PRJNA515277	SAMN10751925	erythrura_gouldiae_212	USA	North America	USA: Ithaca	yellow	female
Chloebia_gouldiae	PRJNA515277	SAMN10751924	erythrura_gouldiae_207	USA	North America	USA: Ithaca	red	female
Chloebia_gouldiae	PRJNA515277	SAMN10751919	erythrura_gouldiae_185	USA	North America	USA: Ithaca	yellow	male
Chloebia_gouldiae	PRJNA515277	SAMN10751918	erythrura_gouldiae_179	USA	North America	USA: Ithaca	red	male
Chloebia_gouldiae	PRJNA515277	SAMN10751917	erythrura_gouldiae_170	USA	North America	USA: Ithaca	black	female
Chloebia_gouldiae	PRJNA515277	SAMN10751916	erythrura_gouldiae_139	USA	North America	USA: Ithaca	yellow	female
Chloebia_gouldiae	PRJNA515277	SAMN10751923	erythrura_gouldiae_206	USA	North America	USA: Ithaca	red	female
Chloebia_gouldiae	PRJNA515277	SAMN10751922	erythrura_gouldiae_202	USA	North America	USA: Ithaca	black	male
Chloebia_gouldiae	PRJNA515277	SAMN10751921	erythrura_gouldiae_196	USA	North America	USA: Ithaca	black	male
Chloebia_gouldiae	PRJNA515277	SAMN10751920	erythrura_gouldiae_187	USA	North America	USA: Ithaca	yellow	male
