BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Sample_Type	Sample_code	use_species
PRJNA642736	SRR12106877	WGS	300	7321743600	SAMN15398036	3060630129	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631125	Illumina NovaSeq 6000	Pacific30_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific30	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific30	1
PRJNA642736	SRR12106888	WGS	300	16273234200	SAMN15398035	6859482334	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631114	Illumina NovaSeq 6000	Pacific16_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific16	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific16	1
PRJNA642736	SRR12106899	WGS	300	16772346300	SAMN15398035	7026137754	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631103	Illumina NovaSeq 6000	Pacific16_Vancouver_Pacific_rg2	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific16	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific16	1
PRJNA642736	SRR12106910	WGS	300	16332449100	SAMN15398035	6822132684	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631092	Illumina NovaSeq 6000	Pacific16_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific16	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific16	1
PRJNA642736	SRR12106921	WGS	300	17090563500	SAMN15398034	7245486651	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631081	Illumina NovaSeq 6000	Pacific5_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific5	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific5	1
PRJNA642736	SRR12106943	WGS	300	17069108700	SAMN15398034	7175234699	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631059	Illumina NovaSeq 6000	Pacific5_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific5	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific5	1
PRJNA642736	SRR12106954	WGS	300	13636993800	SAMN15398033	5792381692	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631048	Illumina NovaSeq 6000	Pacific3_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific3	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific3	1
PRJNA642736	SRR12106957	WGS	300	16296992400	SAMN15398038	6926990310	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631045	Illumina NovaSeq 6000	Pacific44_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific44	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific44	1
PRJNA642736	SRR12106958	WGS	300	16553638500	SAMN15398038	6994414619	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631044	Illumina NovaSeq 6000	Pacific44_Vancouver_Pacific_rg2	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific44	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific44	1
PRJNA642736	SRR12106959	WGS	300	16327221000	SAMN15398038	6880117202	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631043	Illumina NovaSeq 6000	Pacific44_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific44	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific44	1
