Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Coilia_nasus	PRJNA422339	SAMN13381277	anchovy_sample69	not determined	sample69	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381278	anchovy_sample70	not determined	sample70	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381271	anchovy_sample63	not determined	sample63	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381272	anchovy_sample64	not determined	sample64	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381269	anchovy_sample61	not determined	sample61	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381275	anchovy_sample67	not determined	sample67	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381276	anchovy_sample68	not determined	sample68	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381273	anchovy_sample65	not determined	sample65	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381274	anchovy_sample66	not determined	sample66	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381304	anchovy_sample96	not determined	sample96	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381303	anchovy_sample95	not determined	sample95	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381301	anchovy_sample93	not determined	sample93	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381300	anchovy_sample92	not determined	sample92	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381299	anchovy_sample91	not determined	sample91	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381228	anchovy_sample20	not determined	sample20	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381227	anchovy_sample19	not determined	sample19	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381226	anchovy_sample18	not determined	sample18	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381225	anchovy_sample17	not determined	sample17	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381224	anchovy_sample16	not determined	sample16	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381222	anchovy_sample14	not determined	sample14	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381221	anchovy_sample13	not determined	sample13	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
