Organism	BioProject	BioSample	SampleName	Sex	Isolate	Country	Continent	Locality
Corvus_cornix_cornix	PRJNA192205	SAMN02143031	S_Up_H32	male	S_Up_H32	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439805	PL_Wa_H02	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439806	PL_Wa_H03	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439807	PL_Wa_H05	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439808	PL_Wa_H06	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439809	PL_Wa_H09	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439810	PL_Wa_H11	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439811	PL_Wa_H14	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439812	PL_Wa_H16	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439814	PL_Wa_H22	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439813	PL_Wa_H17	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439815	PL_Wa_H23	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439816	PL_Wa_H32	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439817	PL_Wa_H35	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439818	PL_Wa_H50	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439819	PL_Wa_H52	male	NA	Poland	Europe	Poland: Warsaw
Corvus_cornix_cornix	PRJNA192205	SAMN02439820	S_Ri_H05	male	NA	Sweden	Europe	Sweden: Rimbo
Corvus_cornix_cornix	PRJNA192205	SAMN02439821	S_Ri_H07	male	NA	Sweden	Europe	Sweden: Rimbo
Corvus_cornix_cornix	PRJNA192205	SAMN02439822	S_Ri_H23	male	NA	Sweden	Europe	Sweden: Rimbo
Corvus_cornix_cornix	PRJNA192205	SAMN02439823	S_Ri_H29	male	NA	Sweden	Europe	Sweden: Rimbo
Corvus_cornix_cornix	PRJNA192205	SAMN02439824	S_Ri_H43	male	NA	Sweden	Europe	Sweden: Rimbo
Corvus_cornix_cornix	PRJNA192205	SAMN02439825	S_Up_H03	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439826	S_Up_H09	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439827	S_Up_H16	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439828	S_Up_H24	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439829	S_Up_H29	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439830	S_Up_H37	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439831	S_Up_H43	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439832	S_Up_H47	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439833	S_Up_H51	male	NA	Sweden	Europe	Sweden: Uppsala
Corvus_cornix_cornix	PRJNA192205	SAMN02439834	S_Up_H52	male	S_Up_H52	Sweden	Europe	Sweden: Uppsala
