Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype	Strain
Coturnix_japonica	PRJNA339911	SAMN06756386	Coturnix japonica_yellow_female_5	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756401	Coturnix japonica_marron_male_5	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756387	Coturnix japonica_yellow_male_1	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756392	Coturnix japonica_marron_female_1	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756384	Coturnix japonica_yellow_female_3	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756399	Coturnix japonica_marron_male_3	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756385	Coturnix japonica_yellow_female_4	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756400	Coturnix japonica_marron_male_4	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756390	Coturnix japonica_yellow_male_4	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756391	Coturnix japonica_yellow_male_5	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756396	Coturnix japonica_marron_female_5	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756388	Coturnix japonica_yellow_male_2	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756393	Coturnix japonica_marron_female_2	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756389	Coturnix japonica_yellow_male_3	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756394	Coturnix japonica_marron_female_3	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756382	Coturnix japonica_yellow_female_1	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756397	Coturnix japonica_marron_male_1	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756383	Coturnix japonica_yellow_female_2	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756398	Coturnix japonica_marron_male_2	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756450	Coturnix japonica_meat_male_3	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756443	Coturnix japonica_meat_female_1	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756448	Coturnix japonica_meat_male_1	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756445	Coturnix japonica_meat_female_3	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756449	Coturnix japonica_meat_male_2	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756446	Coturnix japonica_meat_female_4	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756451	Coturnix japonica_meat_male_4	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756447	Coturnix japonica_meat_female_5	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756452	Coturnix japonica_meat_male_5	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756444	Coturnix japonica_meat_female_2	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756424	Coturnix japonica_wild_female_3	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756423	Coturnix japonica_wild_female_2	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756422	Coturnix japonica_wild_female_1	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756425	Coturnix japonica_wild_female_4	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756426	Coturnix japonica_wild_female_5	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756431	Coturnix japonica_wild_male_5	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756430	Coturnix japonica_wild_male_4	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756427	Coturnix japonica_wild_male_1	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756429	Coturnix japonica_wild_male_3	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756437	Coturnix japonica_egg_female_6	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756432	Coturnix japonica_egg_female_1	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756433	Coturnix japonica_egg_female_2	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756434	Coturnix japonica_egg_female_3	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756436	Coturnix japonica_egg_female_5	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756441	Coturnix japonica_egg_female_10	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756439	Coturnix japonica_egg_female_8	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756440	Coturnix japonica_egg_female_9	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756442	Coturnix japonica_egg_female_11	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756438	Coturnix japonica_egg_female_7	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756402	Coturnix japonica_yellow_female_6	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756417	Coturnix japonica_marron_male_6	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756403	Coturnix japonica_yellow_female_7	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756418	Coturnix japonica_marron_male_7	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756407	Coturnix japonica_yellow_male_6	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756412	Coturnix japonica_marron_female_6	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756408	Coturnix japonica_yellow_male_7	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756413	Coturnix japonica_marron_female_7	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756409	Coturnix japonica_yellow_male_8	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756414	Coturnix japonica_marron_female_8	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756410	Coturnix japonica_yellow_male_9	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756415	Coturnix japonica_marron_female_9	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756411	Coturnix japonica_yellow_male_10	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756416	Coturnix japonica_marron_female_10	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756419	Coturnix japonica_marron_male_8	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756405	Coturnix japonica_yellow_female_9	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756420	Coturnix japonica_marron_male_9	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756406	Coturnix japonica_yellow_female_10	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756421	Coturnix japonica_marron_male_10	male	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN08892728	meatquail_1262550_M_new	male	not applicable	not applicable	meat_type
Coturnix_japonica	PRJNA339911	SAMN08892727	meatquail_1262536_M_new	male	not applicable	not applicable	meat_type
Coturnix_japonica	PRJNA339911	SAMN08892730	meatquail_1262576_F_new	female	not applicable	not applicable	meat_type
