Organism	BioProject	BioSample	SampleName	Sex
Falco_peregrinus	PRJNA686418	SAMN17255110	Yamal5	Not determined
Falco_peregrinus	PRJNA686418	SAMN17118395	Kola2	Not determined
Falco_peregrinus	PRJNA686418	SAMN17118869	Kola3	Not determined
Falco_peregrinus	PRJNA686418	SAMN17150318	Kolguev4	Not determined
Falco_peregrinus	PRJNA686418	SAMN17150848	Kolguev3	Not determined
Falco_peregrinus	PRJNA686418	SAMN17132314	Kolyma7	Not determined
Falco_peregrinus	PRJNA686418	SAMN17132232	Kolyma4	Not determined
Falco_peregrinus	PRJNA686418	SAMN17132259	Kolyma6	Not determined
Falco_peregrinus	PRJNA686418	SAMN17132315	Kolyma8	Not determined
Falco_peregrinus	PRJNA686418	SAMN17134049	Yamal2	Not determined
Falco_peregrinus	PRJNA686418	SAMN17141464	Kolyma9	Not determined
Falco_peregrinus	PRJNA686418	SAMN17141518	Kolyma-2	Not determined
Falco_peregrinus	PRJNA686418	SAMN17141580	Kolyma-3	Not determined
Falco_peregrinus	PRJNA686418	SAMN17154545	Kolguev5	Not determined
Falco_peregrinus	PRJNA686418	SAMN17120643	Kola5	Not determined
Falco_peregrinus	PRJNA686418	SAMN17120864	Kola10	Not determined
Falco_peregrinus	PRJNA686418	SAMN17120865	Yamal1	Not determined
Falco_peregrinus	PRJNA686418	SAMN17120983	Yamal3	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125934	Yamal11	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125939	Kola8	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125933	Yamal9	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125937	Yamal6	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125936	Yamal7	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125938	Yamal4	Not determined
Falco_peregrinus	PRJNA686418	SAMN17126931	Kola6	Not determined
Falco_peregrinus	PRJNA686418	SAMN17126933	Kolyma1	Not determined
Falco_peregrinus	PRJNA686418	SAMN17132248	Kolyma5	Not determined
Falco_peregrinus	PRJNA686418	SAMN17169283	Yamal10	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125946	Kola7	Not determined
Falco_peregrinus	PRJNA686418	SAMN17155198	Kolguev1	Not determined
Falco_peregrinus	PRJNA686418	SAMN17155199	Kolguev2	Not determined
Falco_peregrinus	PRJNA686418	SAMN17117209	Kola1	not determined
Falco_peregrinus	PRJNA686418	SAMN17189680	Kola-4	Not determined
Falco_peregrinus	PRJNA686418	SAMN17125935	Yamal8	Not determined
Falco_peregrinus	PRJNA686418	SAMN17188551	Kola9	Not determined
