BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	geo_loc_name_country	geo_loc_name_country_continent	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB7359	ERR700020	WGS	SAMEA3174129	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644355	Illumina HiSeq 2000	FST_11_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174129	ERP007074	female	Bulgaria	Europe	ERS627670	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:45Z	public	ERS627670	FST_11	FST_11	Provided by the Natural History Museum in Oslo\, journal number 35475	ERC000011	0
PRJEB7359	ERR700021	WGS	SAMEA3174130	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644356	Illumina HiSeq 2000	FST_16_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174130	ERP007074	female	Bulgaria	Europe	ERS627671	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:45Z	public	ERS627671	FST_16	FST_16	Provided by the Natural History Museum in Oslo\, journal number 35480	ERC000011	0
PRJEB7359	ERR700022	WGS	SAMEA3174131	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644357	Illumina HiSeq 2000	FST_19_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174131	ERP007074	female	Bulgaria	Europe	ERS627672	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:45Z	public	ERS627672	FST_19	FST_19	Provided by the Natural History Museum in Oslo\, journal number 35483	ERC000011	0
PRJEB7359	ERR700023	WGS	SAMEA3174132	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644358	Illumina HiSeq 2000	FST_1_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174132	ERP007074	male	Bulgaria	Europe	ERS627673	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:45Z	public	ERS627673	FST_1	FST_1	Provided by the Natural History Museum in Oslo\, journal number 35465	ERC000011	0
PRJEB7359	ERR700024	WGS	SAMEA3174133	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644359	Illumina HiSeq 2000	FST_20_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174133	ERP007074	female	Bulgaria	Europe	ERS627674	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:45Z	public	ERS627674	FST_20	FST_20	Provided by the Natural History Museum in Oslo\, journal number 35484	ERC000011	0
PRJEB7359	ERR700025	WGS	SAMEA3174134	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644360	Illumina HiSeq 2000	FST_21_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174134	ERP007074	male	Bulgaria	Europe	ERS627675	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:46Z	public	ERS627675	FST_21	FST_21	Provided by the Natural History Museum in Oslo\, journal number 35485	ERC000011	0
PRJEB7359	ERR700026	WGS	SAMEA3174135	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644361	Illumina HiSeq 2000	FST_22_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174135	ERP007074	male	Bulgaria	Europe	ERS627676	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:46Z	public	ERS627676	FST_22	FST_22	Provided by the Natural History Museum in Oslo\, journal number 35486	ERC000011	0
PRJEB7359	ERR700027	WGS	SAMEA3174136	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644362	Illumina HiSeq 2000	FST_24_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174136	ERP007074	female	Bulgaria	Europe	ERS627677	2014-12-11	2018-11-16	Bulgaria	Uppsala University	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:46Z	public	ERS627677	FST_24	FST_24	Provided by the Natural History Museum in Oslo\, journal number 35488	ERC000011	0
PRJEB7359	ERR700028	WGS	SAMEA3174137	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644363	Illumina HiSeq 2000	FST_27_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174137	ERP007074	male	Bulgaria	Europe	ERS627678	2014-12-11	2018-11-16	Bulgaria	NA	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:46Z	public	ERS627678	FST_27	FST_27	Provided by the Natural History Museum in Oslo\, journal number 35491	ERC000011	0
PRJEB7359	ERR700029	WGS	SAMEA3174138	UPPSALA  UNIVERSITY	public	bam	ena	ena	ERX644364	Illumina HiSeq 2000	FST_2_450	PAIRED	unspecified	GENOMIC	Ficedula_semitorquata	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3174138	ERP007074	female	Bulgaria	Europe	ERS627679	2014-12-11	2018-11-16	Bulgaria	NA	Uppsala University	2014-12-11T17:01:51Z	2014-12-11T09:04:46Z	public	ERS627679	FST_2	FST_2	Provided by the Natural History Museum in Oslo\, journal number 35466	ERC000011	0
