Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype	Strain
Fundulus_heteroclitus	PRJNA323589	SAMN05930393	BI-50	male	BI-50	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930394	BI-52	female	BI-52	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930395	BI-53	female	BI-53	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930396	BI-54	female	BI-54	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930397	BI-55	female	BI-55	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930398	BI-56	female	BI-56	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930399	BI-5	male	BI-5	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930400	BI-6	male	BI-6	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930391	BI-48	female	BI-48	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930392	BI-49	male	BI-49	Block Island	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930643	NBH-6	female	NBH-6	New Bedford Harbor	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930428	BP-32	male	BP-32	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930427	BP-31	female	BP-31	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930430	BP-34	female	BP-34	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930429	BP-33	female	BP-33	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930424	BP-29	female	BP-29	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930423	BP-28	male	BP-28	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930425	BP-2	female	BP-2	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930422	BP-27	male	BP-27	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930421	BP-26	male	BP-26	Bridgeport	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930528	F-33	male	F-33	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930526	F-31	female	F-31	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930527	F-32	female	F-32	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930524	F-2	female	F-2	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930525	F-30	male	F-30	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930522	F-28	female	F-28	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930523	F-29	male	F-29	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930520	F-26	female	F-26	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930521	F-27	male	F-27	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930511	F-18	male	F-18	Flax Pond	Not applicable
Fundulus_heteroclitus	PRJNA323589	SAMN05930510	F-17	female	F-17	Flax Pond	Not applicable
