Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype	Strain
Hippocampus_comes	PRJNA612146	SAMN14363155	Hcm_14	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363153	Hcm_12	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363152	Hcm_11	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363150	Hcm_9	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363147	Hcm_5	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363146	Hcm_4	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363144	Hcm_2	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363160	Hcm_19	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363159	Hcm_18	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363158	Hcm_17	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363157	Hcm_16	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363156	Hcm_15	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363154	Hcm_13	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363151	Hcm_10	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363149	Hcm_8	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363145	Hcm_3	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363143	Hcm_1	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363148	Hcm_7	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
Hippocampus_comes	PRJNA612146	SAMN14363161	Hcm_20	missing	Not applicable	Banjarmasin\, Malaysia	Not applicable
