BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601660	WGS	300	6559897500	SAMN14363178	2592250881	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085732	Illumina HiSeq 4000	100	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_11	SRP280296	Model organism or animal	missing	muscle-100	Not applicable	missing	missing-100	Tampa\, US	Not applicable	Not applicable	Not applicable-100	0
PRJNA612146	SRR12601661	WGS	300	7252125900	SAMN14363177	2806458763	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085731	Illumina HiSeq 4000	99	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_10	SRP280296	Model organism or animal	missing	muscle-99	Not applicable	missing	missing-99	Tampa\, US	Not applicable	Not applicable	Not applicable-99	0
PRJNA612146	SRR12601663	WGS	300	9243330900	SAMN14363175	3712410057	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085729	Illumina HiSeq 4000	97	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_8	SRP280296	Model organism or animal	missing	muscle-97	Not applicable	missing	missing-97	Tampa\, US	Not applicable	Not applicable	Not applicable-97	0
PRJNA612146	SRR12601664	WGS	300	7519034400	SAMN14363174	2827928934	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085728	Illumina HiSeq 4000	96	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_7	SRP280296	Model organism or animal	missing	muscle-96	Not applicable	missing	missing-96	Chesapeake Bay\, US	Not applicable	Not applicable	Not applicable-96	0
PRJNA612146	SRR12601666	WGS	300	7445869800	SAMN14363172	2878832009	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085726	Illumina HiSeq 4000	94	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_4	SRP280296	Model organism or animal	missing	muscle-94	Not applicable	missing	missing-94	Chesapeake Bay\, US	Not applicable	Not applicable	Not applicable-94	0
PRJNA612146	SRR12601668	WGS	300	7779081000	SAMN14363170	3013730520	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085724	Illumina HiSeq 4000	92	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_2	SRP280296	Model organism or animal	missing	muscle-92	Not applicable	missing	missing-92	Chesapeake Bay\, US	Not applicable	Not applicable	Not applicable-92	0
PRJNA612146	SRR12601931	WGS	300	8900226300	SAMN14363189	3591412669	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085461	Illumina HiSeq 4000	111	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_S2	SRP280296	Model organism or animal	missing	muscle-111	Not applicable	missing	missing-111	Tampa\, US	Not applicable	Not applicable	Not applicable-111	0
PRJNA612146	SRR12601933	WGS	300	7834374000	SAMN14363188	3131764144	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085459	Illumina HiSeq 4000	110	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_S1	SRP280296	Model organism or animal	missing	muscle-110	Not applicable	missing	missing-110	Tampa\, US	Not applicable	Not applicable	Not applicable-110	0
PRJNA612146	SRR12601934	WGS	300	10385603700	SAMN14363187	4049670881	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085458	Illumina HiSeq 4000	109	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_20	SRP280296	Model organism or animal	missing	muscle-109	Not applicable	missing	missing-109	Palm Bay\, US	Not applicable	Not applicable	Not applicable-109	0
PRJNA612146	SRR12601936	WGS	300	7676602500	SAMN14363185	3033316899	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085456	Illumina HiSeq 4000	107	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_18	SRP280296	Model organism or animal	missing	muscle-107	Not applicable	missing	missing-107	Palm Bay\, US	Not applicable	Not applicable	Not applicable-107	0
