BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601943	WGS	300	8403270300	SAMN14363244	3321337026	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085449	Illumina HiSeq 4000	166	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_20	SRP280296	Model organism or animal	missing	muscle-166	Not applicable	missing	missing-166	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-166	0
PRJNA612146	SRR12601945	WGS	300	19964032500	SAMN14363242	8048783738	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085447	Illumina HiSeq 4000	164	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_18	SRP280296	Model organism or animal	missing	muscle-164	Not applicable	missing	missing-164	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-164	0
PRJNA612146	SRR12601947	WGS	300	8482077000	SAMN14363240	3549139308	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085445	Illumina HiSeq 4000	162	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_16	SRP280296	Model organism or animal	missing	muscle-162	Not applicable	missing	missing-162	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-162	0
PRJNA612146	SRR12601951	WGS	300	6592311600	SAMN14363237	2731925901	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085441	Illumina HiSeq 4000	159	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_13	SRP280296	Model organism or animal	missing	muscle-159	Not applicable	missing	missing-159	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-159	0
PRJNA612146	SRR12601953	WGS	300	8158519200	SAMN14363235	3413473161	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085439	Illumina HiSeq 4000	157	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_11	SRP280296	Model organism or animal	missing	muscle-157	Not applicable	missing	missing-157	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-157	0
PRJNA612146	SRR12601955	WGS	300	6506812500	SAMN14363233	2716801716	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085437	Illumina HiSeq 4000	155	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_9	SRP280296	Model organism or animal	missing	muscle-155	Not applicable	missing	missing-155	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-155	0
PRJNA612146	SRR12601956	WGS	300	6907517700	SAMN14363232	2872048618	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085436	Illumina HiSeq 4000	154	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_8	SRP280296	Model organism or animal	missing	muscle-154	Not applicable	missing	missing-154	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-154	0
PRJNA612146	SRR12601958	WGS	300	8151379800	SAMN14363230	3388335313	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085434	Illumina HiSeq 4000	152	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_6	SRP280296	Model organism or animal	missing	muscle-152	Not applicable	missing	missing-152	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-152	0
PRJNA612146	SRR12601959	WGS	300	7380688800	SAMN14363229	3069956926	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085433	Illumina HiSeq 4000	151	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_5	SRP280296	Model organism or animal	missing	muscle-151	Not applicable	missing	missing-151	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-151	0
PRJNA612146	SRR12601961	WGS	300	6312401100	SAMN14363228	2652369825	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085431	Illumina HiSeq 4000	150	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_4	SRP280296	Model organism or animal	missing	muscle-150	Not applicable	missing	missing-150	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-150	0
PRJNA612146	SRR12601963	WGS	300	6272222400	SAMN14363226	2613575302	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085429	Illumina HiSeq 4000	148	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_2	SRP280296	Model organism or animal	missing	muscle-148	Not applicable	missing	missing-148	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-148	0
PRJNA612146	SRR12601964	WGS	300	6106449300	SAMN14363225	2558486250	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085428	Illumina HiSeq 4000	147	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_1	SRP280296	Model organism or animal	missing	muscle-147	Not applicable	missing	missing-147	Nha Trang\, Vietnum	Not applicable	Not applicable	Not applicable-147	0
PRJNA612146	SRR12601905	WGS	300	11965961700	SAMN14363246	4609485833	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085451	Illumina HiSeq 4000	168	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_22	SRP280296	Model organism or animal	missing	muscle-168	Not applicable	missing	missing-168	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-168	0
PRJNA612146	SRR12601942	WGS	300	12606326400	SAMN14363245	4992597251	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085450	Illumina HiSeq 4000	167	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_21	SRP280296	Model organism or animal	missing	muscle-167	Not applicable	missing	missing-167	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-167	0
PRJNA612146	SRR12601944	WGS	300	6141864300	SAMN14363243	2577682933	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085448	Illumina HiSeq 4000	165	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_19	SRP280296	Model organism or animal	missing	muscle-165	Not applicable	missing	missing-165	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-165	0
PRJNA612146	SRR12601946	WGS	300	7264068600	SAMN14363241	3017958686	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085446	Illumina HiSeq 4000	163	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_17	SRP280296	Model organism or animal	missing	muscle-163	Not applicable	missing	missing-163	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-163	0
PRJNA612146	SRR12601948	WGS	300	6521687700	SAMN14363239	2724445123	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085444	Illumina HiSeq 4000	161	PAIRED	RANDOM	GENOMIC	Hippocampus_histrix	ILLUMINA	2020-09-06T00:00:00Z	Hht_15	SRP280296	Model organism or animal	missing	muscle-161	Not applicable	missing	missing-161	Brunei Bay\, Philippines	Not applicable	Not applicable	Not applicable-161	0
