BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601883	WGS	300	9840478200	SAMN14363266	3959306418	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085509	Illumina HiSeq 4000	188	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_S2	SRP280296	Model organism or animal	missing	muscle-188	Not applicable	missing	missing-188	Lima\, Peru	Not applicable	Not applicable	Not applicable-188	0
PRJNA612146	SRR12601885	WGS	300	9909253800	SAMN14363264	3829689552	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085507	Illumina HiSeq 4000	186	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_22	SRP280296	Model organism or animal	missing	muscle-186	Not applicable	missing	missing-186	Lima\, Peru	Not applicable	Not applicable	Not applicable-186	0
PRJNA612146	SRR12601888	WGS	300	6932355000	SAMN14363261	2776296650	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085504	Illumina HiSeq 4000	183	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_18	SRP280296	Model organism or animal	missing	muscle-183	Not applicable	missing	missing-183	Lima\, Peru	Not applicable	Not applicable	Not applicable-183	0
PRJNA612146	SRR12601890	WGS	300	6165706500	SAMN14363259	2282903503	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085502	Illumina HiSeq 4000	181	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_16	SRP280296	Model organism or animal	missing	muscle-181	Not applicable	missing	missing-181	Lima\, Peru	Not applicable	Not applicable	Not applicable-181	0
PRJNA612146	SRR12601892	WGS	300	12681597600	SAMN14363258	5175920889	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085500	Illumina HiSeq 4000	180	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_14	SRP280296	Model organism or animal	missing	muscle-180	Not applicable	missing	missing-180	Lima\, Peru	Not applicable	Not applicable	Not applicable-180	0
PRJNA612146	SRR12601894	WGS	300	8909460900	SAMN14363256	3600569209	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085498	Illumina HiSeq 4000	178	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_12	SRP280296	Model organism or animal	missing	muscle-178	Not applicable	missing	missing-178	Puerto Vallarta\, Jalisco\, Mexico	Not applicable	Not applicable	Not applicable-178	0
PRJNA612146	SRR12601900	WGS	300	7129297500	SAMN14363250	2886381428	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085492	Illumina HiSeq 4000	172	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_5	SRP280296	Model organism or animal	missing	muscle-172	Not applicable	missing	missing-172	Puerto Vallarta\, Jalisco\, Mexico	Not applicable	Not applicable	Not applicable-172	0
PRJNA612146	SRR12601904	WGS	300	6361417800	SAMN14363247	2604491585	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085488	Illumina HiSeq 4000	169	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_1	SRP280296	Model organism or animal	missing	muscle-169	Not applicable	missing	missing-169	Puerto Vallarta\, Jalisco\, Mexico	Not applicable	Not applicable	Not applicable-169	0
PRJNA612146	SRR12601884	WGS	300	8401002600	SAMN14363265	3405595486	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085508	Illumina HiSeq 4000	187	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_S1	SRP280296	Model organism or animal	missing	muscle-187	Not applicable	missing	missing-187	Lima\, Peru	Not applicable	Not applicable	Not applicable-187	0
PRJNA612146	SRR12601886	WGS	300	7881010800	SAMN14363263	3256523515	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085506	Illumina HiSeq 4000	185	PAIRED	RANDOM	GENOMIC	Hippocampus_ingens	ILLUMINA	2020-09-06T00:00:00Z	Hig_20	SRP280296	Model organism or animal	missing	muscle-185	Not applicable	missing	missing-185	Lima\, Peru	Not applicable	Not applicable	Not applicable-185	0
