BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601818	WGS	300	6853783500	SAMN14363324	2673096614	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085574	Illumina HiSeq 4000	246	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_20	SRP280296	Model organism or animal	missing	muscle-246	Not applicable	missing	missing-246	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-246	1
PRJNA612146	SRR12601820	WGS	300	14518701300	SAMN14363322	5437179682	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085572	Illumina HiSeq 4000	244	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_18	SRP280296	Model organism or animal	missing	muscle-244	Not applicable	missing	missing-244	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-244	1
PRJNA612146	SRR12601821	WGS	300	8458899600	SAMN14363321	3353793151	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085571	Illumina HiSeq 4000	243	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_17	SRP280296	Model organism or animal	missing	muscle-243	Not applicable	missing	missing-243	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-243	1
PRJNA612146	SRR12601823	WGS	300	9592248900	SAMN14363319	3668060457	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085569	Illumina HiSeq 4000	241	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_15	SRP280296	Model organism or animal	missing	muscle-241	Not applicable	missing	missing-241	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-241	1
PRJNA612146	SRR12601826	WGS	300	8174411100	SAMN14363317	3180547434	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085566	Illumina HiSeq 4000	239	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_13	SRP280296	Model organism or animal	missing	muscle-239	Not applicable	missing	missing-239	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-239	1
PRJNA612146	SRR12601829	WGS	300	7614819900	SAMN14363314	2881897100	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085563	Illumina HiSeq 4000	236	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_9	SRP280296	Model organism or animal	missing	muscle-236	Not applicable	missing	missing-236	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-236	1
PRJNA612146	SRR12601832	WGS	300	11251787400	SAMN14363311	4452892704	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085560	Illumina HiSeq 4000	233	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_6	SRP280296	Model organism or animal	missing	muscle-233	Not applicable	missing	missing-233	Phuket Island\, Thailand	Not applicable	Not applicable	Not applicable-233	1
PRJNA612146	SRR12601980	WGS	300	11201358300	SAMN14363308	4733679874	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085412	Illumina HiSeq 4000	230	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_2	SRP280296	Model organism or animal	missing	muscle-230	Not applicable	missing	missing-230	Phuket Island\, Thailand	Not applicable	Not applicable	Not applicable-230	1
PRJNA612146	SRR12601819	WGS	300	7711835400	SAMN14363323	3140197304	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085573	Illumina HiSeq 4000	245	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_19	SRP280296	Model organism or animal	missing	muscle-245	Not applicable	missing	missing-245	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-245	1
PRJNA612146	SRR12601822	WGS	300	8097811500	SAMN14363320	2971053620	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085570	Illumina HiSeq 4000	242	PAIRED	RANDOM	GENOMIC	Hippocampus_kuda	ILLUMINA	2020-09-06T00:00:00Z	Hku_16	SRP280296	Model organism or animal	missing	muscle-242	Not applicable	missing	missing-242	Ho Chi Minh City\, Vietnum	Not applicable	Not applicable	Not applicable-242	1
