BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601799	WGS	300	7966040100	SAMN14363341	3186976563	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085593	Illumina HiSeq 4000	263	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_25	SRP280296	Model organism or animal	missing	muscle-263	Not applicable	missing	missing-263	Xiamen\, China	Not applicable	Not applicable	Not applicable-263	0
PRJNA612146	SRR12601801	WGS	300	9208064100	SAMN14363339	3672975252	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085591	Illumina HiSeq 4000	261	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_23	SRP280296	Model organism or animal	missing	muscle-261	Not applicable	missing	missing-261	Xiamen\, China	Not applicable	Not applicable	Not applicable-261	0
PRJNA612146	SRR12601803	WGS	300	8352618900	SAMN14363338	3360077718	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085589	Illumina HiSeq 4000	260	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_22	SRP280296	Model organism or animal	missing	muscle-260	Not applicable	missing	missing-260	Xiamen\, China	Not applicable	Not applicable	Not applicable-260	0
PRJNA612146	SRR12601804	WGS	300	8655286200	SAMN14363337	3402214261	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085588	Illumina HiSeq 4000	259	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_19	SRP280296	Model organism or animal	missing	muscle-259	Not applicable	missing	missing-259	Xiamen\, China	Not applicable	Not applicable	Not applicable-259	0
PRJNA612146	SRR12601806	WGS	300	9817500300	SAMN14363335	3794231845	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085586	Illumina HiSeq 4000	257	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_15	SRP280296	Model organism or animal	missing	muscle-257	Not applicable	missing	missing-257	Qingdao\, China	Not applicable	Not applicable	Not applicable-257	0
PRJNA612146	SRR12601807	WGS	300	8047774500	SAMN14363334	3124786113	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085585	Illumina HiSeq 4000	256	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_14	SRP280296	Model organism or animal	missing	muscle-256	Not applicable	missing	missing-256	Qingdao\, China	Not applicable	Not applicable	Not applicable-256	0
PRJNA612146	SRR12601809	WGS	300	8215862400	SAMN14363332	3453939800	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085583	Illumina HiSeq 4000	254	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_12	SRP280296	Model organism or animal	missing	muscle-254	Not applicable	missing	missing-254	Qingdao\, China	Not applicable	Not applicable	Not applicable-254	0
PRJNA612146	SRR12601811	WGS	300	6124099500	SAMN14363330	2532922496	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085581	Illumina HiSeq 4000	252	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_10	SRP280296	Model organism or animal	missing	muscle-252	Not applicable	missing	missing-252	Laizhou\, China	Not applicable	Not applicable	Not applicable-252	0
PRJNA612146	SRR12601815	WGS	300	5961178200	SAMN14363327	2468666098	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085577	Illumina HiSeq 4000	249	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_5	SRP280296	Model organism or animal	missing	muscle-249	Not applicable	missing	missing-249	Laizhou\, China	Not applicable	Not applicable	Not applicable-249	0
PRJNA612146	SRR12601816	WGS	300	8424687600	SAMN14363326	3464295138	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085576	Illumina HiSeq 4000	248	PAIRED	RANDOM	GENOMIC	Hippocampus_mohnikei	ILLUMINA	2020-09-06T00:00:00Z	Hmh_3	SRP280296	Model organism or animal	missing	muscle-248	Not applicable	missing	missing-248	Laizhou\, China	Not applicable	Not applicable	Not applicable-248	0
