BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	lat_lon	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	tissue_type	geographic_location_(region_and_locality)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB27858	ERR2751025	WGS	302	16301395562	SAMEA4799712	6385438950	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764079	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799712	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619630	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619630	hamlert_reseq_sample_031	18902	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751027	WGS	302	19464908680	SAMEA4799711	7771210733	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764081	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799711	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619629	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619629	hamlert_reseq_sample_030	18901	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751033	WGS	302	6966828638	SAMEA4799713	2785448488	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764087	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799713	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619631	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619631	hamlert_reseq_sample_032	18903	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751034	WGS	302	6236342280	SAMEA4799713	2535950822	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764088	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799713	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619631	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619631	hamlert_reseq_sample_032	18903	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751035	WGS	302	15867638096	SAMEA4799708	6456753756	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764089	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799708	ERP109991	missing	2004-05-12	Panama	North America	10.2392 N 83.1731 E	ERS2619626	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619626	hamlert_reseq_sample_027	18424	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751037	WGS	302	16156676256	SAMEA4799709	6603947661	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764091	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799709	ERP109991	missing	2004-05-12	Panama	North America	10.2392 N 83.1731 E	ERS2619627	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619627	hamlert_reseq_sample_028	18428	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751040	WGS	302	16167244142	SAMEA4799707	6630984646	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764094	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799707	ERP109991	missing	2004-05-12	Panama	North America	9.3775 N 82.3039 E	ERS2619625	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619625	hamlert_reseq_sample_026	18418	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751041	WGS	302	14637692058	SAMEA4799717	5918040696	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764095	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799717	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619635	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619635	hamlert_reseq_sample_036	18907	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751043	WGS	302	15499178466	SAMEA4799718	6183238311	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764097	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799718	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619636	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619636	hamlert_reseq_sample_037	18909	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751045	WGS	302	16218968588	SAMEA4799715	6492432862	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764099	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799715	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619633	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619633	hamlert_reseq_sample_034	18905	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751053	WGS	302	6195575602	SAMEA4799710	3033241647	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764107	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799710	ERP109991	missing	2004-05-12	Panama	North America	9.3775 N 82.3039 E	ERS2619628	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619628	hamlert_reseq_sample_029	18436	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751054	WGS	302	155228	SAMEA4799710	94247	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764108	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799710	ERP109991	missing	2004-05-12	Panama	North America	9.3775 N 82.3039 E	ERS2619628	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619628	hamlert_reseq_sample_029	18436	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751057	WGS	302	19410064272	SAMEA4799716	7960645145	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764111	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799716	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619634	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619634	hamlert_reseq_sample_035	18906	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751061	WGS	302	14884244254	SAMEA4799714	6145482142	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764115	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799714	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619632	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619632	hamlert_reseq_sample_033	18904	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751067	WGS	502	30459029214	SAMEA4799706	19411012602	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764121	Illumina HiSeq 2500	unspecified	PAIRED	unspecified	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799706	ERP109991	missing	2016	Panama	North America	NA	ERS2619624	2018-12-11	2018-11-16	Panama	gill, liver, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T15:27:52Z	public	ERS2619624	hamlert_reseq_sample_025	16_21-30	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751068	WGS	502	30228206100	SAMEA4799706	19135531791	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764122	Illumina HiSeq 2500	unspecified	PAIRED	unspecified	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799706	ERP109991	missing	2016	Panama	North America	NA	ERS2619624	2018-12-11	2018-11-16	Panama	gill, liver, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T15:27:52Z	public	ERS2619624	hamlert_reseq_sample_025	16_21-30	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751071	WGS	300	16501339500	SAMEA4799682	7362225937	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764125	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799682	ERP109991	missing	2004-07-25	Belize	North America	16.7653 N 88.1442 E	ERS2619600	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619600	hamlert_reseq_sample_001	18151	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751073	WGS	300	17183268600	SAMEA4799683	7521257043	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764127	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799683	ERP109991	missing	2004-07-25	Belize	North America	16.7653 N 88.1442 E	ERS2619601	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619601	hamlert_reseq_sample_002	18153	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751075	WGS	300	14744534700	SAMEA4799684	6773609476	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764129	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799684	ERP109991	missing	2004-07-25	Belize	North America	16.8008 N 88.0789 E	ERS2619602	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619602	hamlert_reseq_sample_003	18155	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751076	WGS	300	19104579900	SAMEA4799685	8496856896	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764130	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799685	ERP109991	missing	2004-07-25	Belize	North America	16.8008 N 88.0789 E	ERS2619603	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619603	hamlert_reseq_sample_004	18156	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751077	WGS	300	16751632800	SAMEA4799686	7361807162	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764131	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799686	ERP109991	missing	2004-07-25	Belize	North America	16.8008 N 88.0789 E	ERS2619604	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619604	hamlert_reseq_sample_005	18157	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751078	WGS	300	15502275600	SAMEA4799687	6902364115	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764132	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799687	ERP109991	missing	2004-07-25	Belize	North America	16.8008 N 88.0789 E	ERS2619605	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619605	hamlert_reseq_sample_006	18158	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751079	WGS	300	16139669400	SAMEA4799688	7243443867	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764133	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799688	ERP109991	missing	2004-07-25	Belize	North America	16.8008 N 88.0789 E	ERS2619606	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619606	hamlert_reseq_sample_007	18159	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751081	WGS	300	13642576800	SAMEA4799689	6158435810	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764135	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799689	ERP109991	missing	2004-07-25	Belize	North America	16.7653 N 88.1442 E	ERS2619607	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619607	hamlert_reseq_sample_008	18162	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
PRJEB27858	ERR2751083	WGS	300	16319268600	SAMEA4799690	7375452962	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764137	Illumina HiSeq 4000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_nigricans	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799690	ERP109991	missing	2004-07-25	Belize	North America	16.7653 N 88.1442 E	ERS2619608	2018-12-11	2018-11-16	Belize	gill	Carrie Bow Cay	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:49Z	public	ERS2619608	hamlert_reseq_sample_009	18165	reef fish (hamlet) sample\, part of speciation study	ERC000011	0
