BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	lat_lon	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	tissue_type	geographic_location_(region_and_locality)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB27858	ERR2750985	WGS	502	60975208618	SAMEA4799755	38621982180	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764039	Illumina HiSeq 2500	unspecified	PAIRED	unspecified	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799755	ERP109991	missing	2013-04-12	Panama	North America	9.3681 N 82.2928 E	ERS2619673	2018-12-11	2018-11-16	Panama	gill, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619673	hamlert_reseq_sample_074	27678	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2750986	WGS	302	14670457246	SAMEA4799755	8840021168	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764040	Illumina HiSeq 2500	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799755	ERP109991	missing	2013-04-12	Panama	North America	9.3681 N 82.2928 E	ERS2619673	2018-12-11	2018-11-16	Panama	gill, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619673	hamlert_reseq_sample_074	27678	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2750987	WGS	302	88355131924	SAMEA4799755	51718958134	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764041	Illumina HiSeq 2500	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799755	ERP109991	missing	2013-04-12	Panama	North America	9.3681 N 82.2928 E	ERS2619673	2018-12-11	2018-11-16	Panama	gill, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619673	hamlert_reseq_sample_074	27678	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2750988	WGS	302	28457563888	SAMEA4799755	17253009547	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764042	Illumina HiSeq 2500	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799755	ERP109991	missing	2013-04-12	Panama	North America	9.3681 N 82.2928 E	ERS2619673	2018-12-11	2018-11-16	Panama	gill, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619673	hamlert_reseq_sample_074	27678	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2750989	WGS	302	41166912560	SAMEA4799755	24972414975	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764043	Illumina HiSeq 2500	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799755	ERP109991	missing	2013-04-12	Panama	North America	9.3681 N 82.2928 E	ERS2619673	2018-12-11	2018-11-16	Panama	gill, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619673	hamlert_reseq_sample_074	27678	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2750990	WGS	202	20731844184	SAMEA4799755	13661325454	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764044	Illumina HiSeq 2500	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799755	ERP109991	missing	2013-04-12	Panama	North America	9.3681 N 82.2928 E	ERS2619673	2018-12-11	2018-11-16	Panama	gill, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619673	hamlert_reseq_sample_074	27678	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2750991	WGS	202	19129735724	SAMEA4799755	12581034549	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764045	Illumina HiSeq 2500	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799755	ERP109991	missing	2013-04-12	Panama	North America	9.3681 N 82.2928 E	ERS2619673	2018-12-11	2018-11-16	Panama	gill, muscle	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619673	hamlert_reseq_sample_074	27678	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2751026	WGS	302	14233550826	SAMEA4799754	5695864786	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764080	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799754	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619672	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619672	hamlert_reseq_sample_073	18917	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2751028	WGS	302	16386343934	SAMEA4799747	6714017353	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764082	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799747	ERP109991	missing	2004-05-12	Panama	North America	10.2392 N 83.1731 E	ERS2619665	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:50Z	public	ERS2619665	hamlert_reseq_sample_066	18427	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
PRJEB27858	ERR2751030	WGS	302	14769849372	SAMEA4799753	5886940731	GEOMAR HELMHOLTZ CENTRE FOR OCEAN RESEARCH KIEL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2764084	Illumina HiSeq 3000	unspecified	PAIRED	PCR	GENOMIC	Hypoplectrus_puella	ILLUMINA	2019-01-02T00:00:00Z	SAMEA4799753	ERP109991	missing	2005-03-25	Panama	North America	9.2983 N 82.2894 E	ERS2619671	2018-12-11	2018-11-16	Panama	gill	Bocas del Toro	GEOMAR Helmholtz Centre for Ocean Research Kiel	GEOMAR Helmholtz Centre for Ocean Research Kiel	2018-12-11T17:02:44Z	2018-07-20T14:46:51Z	public	ERS2619671	hamlert_reseq_sample_072	18915	reef fish (hamlet) sample\, part of speciation study	ERC000011	1
