BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR1081384	WGS	250	14012449250	SAMEA3388874	5106157677	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160974	Illumina HiSeq 2000	14544811	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388874	ERP002088	missing	ERS724960	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T01:11:30Z	public	ERS724960	Maylandia zebra	NA	Metriaclima_zebra-sc-2288188	ERC000011	1
PRJEB15289	ERR1749503	WGS	302	36695759676	SAMEA4032066	15754640634	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818683	HiSeq X Ten	DN461233J:G8	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc29fca0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749505	WGS	302	34421376536	SAMEA4032067	14706849204	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818685	HiSeq X Ten	DN461233J:A9	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc439f20-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749507	WGS	302	34501192418	SAMEA4032068	14894331742	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818687	HiSeq X Ten	DN461233J:C9	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc5f1660-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749509	WGS	302	34942003698	SAMEA4032069	15374793100	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818689	HiSeq X Ten	DN461233J:E9	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc755d80-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749511	WGS	302	36467643674	SAMEA4032070	15499503218	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818691	HiSeq X Ten	DN461233J:G9	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc905f90-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749515	WGS	302	32734656102	SAMEA4032089	13958451270	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818695	HiSeq X Ten	DN461233J:C10	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	ccbdb120-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749504	WGS	302	34296025698	SAMEA4033278	14693818847	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818684	HiSeq X Ten	DN461233J:H8	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc385480-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749506	WGS	302	33812803048	SAMEA4033279	14549433106	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818686	HiSeq X Ten	DN461233J:B9	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc52e160-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
PRJEB15289	ERR1749508	WGS	302	34315509530	SAMEA4033280	14862859207	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818688	HiSeq X Ten	DN461233J:D9	PAIRED	RANDOM	GENOMIC	Maylandia_zebra	ILLUMINA	2016-12-07T00:00:00Z	cc6a8810-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Maylandia zebra	NA	NA	1
