Organism	BioProject	BioSample	SampleName	Sex	Isolate	Country	Continent	Locality
Oreochromis_niloticus	PRJNA59571	SAMN00117560	PRJNA167910.000638D3DF	female	000638D3DF	NA	NA	NA
Oreochromis_niloticus	PRJDB1657	SAMD00023996	SAMD00023996	NA	TR10	Singapore	Asia	Singapore
Oreochromis_niloticus	PRJDB1657	SAMD00024002	SAMD00024002	NA	TR11	Singapore	Asia	Singapore
Oreochromis_niloticus	PRJDB1657	SAMD00024006	SAMD00024006	NA	TR12	Singapore	Asia	Singapore
Oreochromis_niloticus	PRJDB1657	SAMD00024007	SAMD00024007	NA	TR13	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024008	SAMD00024008	NA	TR15	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024009	SAMD00024009	NA	TR17	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024010	SAMD00024010	NA	TR18	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024012	SAMD00024012	NA	TR25	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024013	SAMD00024013	NA	TR26	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024014	SAMD00024014	NA	TR27	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024016	SAMD00024016	NA	TR29	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024018	SAMD00024018	NA	TR30	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024019	SAMD00024019	NA	TR38	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024020	SAMD00024020	NA	TR39	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024022	SAMD00024022	NA	TR51	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024023	SAMD00024023	NA	TR52	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024024	SAMD00024024	NA	TR53	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024025	SAMD00024025	NA	TR54	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024026	SAMD00024026	NA	TR59	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024027	SAMD00024027	NA	TR61	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024028	SAMD00024028	NA	TR64	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024033	SAMD00024033	NA	TR80	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024034	SAMD00024034	NA	TR82	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024035	SAMD00024035	NA	TR83	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024036	SAMD00024036	NA	TR84	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024037	SAMD00024037	NA	TR85	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024038	SAMD00024038	NA	TR88	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024039	SAMD00024039	NA	TR9	Singapore	Asia	Singapore
Oreochromis_niloticus	PRJDB1657	SAMD00024040	SAMD00024040	NA	TR91	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024041	SAMD00024041	NA	TR93	China	Asia	China
Oreochromis_niloticus	PRJDB1657	SAMD00024015	SAMD00024015	NA	TR28	China	Asia	China
