BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	use_species
PRJEB2759	ERR110345	WGS	200	9717749800	SAMEA1317600	6346849325	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087779	Illumina HiSeq 2000	4300772	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317600	ERP001016	missing	ERS074166	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074166	Oryzias latipes	M8T_2_F-sc-2011-11-17T09:06:18Z-1305502	assembly	1
PRJEB2759	ERR110346	WGS	200	6966782800	SAMEA1317593	4599307124	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087780	Illumina HiSeq 2000	4300773	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317593	ERP001016	missing	ERS074167	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074167	Oryzias latipes	M8T_2_M-sc-2011-11-17T09:06:19Z-1305503	assembly	1
PRJEB2759	ERR110347	WGS	200	6911051600	SAMEA1317611	4609776714	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087781	Illumina HiSeq 2000	4300774	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317611	ERP001016	missing	ERS074168	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:22Z	public	ERS074168	Oryzias latipes	M8T_2_C-sc-2011-11-17T09:06:20Z-1305504	assembly	1
PRJEB2759	ERR110348	WGS	200	8946560600	SAMEA1317608	5971720896	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087782	Illumina HiSeq 2000	4300775	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317608	ERP001016	missing	ERS074169	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T16:04:42Z	public	ERS074169	Oryzias latipes	M8T_9_F-sc-2011-11-17T09:06:21Z-1305505	assembly	1
PRJEB2759	ERR110349	WGS	200	9187960800	SAMEA1317601	6225031093	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087783	Illumina HiSeq 2000	4300776	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317601	ERP001016	missing	ERS074170	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074170	Oryzias latipes	M8T_9_M-sc-2011-11-17T09:06:22Z-1305506	assembly	1
PRJEB2759	ERR110350	WGS	200	8936350200	SAMEA1317595	5982600004	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087784	Illumina HiSeq 2000	4300777	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317595	ERP001016	missing	ERS074171	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:22Z	public	ERS074171	Oryzias latipes	M8T_9_C-sc-2011-11-17T09:06:22Z-1305507	assembly	1
PRJEB2759	ERR110352	WGS	200	8910010800	SAMEA1317615	5930346130	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087786	Illumina HiSeq 2000	4300779	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317615	ERP001016	missing	ERS074173	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074173	Oryzias latipes	M8T_16_M-sc-2011-11-17T09:06:24Z-1305509	assembly	1
PRJEB2759	ERR110353	WGS	200	9108336600	SAMEA1317607	6060307170	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087787	Illumina HiSeq 2000	4300780	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317607	ERP001016	missing	ERS074174	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:24Z	public	ERS074174	Oryzias latipes	M8T_16_C-sc-2011-11-17T09:06:25Z-1305510	assembly	1
PRJEB2759	ERR110355	WGS	200	8861140600	SAMEA1317610	6309928949	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087789	Illumina HiSeq 2000	4297858	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317610	ERP001016	missing	ERS074179	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074179	Oryzias latipes	M8T_25_M-sc-2011-11-17T09:06:29Z-1305515	assembly	1
PRJEB2759	ERR110356	WGS	200	7763699800	SAMEA1317613	5576281937	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087790	Illumina HiSeq 2000	4297859	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317613	ERP001016	missing	ERS074180	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:24Z	public	ERS074180	Oryzias latipes	M8T_25_C-sc-2011-11-17T09:06:29Z-1305516	assembly	1
