Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	Isolate	sample_name	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	External_Id	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Submitter_Id	Isolation_source	geographic_location_(region_and_locality)	geographic_location_(country_and/or_sea)	host_health_state	host_scientific_name
ERR3546030	WGS	392	147207044	PRJEB34530	SAMEA5968634	86940256	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552896	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968634	ERP117450	missing	2017	Sweden	Europe	17-MIK086119	SVAcorv_20	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968634	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_20	Corvid bird	Örebro län	Sweden	not provided	Corvus corone
ERR3546031	WGS	425	159669327	PRJEB34530	SAMEA5968635	93575053	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552897	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968635	ERP117450	missing	2017	Sweden	Europe	17-MIK086174	SVAcorv_21	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968635	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_21	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546032	WGS	315	197313413	PRJEB34530	SAMEA5968636	137995076	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552898	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968636	ERP117450	missing	2017	Sweden	Europe	17-MIK086175	SVAcorv_22	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968636	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_22	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546033	WGS	350	219344909	PRJEB34530	SAMEA5968637	157351494	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552899	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968637	ERP117450	missing	2017	Sweden	Europe	17-MIK086176	SVAcorv_23	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968637	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_23	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546034	WGS	394	246390135	PRJEB34530	SAMEA5968638	178991738	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552900	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968638	ERP117450	missing	2017	Sweden	Europe	17-MIK086177	SVAcorv_24	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968638	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_24	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546035	WGS	380	237901929	PRJEB34530	SAMEA5968639	172914673	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552901	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968639	ERP117450	missing	2017	Sweden	Europe	17-MIK086181	SVAcorv_25	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968639	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_25	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546036	WGS	357	223474047	PRJEB34530	SAMEA5968640	160311907	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552902	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968640	ERP117450	missing	2017	Sweden	Europe	17-MIK086182	SVAcorv_26	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968640	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_26	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546037	WGS	391	244568497	PRJEB34530	SAMEA5968641	180478201	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552903	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968641	ERP117450	missing	2017	Sweden	Europe	17-MIK086183	SVAcorv_27	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968641	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_27	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546038	WGS	375	234736063	PRJEB34530	SAMEA5968642	172519270	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552904	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968642	ERP117450	missing	2017	Sweden	Europe	17-MIK086184	SVAcorv_28	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968642	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_28	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
ERR3546039	WGS	332	207538937	PRJEB34530	SAMEA5968643	148610518	NATIONAL VETERINARY INSTITUTE (SVA)	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3552905	Illumina MiSeq	unspecified	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni	ILLUMINA	2020-02-11T00:00:00Z	SAMEA5968643	ERP117450	missing	2017	Sweden	Europe	17-MIK086185	SVAcorv_29	2020-02-10	2020-02-10	2019-09-25	2019-09-24	SAMEA5968643	NATIONAL VETERINARY INSTITUTE (SVA)	NATIONAL VETERINARY INSTITUTE (SVA)	2020-02-10T17:04:33Z	2019-09-24T08:24:39Z	public	SVAcorv_29	Corvid bird	Gotlands län	Sweden	not provided	Corvus corone
