BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	geo_loc_name_country	geo_loc_name_country_continent	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	dangling_references (run)	use_species
PRJEB7359	ERR693839	WGS	200	15140460400	SAMEA3167980	6865767635	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638819	Illumina HiSeq 2000	CZP_312350_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167980	ERP007074	male	Czech Republic	Europe	ERS622598	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:11Z	public	ERS622598	CZP_312350	CZP_312350	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693841	WGS	214	16890781200	SAMEA3167982	8143628832	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638821	Illumina HiSeq 2000	CZP_312466_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167982	ERP007074	female	Czech Republic	Europe	ERS622600	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622600	CZP_312466	CZP_312466	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693842	WGS	200	16551518000	SAMEA3167983	7664569388	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638822	Illumina HiSeq 2000	CZP_312467_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167983	ERP007074	male	Czech Republic	Europe	ERS622601	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622601	CZP_312467	CZP_312467	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693843	WGS	200	19897478800	SAMEA3167984	8562756391	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638823	Illumina HiSeq 2000	CZP_312470_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167984	ERP007074	female	Czech Republic	Europe	ERS622602	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622602	CZP_312470	CZP_312470	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693844	WGS	227	30831748700	SAMEA3167985	15589129591	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638824	Illumina HiSeq 2000	CZP_312472_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167985	ERP007074	female	Czech Republic	Europe	ERS622603	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622603	CZP_312472	CZP_312472	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693845	WGS	200	15070833800	SAMEA3167986	6952929396	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638825	Illumina HiSeq 2000	CZP_312480_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167986	ERP007074	male	Czech Republic	Europe	ERS622604	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622604	CZP_312480	CZP_312480	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693846	WGS	200	16141886200	SAMEA3167987	7374871870	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638826	Illumina HiSeq 2000	CZP_312490_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167987	ERP007074	male	Czech Republic	Europe	ERS622605	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622605	CZP_312490	CZP_312490	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693847	WGS	200	15383890600	SAMEA3167988	6806299476	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638827	Illumina HiSeq 2000	CZP_312496_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167988	ERP007074	female	Czech Republic	Europe	ERS622606	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622606	CZP_312496	CZP_312496	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693848	WGS	213	19898792550	SAMEA3167989	9266471772	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638828	Illumina HiSeq 2000	CZP_522953_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167989	ERP007074	female	Czech Republic	Europe	ERS622607	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622607	CZP_522953	CZP_522953	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693849	WGS	200	13685848800	SAMEA3167990	6281121611	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638829	Illumina HiSeq 2000	CZP_522954_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167990	ERP007074	male	Czech Republic	Europe	ERS622608	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622608	CZP_522954	CZP_522954	GCF_000247815.1	NA	ERC000011	NA	1
