Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	sub_species	Isolate	BioSampleModel	body_site	Label	pathovar	tissue_type
SRR863646	WGS	200	4920106000	PRJNA192205	SAMN02143031	3564738147	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866511	WGS	200	5019437600	PRJNA192205	SAMN02143031	3752541918	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866513	WGS	200	3394916800	PRJNA192205	SAMN02143031	2495374501	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866517	WGS	200	3336537800	PRJNA192205	SAMN02143031	2441682925	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866522	WGS	200	4111362600	PRJNA192205	SAMN02143031	3008120322	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866594	WGS	200	3189417400	PRJNA192205	SAMN02143031	2311587970	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866596	WGS	200	3135402000	PRJNA192205	SAMN02143031	2299378717	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866601	WGS	200	4531841600	PRJNA192205	SAMN02143031	3389503919	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866603	WGS	200	4382814000	PRJNA192205	SAMN02143031	3211949706	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866903	WGS	100	3321117900	PRJNA192205	SAMN02143031	2369285160	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286211	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_3kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
