BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	Biomaterial_provider	Strain	Breed	Cultivar
PRJNA260715	SRR2040422	WGS	252	57938604696	SAMN03734669	28222920144	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1038555	Illumina HiSeq 2500	library_White Long Fin	PAIRED	RANDOM	GENOMIC	Gymnocorymbus_ternetzi	ILLUMINA	2017-04-13T00:00:00Z	White Long Fin	SRP046999	Model organism or animal	unknown	Body	not collected	not collected	not collected	NA	not collected	not collected	not collected
PRJNA260715	SRR2040423	WGS	252	70182461412	SAMN03734634	34232800782	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1038554	Illumina HiSeq 2500	library_Texas_Surface	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Texas_Surface	SRP046999	Model organism or animal	unknown	Fin	not collected	not collected	Surface	NA	not collected	not collected	not collected
PRJNA260715	SRR1927221	WGS	202	14967495626	SAMN03421319	9919752206	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958778	Illumina HiSeq 2000	library_Tinaja_C	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_C	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_C	NA	NA
PRJNA260715	SRR1927228	WGS	202	11905558820	SAMN03421321	7962324323	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958780	Illumina HiSeq 2000	library_Tinaja_D	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_D	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_D	NA	NA
PRJNA260715	SRR1927232	WGS	202	14810801802	SAMN03421322	9955420382	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958781	Illumina HiSeq 2000	library_Tinaja_5	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_5	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_5	NA	NA
PRJNA260715	SRR1927233	WGS	202	14383550390	SAMN03421323	9518526834	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958783	Illumina HiSeq 2000	library_Tinaja_E	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_E	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_E	NA	NA
PRJNA260715	SRR1927234	WGS	202	14020550734	SAMN03421324	9206965478	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958784	Illumina HiSeq 2000	library_Rascon_13	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Rascon_13	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Rascon_13	NA	NA
PRJNA260715	SRR1927235	WGS	202	14419736468	SAMN03421325	9566952867	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958785	Illumina HiSeq 2000	library_Rascon_15	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Rascon_15	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Rascon_15	NA	NA
PRJNA260715	SRR1927236	WGS	202	12297626882	SAMN03421326	8242541582	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958786	Illumina HiSeq 2000	library_Rascon_8	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Rascon_8	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Rascon_8	NA	NA
PRJNA260715	SRR1927238	WGS	202	13529447930	SAMN03421328	9028755776	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958788	Illumina HiSeq 2000	library_Aeneus_Surface	PAIRED	RANDOM	GENOMIC	Astyanax_aeneus	ILLUMINA	2017-04-13T00:00:00Z	Aeneus_Surface	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Aeneus_Surface	NA	NA
