Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	BioSampleModel	strain	lat_lon	collected_by	Host	Isolation_source	Host_disease	passage_history	host_description	host_disease_stage	host_tissue_sampled
SRR1985206	RNA-Seq	200	2238413200	PRJNA281547	SAMN03491653	1473662210	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003493	Illumina HiSeq 2000	American crow P2A	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P2	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 2	wild-caught	acute infection	serum
SRR1985208	RNA-Seq	200	1994717400	PRJNA281547	SAMN03491653	1307795693	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003495	Illumina HiSeq 2000	American crow P2C	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P2	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 2	wild-caught	acute infection	serum
SRR1985209	RNA-Seq	200	2178904000	PRJNA281547	SAMN03491656	1425031012	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003496	Illumina HiSeq 2000	American crow P3A	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P3	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 3	wild-caught	acute infection	serum
SRR1985210	RNA-Seq	200	2502039400	PRJNA281547	SAMN03491656	1639136514	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003497	Illumina HiSeq 2000	American crow P3B	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P3	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 3	wild-caught	acute infection	serum
SRR1985211	RNA-Seq	200	2375777600	PRJNA281547	SAMN03491656	1541134755	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003498	Illumina HiSeq 2000	American crow P3C	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P3	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 3	wild-caught	acute infection	serum
SRR1985212	RNA-Seq	200	2394431400	PRJNA281547	SAMN03491659	1561710313	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003499	Illumina HiSeq 2000	American crow P4A	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P4	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 4	wild-caught	acute infection	serum
SRR1985203	RNA-Seq	200	2254412800	PRJNA281547	SAMN03491650	1471311912	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX999820	Illumina HiSeq 2000	American crow P1A	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P1	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 1	wild-caught	acute infection	serum
SRR1985204	RNA-Seq	200	2795019000	PRJNA281547	SAMN03491650	1833019676	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003491	Illumina HiSeq 2000	American crow P1B	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P1	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 1	wild-caught	acute infection	serum
SRR1985205	RNA-Seq	200	2151397000	PRJNA281547	SAMN03491650	1417582499	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003492	Illumina HiSeq 2000	American crow P1C	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P1	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 1	wild-caught	acute infection	serum
SRR1985207	RNA-Seq	200	3851661600	PRJNA281547	SAMN03491653	2525078934	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003494	Illumina HiSeq 2000	American crow P2B	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P2	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 2	wild-caught	acute infection	serum
SRR1985213	RNA-Seq	200	1623070600	PRJNA281547	SAMN03491659	1057742285	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003500	Illumina HiSeq 2000	American crow P4B	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P4	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 4	wild-caught	acute infection	serum
SRR1985214	RNA-Seq	200	2819690400	PRJNA281547	SAMN03491659	1830306585	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003501	Illumina HiSeq 2000	American crow P4C	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P4	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 4	wild-caught	acute infection	serum
SRR1985215	RNA-Seq	200	2629886400	PRJNA281547	SAMN03491662	1708422890	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003502	Illumina HiSeq 2000	American crow P5A	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P5	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 5	wild-caught	acute infection	serum
SRR1985216	RNA-Seq	200	1686730200	PRJNA281547	SAMN03491662	1095602758	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003503	Illumina HiSeq 2000	American crow P5B	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P5	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 5	wild-caught	acute infection	serum
SRR1985217	RNA-Seq	200	2025653600	PRJNA281547	SAMN03491662	1322183472	COLORADO STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1003504	Illumina HiSeq 2000	American crow P5C	PAIRED	RANDOM PCR	METAGENOMIC	West_Nile_virus	ILLUMINA	2015-05-27T00:00:00Z	American crow P5	SRP057419	missing	2014	USA	North America	USA: Fort Collins\, CO	Pathogen.cl	NY99	40.4347 N 105.0400 W	Colorado State University	American crow (Corvus brachyrhynchos)	serum	West Nile virus disease	American crow passage 5	wild-caught	acute infection	serum
