BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	use_species
PRJNA304164	SRR2961328	WGS	200	9023711800	SAMN04296347	6279105081	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452605	Illumina HiSeq 2000	PMBE-1198-1198-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1198	SRP066678	Model organism or animal	female	blood	1198	Hatching	1
PRJNA304164	SRR2961671	WGS	200	5939558000	SAMN04296348	3938600011	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452864	Illumina HiSeq 2000	PMBE-973-973-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	973	SRP066678	Model organism or animal	male	blood	973	Hatching	1
PRJNA304164	SRR2961672	WGS	200	5968853200	SAMN04296348	3948392652	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452864	Illumina HiSeq 2000	PMBE-973-973-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	973	SRP066678	Model organism or animal	male	blood	973	Hatching	1
PRJNA304164	SRR2961673	WGS	200	9120847400	SAMN04296347	6350399598	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452605	Illumina HiSeq 2000	PMBE-1198-1198-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1198	SRP066678	Model organism or animal	female	blood	1198	Hatching	1
PRJNA304164	SRR2961674	WGS	200	4966215200	SAMN04296349	3450580085	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452865	Illumina HiSeq 2000	PMBE-477-477-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	477	SRP066678	Model organism or animal	male	blood	477	Hatching	1
PRJNA304164	SRR2961675	WGS	200	5030839200	SAMN04296349	3497411759	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452865	Illumina HiSeq 2000	PMBE-477-477-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	477	SRP066678	Model organism or animal	male	blood	477	Hatching	1
PRJNA304164	SRR2961676	WGS	200	6178581200	SAMN04296350	3916198816	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452866	Illumina HiSeq 2000	PMBE-935-935-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	935	SRP066678	Model organism or animal	male	blood	935	Hatching	1
PRJNA304164	SRR2961677	WGS	200	6145658600	SAMN04296350	3886247731	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452866	Illumina HiSeq 2000	PMBE-935-935-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	935	SRP066678	Model organism or animal	male	blood	935	Hatching	1
PRJNA304164	SRR2961678	WGS	200	4113005000	SAMN04296351	2618297126	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452867	Illumina HiSeq 2000	PMBE-52-52-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	52	SRP066678	Model organism or animal	male	blood	52	Hatching	1
PRJNA304164	SRR2961680	WGS	200	8947890600	SAMN04296352	5849146766	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452870	Illumina HiSeq 2000	PMBE-731-731-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	731	SRP066678	Model organism or animal	male	blood	731	Hatching	1
