BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	sub_species	use_species
PRJNA319295	SRR3511910	WGS	202	1254570288	SAMN04884558	600043328	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764074	Illumina HiSeq 2500	ww_reseq_00G03_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_00G/03	SRP074112	Model organism or animal	male	blood	00G/03	adult	2nd calendar year or older (2cy+)	2000-05-24	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511913	WGS	202	1625656206	SAMN04884558	762831745	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764077	Illumina HiSeq 2500	ww_reseq_00G03_4	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_00G/03	SRP074112	Model organism or animal	male	blood	00G/03	adult	2nd calendar year or older (2cy+)	2000-05-24	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511915	WGS	202	1648032352	SAMN04884558	773504946	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764079	Illumina HiSeq 2500	ww_reseq_00G03_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_00G/03	SRP074112	Model organism or animal	male	blood	00G/03	adult	2nd calendar year or older (2cy+)	2000-05-24	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511921	WGS	202	1362950156	SAMN04884559	634695406	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764085	Illumina HiSeq 2500	ww_reseq_00G04_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_00G/04	SRP074112	Model organism or animal	male	blood	00G/04	adult	2nd calendar year or older (2cy+)	2000-05-24	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511923	WGS	202	1673224984	SAMN04884560	769831638	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764087	Illumina HiSeq 2500	ww_reseq_00G10_2	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_00G/10	SRP074112	Model organism or animal	male	blood	00G/10	adult	2nd calendar year or older (2cy+)	2000-05-24	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511927	WGS	202	1714956366	SAMN04884560	798948545	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764091	Illumina HiSeq 2500	ww_reseq_00G10_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_00G/10	SRP074112	Model organism or animal	male	blood	00G/10	adult	2nd calendar year or older (2cy+)	2000-05-24	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511930	WGS	202	1697810808	SAMN04884643	791424932	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764094	Illumina HiSeq 2500	ww_reseq_00J01_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_00J/01	SRP074112	Model organism or animal	male	blood	00J/01	adult	2nd calendar year or older (2cy+)	2000-06-26	Sweden	Europe	Sweden: Smedstorp	59.6 N 15 E	trochilus	1
PRJNA319295	SRR3511938	WGS	202	1850584216	SAMN04884552	861345893	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764102	Illumina HiSeq 2500	ww_reseq_01K05_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01K05	SRP074112	Model organism or animal	male	blood	01K/05	adult	2nd calendar year or older (2cy+)	2001-06-09	Sweden	Europe	Sweden: Tornehamn	68.4 N 18.6 E	acredula	1
PRJNA319295	SRR3511939	WGS	202	1854415954	SAMN04884552	864834977	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764103	Illumina HiSeq 2500	ww_reseq_01K05_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01K05	SRP074112	Model organism or animal	male	blood	01K/05	adult	2nd calendar year or older (2cy+)	2001-06-09	Sweden	Europe	Sweden: Tornehamn	68.4 N 18.6 E	acredula	1
PRJNA319295	SRR3511940	WGS	202	1433023148	SAMN04884553	679544440	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764104	Illumina HiSeq 2500	ww_reseq_01K10_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01K10	SRP074112	Model organism or animal	male	blood	01K/10	adult	2nd calendar year or older (2cy+)	2001-06-09	Sweden	Europe	Sweden: Tornehamn	68.4 N 18.6 E	acredula	1
PRJNA319295	SRR3511945	WGS	202	1857025996	SAMN04884553	863611664	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764109	Illumina HiSeq 2500	ww_reseq_01K10_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01K10	SRP074112	Model organism or animal	male	blood	01K/10	adult	2nd calendar year or older (2cy+)	2001-06-09	Sweden	Europe	Sweden: Tornehamn	68.4 N 18.6 E	acredula	1
PRJNA319295	SRR3511946	WGS	202	1641692178	SAMN04881279	788416831	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764110	Illumina HiSeq 2500	ww_reseq_01L17_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01L17	SRP074112	Model organism or animal	male	blood	01L/17	adult	2nd calendar year or older (2cy+)	2001-06-11	Sweden	Europe	Sweden:Stordalen	68.33 N 19.100000000000023 E	acredula	1
PRJNA319295	SRR3511948	WGS	202	2009240066	SAMN04881279	935488783	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764112	Illumina HiSeq 2500	ww_reseq_01L17_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01L17	SRP074112	Model organism or animal	male	blood	01L/17	adult	2nd calendar year or older (2cy+)	2001-06-11	Sweden	Europe	Sweden:Stordalen	68.33 N 19.100000000000023 E	acredula	1
PRJNA319295	SRR3511950	WGS	202	2038411896	SAMN04881279	950696497	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764114	Illumina HiSeq 2500	ww_reseq_01L17_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01L17	SRP074112	Model organism or animal	male	blood	01L/17	adult	2nd calendar year or older (2cy+)	2001-06-11	Sweden	Europe	Sweden:Stordalen	68.33 N 19.100000000000023 E	acredula	1
PRJNA319295	SRR3511952	WGS	202	1375055612	SAMN04881278	649904386	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764116	Illumina HiSeq 2500	ww_reseq_01L20_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01L20	SRP074112	Model organism or animal	male	blood	01L/20	adult	2nd calendar year or older (2cy+)	2001-06-11	Sweden	Europe	Sweden:Stordalen	68.33 N 19.100000000000023 E	acredula	1
PRJNA319295	SRR3511955	WGS	202	1853353232	SAMN04881278	864681609	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764119	Illumina HiSeq 2500	ww_reseq_01L20_4	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01L20	SRP074112	Model organism or animal	male	blood	01L/20	adult	2nd calendar year or older (2cy+)	2001-06-11	Sweden	Europe	Sweden:Stordalen	68.33 N 19.100000000000023 E	acredula	1
