BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Collection_date	lat_lon	Strain	Breed	Cultivar	AssemblyName	use_species
PRJNA323589	SRR4781320	WGS	199	5326689512	SAMN05930393	3176327609	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313558	Illumina HiSeq 2500	BI-50	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-17T00:00:00Z	BI-50	SRP092392	Model organism or animal	male	caudal fin	BI-50	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781324	WGS	199	10272815852	SAMN05930394	5949467526	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313559	Illumina HiSeq 2500	BI-52	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-17T00:00:00Z	BI-52	SRP092392	Model organism or animal	female	caudal fin	BI-52	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781327	WGS	199	15553252976	SAMN05930395	8583961030	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313560	Illumina HiSeq 2500	BI-53	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-17T00:00:00Z	BI-53	SRP092392	Model organism or animal	female	caudal fin	BI-53	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781331	WGS	199	5041359960	SAMN05930396	2926309300	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313561	Illumina HiSeq 2500	BI-54	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BI-54	SRP092392	Model organism or animal	female	caudal fin	BI-54	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781334	WGS	199	13432948896	SAMN05930397	7938984432	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313562	Illumina HiSeq 2500	BI-55	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BI-55	SRP092392	Model organism or animal	female	caudal fin	BI-55	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781338	WGS	199	12968388060	SAMN05930398	7485967666	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313563	Illumina HiSeq 2500	BI-56	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BI-56	SRP092392	Model organism or animal	female	caudal fin	BI-56	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781341	WGS	199	7433895816	SAMN05930399	4172659562	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313564	Illumina HiSeq 2500	BI-5	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BI-5	SRP092392	Model organism or animal	male	caudal fin	BI-5	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781346	WGS	199	10731418544	SAMN05930400	6223235560	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313565	Illumina HiSeq 2500	BI-6	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BI-6	SRP092392	Model organism or animal	male	caudal fin	BI-6	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781349	WGS	199	5788421040	SAMN05930391	3362548184	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313566	Illumina HiSeq 2500	BI-48	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BI-48	SRP092392	Model organism or animal	female	caudal fin	BI-48	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781352	WGS	199	4656619832	SAMN05930392	2818755913	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313567	Illumina HiSeq 2500	BI-49	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BI-49	SRP092392	Model organism or animal	male	caudal fin	BI-49	adult	Not applicable	Block Island	2011-08-04	41.1818 N 71.5793 W	Not applicable	Not applicable	Not applicable	assembly	1
