BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Ecotype	lat_lon	AssemblyName	propagation
PRJNA374462	SRR5270996	WGS	152	2893469112	SAMN06323936	1474664539	UNIVERSITY OF VICTORIA	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575047	Illumina Genome Analyzer II	Pond-70214	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	WDPL_X_2009#05	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.647121802 N 132.098328481 W	assembly	WDPL_X_2009#05
PRJNA374462	SRR5270997	WGS	152	3661115168	SAMN06323935	1836769852	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575048	Illumina Genome Analyzer II	Pond-70258	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	WATT_X_2009#05	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.764633599 N 132.070859784 W	assembly	WATT_X_2009#05
PRJNA374462	SRR5270998	WGS	152	5851520592	SAMN06323934	2907936285	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575049	Illumina Genome Analyzer II	Pond-70265	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	STIU_X_2009#03	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.244507898 N 132.588068083 W	assembly	STIU_X_2009#03
PRJNA374462	SRR5270999	WGS	152	5936068312	SAMN06323933	2903802074	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575050	Illumina Genome Analyzer II	Pond-70244	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SPNC_O_2010#14	SRP100209	Model organism or animal	female	fin clip	adult	stream	53.974716204 N 131.781403361 W	assembly	SPNC_O_2010#14
PRJNA374462	SRR5271000	WGS	152	5799657888	SAMN06323932	2839951018	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575051	Illumina Genome Analyzer II	Pond-70237	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SPNC_O_2010#08	SRP100209	Model organism or animal	female	fin clip	adult	stream	53.974716204 N 131.781403361 W	assembly	SPNC_O_2010#08
PRJNA374462	SRR5271001	WGS	152	5850632456	SAMN06323931	2862372812	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575052	Illumina Genome Analyzer II	Pond-70230	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SPNC_L_2009#02	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.974716204 N 131.781403361 W	assembly	SPNC_L_2009#02
PRJNA374462	SRR5271002	WGS	152	5642913664	SAMN06323930	2773881942	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575053	Illumina Genome Analyzer II	Pond-70222	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SPNC_L_2009#01	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.974716204 N 131.781403361 W	assembly	SPNC_L_2009#01
PRJNA374462	SRR5271003	WGS	152	2888580944	SAMN06323929	1286764110	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575054	Illumina Genome Analyzer II	Pond-164298	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SLVR|X|2009#29996	SRP100209	Model organism or animal	female	fin clip	adult	lake	54.103117883 N 131.685371428 W	assembly	SLVR|X|2009#29996
PRJNA374462	SRR5271004	WGS	152	3243464312	SAMN06323928	1432372642	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575055	Illumina Genome Analyzer II	Pond-164300	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SLTC|X|X#90458	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.940503904 N 131.931242677 W	assembly	SLTC|X|X#90458
PRJNA374462	SRR5271005	WGS	152	3303969888	SAMN06323927	1467554858	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575056	Illumina Genome Analyzer II	Pond-164299	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SKON|X|X#12	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.910133626 N 132.030670465 W	assembly	SKON|X|X#12
