BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Strain	Breed	Cultivar	isol_growth_condt	estimated_size	ploidy	propagation	env_biome	use_species
PRJNA396570	SRR6466369	WGS	300	8647110503	SAMN07428836	3655777094	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3556327	NextSeq 500	BAM-389b-Ind12_S4_L002	PAIRED	RANDOM	GENOMIC	Bambusicola_thoracicus	ILLUMINA	2018-01-12T00:00:00Z	Bthov1.0	SRP128936	MIGS.eu	female	Blood	RTK389	NA	NA	NA	1999	uncalculated	uncalculated	NA	NA	NA	NA	NA	NA	genomic DNA isolated from blood sample	1032 Mb	diploid	sexual	captivity	0
PRJNA396570	SRR6466370	WGS	300	8726669522	SAMN07428836	3715072265	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3556326	NextSeq 500	BAM-389b-Ind12_S4_L001	PAIRED	RANDOM	GENOMIC	Bambusicola_thoracicus	ILLUMINA	2018-01-12T00:00:00Z	Bthov1.0	SRP128936	MIGS.eu	female	Blood	RTK389	NA	NA	NA	1999	uncalculated	uncalculated	NA	NA	NA	NA	NA	NA	genomic DNA isolated from blood sample	1032 Mb	diploid	sexual	captivity	0
PRJNA396570	SRR6466371	WGS	300	8807138287	SAMN07428836	3603513282	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3556325	NextSeq 500	BAM-389b-Ind12_S4_L004	PAIRED	RANDOM	GENOMIC	Bambusicola_thoracicus	ILLUMINA	2018-01-12T00:00:00Z	Bthov1.0	SRP128936	MIGS.eu	female	Blood	RTK389	NA	NA	NA	1999	uncalculated	uncalculated	NA	NA	NA	NA	NA	NA	genomic DNA isolated from blood sample	1032 Mb	diploid	sexual	captivity	0
PRJNA396570	SRR6466372	WGS	300	8939311383	SAMN07428836	3692525789	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3556324	NextSeq 500	BAM-389b-Ind12_S4_L003	PAIRED	RANDOM	GENOMIC	Bambusicola_thoracicus	ILLUMINA	2018-01-12T00:00:00Z	Bthov1.0	SRP128936	MIGS.eu	female	Blood	RTK389	NA	NA	NA	1999	uncalculated	uncalculated	NA	NA	NA	NA	NA	NA	genomic DNA isolated from blood sample	1032 Mb	diploid	sexual	captivity	0
PRJNA396570	SRR11303958	WGS	272	6913383495	SAMN14374552	2737296174	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909220	NextSeq 500	Gvar_RTK438_L4	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	1
PRJNA396570	SRR11303959	WGS	272	7060543392	SAMN14374552	2833042475	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909219	NextSeq 500	Gvar_RTK438_L3	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	1
PRJNA396570	SRR11303960	WGS	270	6249122600	SAMN14374550	2555930183	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909218	NextSeq 500	Glaf_RTK432_L2	PAIRED	RANDOM	GENOMIC	Gallus_lafayetii	ILLUMINA	2020-03-14T00:00:00Z	Glaf_RTK432	SRP128936	Model organism or animal	male	blood	RTK432	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	0
PRJNA396570	SRR11303961	WGS	270	6374783448	SAMN14374550	2631724494	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909217	NextSeq 500	Glaf_RTK432_L1	PAIRED	RANDOM	GENOMIC	Gallus_lafayetii	ILLUMINA	2020-03-13T00:00:00Z	Glaf_RTK432	SRP128936	Model organism or animal	male	blood	RTK432	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	0
PRJNA396570	SRR11303962	WGS	271	6632185083	SAMN14374552	2724349172	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909216	NextSeq 500	Gvar_RTK438_L2	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	1
PRJNA396570	SRR11303963	WGS	271	6745067159	SAMN14374552	2798723657	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909215	NextSeq 500	Gvar_RTK438_L1	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	1
