BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Isolation_source	disease
PRJNA431202	SRR6670124	WGS	250	24414909500	SAMN08465492	12035016233	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646953	Illumina HiSeq 2500	L6418-1_BO15-101_S9	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-101	SRP132168	Model organism or animal	male	blood	adult	missing	A_urban_2014	Site A:urban_2014	30
PRJNA431202	SRR6670127	WGS	250	22493871000	SAMN08465487	10134800343	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646950	Illumina HiSeq 2500	L6426-1_BO15-109_S24	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-109	SRP132168	Model organism or animal	male	blood	adult	missing	A_urban_2014	Site A:urban_2014	25
PRJNA431202	SRR6670129	WGS	250	22002220250	SAMN08465489	10442591596	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646948	Illumina HiSeq 2500	L6428-1_BO15-111_S16	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-111	SRP132168	Model organism or animal	female	blood	adult	missing	A_urban_2014	Site A:urban_2014	27
PRJNA431202	SRR6670131	WGS	250	23535200750	SAMN08465483	10906731786	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646946	Illumina HiSeq 2500	L6422-1_BO15-105_S13	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-105	SRP132168	Model organism or animal	female	blood	adult	missing	A_urban_2014	Site A:urban_2014	21
PRJNA431202	SRR6670133	WGS	250	20774751250	SAMN08465485	9523275760	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646944	Illumina HiSeq 2500	L6424-1_BO15-107_S15	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-107	SRP132168	Model organism or animal	male	blood	adult	missing	A_urban_2014	Site A:urban_2014	23
PRJNA431202	SRR6670135	WGS	250	7374604750	SAMN08465551	3222728660	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646942	Illumina HiSeq 2500	L5748-1_BO15-069_S18	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-069	SRP132168	Model organism or animal	male	blood	adult	missing	C3_urban_2012	Site C3:urban_2012	89
PRJNA431202	SRR6670136	WGS	250	19317821750	SAMN08465501	8645779024	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646941	Illumina HiSeq 2500	L6420-1_BO15-103_S11	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-103	SRP132168	Model organism or animal	male	blood	adult	missing	A_urban_2014	Site A:urban_2014	39
PRJNA431202	SRR6670138	WGS	250	17151856500	SAMN08465499	5804441561	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646939	Illumina HiSeq 2500	L6437-1_BO15-120_S6	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-120	SRP132168	Model organism or animal	male	blood	adult	missing	A_urban_2014	Site A:urban_2014	37
PRJNA431202	SRR6670139	WGS	250	18897606000	SAMN08465500	8418021145	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646938	Illumina HiSeq 2500	L6419-1_BO15-102_S10	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-102	SRP132168	Model organism or animal	female	blood	adult	missing	A_urban_2014	Site A:urban_2014	38
PRJNA431202	SRR6670140	WGS	250	19925601000	SAMN08465497	6700494781	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646937	Illumina HiSeq 2500	L6435-1_BO15-118_S2	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-118	SRP132168	Model organism or animal	male	blood	adult	missing	A_urban_2014	Site A:urban_2014	35
