BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Sample_Type	Breed	use_species
PRJNA450892	SRR7091411	WGS	300	15656825400	SAMN08952632	7268988875	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020410	HiSeq X Ten	PK-10	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S89	SRP144280	Model organism or animal	male	blood	8 week	PK-10	not collected	1
PRJNA450892	SRR7091412	WGS	300	16279326900	SAMN08952633	7497142608	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020409	HiSeq X Ten	PK-11	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S90	SRP144280	Model organism or animal	male	blood	8 week	PK-11	not collected	1
PRJNA450892	SRR7091413	WGS	300	13794501300	SAMN08952628	6419311018	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020408	HiSeq X Ten	2-3a	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S85	SRP144280	Model organism or animal	female	blood	8 week	2-3a	not collected	1
PRJNA450892	SRR7091414	WGS	300	15277222500	SAMN08952629	7113011357	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020407	HiSeq X Ten	2-3b	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S86	SRP144280	Model organism or animal	male	blood	8 week	2-3b	not collected	1
PRJNA450892	SRR7091415	WGS	300	13439611200	SAMN08952630	5008763584	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020406	HiSeq X Ten	5-3a	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S87	SRP144280	Model organism or animal	female	blood	8 week	5-3a	not collected	1
PRJNA450892	SRR7091416	WGS	300	12377441100	SAMN08952631	4670587005	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020405	HiSeq X Ten	5-3b	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S88	SRP144280	Model organism or animal	male	blood	8 week	5-3b	not collected	1
PRJNA450892	SRR7091418	WGS	300	14587864800	SAMN08952625	6785957716	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020403	HiSeq X Ten	2-1b	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S82	SRP144280	Model organism or animal	male	blood	8 week	2-1b	not collected	1
PRJNA450892	SRR7091419	WGS	300	14803315800	SAMN08952626	6885704560	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020402	HiSeq X Ten	2-2a	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S83	SRP144280	Model organism or animal	female	blood	8 week	2-2a	not collected	1
PRJNA450892	SRR7091420	WGS	300	10851503100	SAMN08952627	4023175492	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020401	HiSeq X Ten	2-2b	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S84	SRP144280	Model organism or animal	male	blood	8 week	2-2b	not collected	1
PRJNA450892	SRR7091421	WGS	272	11474886750	SAMN08952563	4502322221	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020400	Illumina HiSeq 2000	52	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S20	SRP144280	Model organism or animal	female	blood	8 week	52	not collected	1
