BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Biomaterial_provider	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Strain	use_species
PRJNA476023	SRR7906773	WGS	284	168283025724	SAMN09425179	57274379534	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4742913	Illumina NovaSeq 6000	EYR054	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-09-27T00:00:00Z	EYR054	SRP162701	Model organism or animal	female	blood	EYR054	adult	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA476023	SRR8300755	WGS	98	10975883870	SAMN10581952	7169608988	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5115257	Illumina Genome Analyzer II	EYR056_mp1kb	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-11T00:00:00Z	EYR056	SRP162701	Model organism or animal	female	blood	EYR056	adult	NA	NA	Australia	Oceania	Australia: Victoria	NA	36.793 S 143.412 E	NA	1
PRJNA476023	SRR8316730	WGS	302	16764544876	SAMN10592523	5576250137	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129452	Illumina NovaSeq 6000	NSW016	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	NSW016	SRP162701	Model organism or animal	female	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:New South Wales	R.Major/H.Morales	33.328 S 148.975 E	NSW016	1
PRJNA476023	SRR8316731	WGS	302	15692638458	SAMN10592522	5218160123	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129451	Illumina NovaSeq 6000	ANWC-B49226	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	ANWC-B49226	SRP162701	Model organism or animal	female	Muscle	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:New South Wales	ANWC	32.97 S 148.42 E	ANWC-B49226	1
PRJNA476023	SRR8316733	WGS	302	16523093762	SAMN10592520	5494166711	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129449	Illumina NovaSeq 6000	ANWC-B43452	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	ANWC-B43452	SRP162701	Model organism or animal	female	Muscle	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Queensland	ANWC	24.41 S 151.04 E	ANWC-B43452	1
PRJNA476023	SRR8316734	WGS	302	21294338912	SAMN10592519	7110751973	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129448	Illumina NovaSeq 6000	ANWC-B20524	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	ANWC-B20524	SRP162701	Model organism or animal	female	Muscle	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Queensland	ANWC	23.82 S 149.07 E	ANWC-B20524	1
PRJNA476023	SRR8316735	WGS	302	16592718654	SAMN10592518	5490494739	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129447	Illumina NovaSeq 6000	026-37158	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	026-37158	SRP162701	Model organism or animal	female	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	37.027 S 143.774 E	026-37158	1
PRJNA476023	SRR8316736	WGS	302	18170574128	SAMN10592517	6033319188	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129446	Illumina NovaSeq 6000	026-30490	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	026-30490	SRP162701	Model organism or animal	female	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	36.97 S 143.733 E	026-30490	1
PRJNA476023	SRR8316737	WGS	302	20867110082	SAMN10592516	6950316016	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129445	Illumina NovaSeq 6000	024-96456	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	024-96456	SRP162701	Model organism or animal	female	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	36.984 S 143.737 E	024-96456	1
PRJNA476023	SRR8316738	WGS	302	31477609792	SAMN10592515	10457546693	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129444	Illumina NovaSeq 6000	026-37174	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	026-37174	SRP162701	Model organism or animal	female	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	36.977 S 143.736 E	026-37174	1
PRJNA476023	SRR8316739	WGS	301	14540572152	SAMN10592514	4826343355	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129443	Illumina NovaSeq 6000	026-37152	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	026-37152	SRP162701	Model organism or animal	female	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	37 S 143.75 E	026-37152	1
PRJNA476023	SRR8316741	WGS	302	15404425362	SAMN10592528	5134643664	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129441	Illumina NovaSeq 6000	026-30495	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	026-30495	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	37.027 S 143.774 E	026-30495	1
PRJNA476023	SRR8316742	WGS	302	20757248522	SAMN10592531	6885263618	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129440	Illumina NovaSeq 6000	NSW041	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	NSW041	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:New South Wales	R.Major/H.Morales	33.27 S 148.59 E	NSW041	1
PRJNA476023	SRR8316744	WGS	302	15247711824	SAMN10592525	5111451782	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129438	Illumina NovaSeq 6000	026-63069	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	026-63069	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	36.982 S 143.734 E	026-63069	1
PRJNA476023	SRR8316745	WGS	302	22087870488	SAMN10592524	7326249259	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129437	Illumina NovaSeq 6000	024-96467	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	024-96467	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	36.98 S 143.74 E	024-96467	1
PRJNA476023	SRR8316746	WGS	302	19099380262	SAMN10592527	6402169147	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129436	Illumina NovaSeq 6000	027-09500	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	027-09500	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	36.975 S 143.736 E	027-09500	1
PRJNA476023	SRR8316747	WGS	302	37362147138	SAMN10592526	12402945804	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129435	Illumina NovaSeq 6000	026-37169	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	026-37169	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Victoria	Monash	36.981 S 143.737 E	026-37169	1
PRJNA476023	SRR8316748	WGS	302	20312476814	SAMN10592532	6692599157	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129434	Illumina NovaSeq 6000	NSW043	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	NSW043	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:New South Wales	R.Major/H.Morales	33.27 S 148.59 E	NSW043	1
PRJNA476023	SRR8316740	WGS	302	16489629142	SAMN10592529	5489099192	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129442	Illumina NovaSeq 6000	ANWC-B43508	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	ANWC-B43508	SRP162701	Model organism or animal	male	Muscle	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:Queensland	ANWC	22.81 S 150.6 E	ANWC-B43508	1
PRJNA476023	SRR8316743	WGS	302	21033618084	SAMN10592530	6958204162	DEAKIN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5129439	Illumina NovaSeq 6000	NSW039	PAIRED	RANDOM	GENOMIC	Eopsaltria_australis	ILLUMINA	2018-12-14T00:00:00Z	NSW039	SRP162701	Model organism or animal	male	Blood	NA	adult	not collected	Paul Sunnucks \, Monash University	Australia	Oceania	Australia:New South Wales	R.Major/H.Morales	33.27 S 148.59 E	NSW039	1
