BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Strain	Breed	Individual
PRJNA510861	SRR8380182	WGS	300	89158070700	SAMN10617437	33396627603	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190275	HiSeq X Ten	GM_INS250	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	GM00	SRP174892	Model organism or animal	female	muscle	12 months	GM00	German Mirror carp	NA
PRJNA510861	SRR8380183	WGS	250	13243162000	SAMN10617436	6480718949	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190274	Illumina HiSeq 2500	HB_INS20kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	HB00	SRP174892	Model organism or animal	female	muscle	12 months	HB00	Wuyuan Hebao red carp	NA
PRJNA510861	SRR8380184	WGS	250	47039312250	SAMN10617436	23877720529	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190273	Illumina HiSeq 2500	HB_INS10kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	HB00	SRP174892	Model organism or animal	female	muscle	12 months	HB00	Wuyuan Hebao red carp	NA
PRJNA510861	SRR8380185	WGS	250	32562896750	SAMN10617436	17705182150	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190272	Illumina HiSeq 2500	HB_INS5kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	HB00	SRP174892	Model organism or animal	female	muscle	12 months	HB00	Wuyuan Hebao red carp	NA
PRJNA510861	SRR8380186	WGS	300	35694376500	SAMN10617437	14592234823	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190271	HiSeq X Ten	GM_INS10kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	GM00	SRP174892	Model organism or animal	female	muscle	12 months	GM00	German Mirror carp	NA
PRJNA510861	SRR8380187	WGS	300	37175336400	SAMN10617437	16776245655	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190270	HiSeq X Ten	GM_INS5kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	GM00	SRP174892	Model organism or animal	female	muscle	12 months	GM00	German Mirror carp	NA
PRJNA510861	SRR8380188	WGS	300	58853960400	SAMN10617437	25914374865	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190269	HiSeq X Ten	GM_INS2kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	GM00	SRP174892	Model organism or animal	female	muscle	12 months	GM00	German Mirror carp	NA
PRJNA510861	SRR8380189	WGS	300	73544144100	SAMN10617437	29475681362	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190268	HiSeq X Ten	GM_INS500	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	GM00	SRP174892	Model organism or animal	female	muscle	12 months	GM00	German Mirror carp	NA
PRJNA510861	SRR8380190	WGS	300	18773283600	SAMN10617437	7808578814	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190267	HiSeq X Ten	GM_INS20kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	GM00	SRP174892	Model organism or animal	female	muscle	12 months	GM00	German Mirror carp	NA
PRJNA510861	SRR8380191	WGS	300	17251936800	SAMN10617437	7214500203	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190266	HiSeq X Ten	GM_INS15kb	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	GM00	SRP174892	Model organism or animal	female	muscle	12 months	GM00	German Mirror carp	NA
PRJNA510861	SRR8380193	WGS	300	29124218700	SAMN10617513	11907505645	CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5190264	HiSeq X Ten	SP20_reseq	PAIRED	RANDOM	GENOMIC	Cyprinus_carpio	ILLUMINA	2019-01-07T00:00:00Z	SP20	SRP174892	Model organism or animal	unknown	muscle	12 months	Mirror carp	German Mirror carp	sample15
