BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Strain	Cultivar	birth_location	PHENOTYPE	Individual	sequencing_info
PRJNA530695	SRR8868196	WGS	300	5338151452	SAMN11322346	1980160264	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655317	Illumina HiSeq 3000	LITC_UP_14_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_UP_14_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_UP_14	adult	freshwater	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868197	WGS	300	7084314950	SAMN11322345	2619594032	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655316	Illumina HiSeq 3000	LITC_UP_13_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_UP_13_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_UP_13	adult	freshwater	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868199	WGS	300	8818435498	SAMN11322329	3215489203	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655314	Illumina HiSeq 3000	Tyne2_16_2014.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne2_16_2014.caudalfin.DNAseq	SRP191488	Model organism or animal	male	caudalfin	Tyne2_16_2014	adult	marine	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868206	WGS	293	35096030277	SAMN11322328	16017390671	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655307	Illumina HiSeq 3000	Tyne2_14.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne2_14.caudalfin.DNAseq	SRP191488	Model organism or animal	male	caudalfin	Tyne2_14	adult	marine	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868207	WGS	299	5901899986	SAMN11322327	2168481321	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655306	Illumina HiSeq 3000	Tyne2_12.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne2_12.caudalfin.DNAseq	SRP191488	Model organism or animal	male	caudalfin	Tyne2_12	adult	marine	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868216	WGS	300	9169710615	SAMN11322348	3382727663	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655297	Illumina HiSeq 3000	LITC_UP_16_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_UP_16_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_UP_16	adult	freshwater	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868217	WGS	300	4625094553	SAMN11322347	1706168831	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655296	Illumina HiSeq 3000	LITC_UP_15_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_UP_15_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_UP_15	adult	freshwater	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868220	WGS	300	7692026114	SAMN11322344	2861344930	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655293	Illumina HiSeq 3000	LITC_UP_12_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_UP_12_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_UP_12	adult	freshwater	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868221	WGS	300	9572262021	SAMN11322343	3548488634	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655292	Illumina HiSeq 3000	LITC_DWN_9_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_DWN_9_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_DWN_9	adult	marine	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868222	WGS	300	11130270764	SAMN11322342	4135508989	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655291	Illumina HiSeq 3000	LITC_DWN_8_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_DWN_8_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_DWN_8	adult	marine	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
