BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	Isolation_source	Sample_Name	flowcell_barcode (run)	geographic_location_(country_and/or_sea	instrument_name (run)	lane (run)	material_type (exp)	project (exp)	project (run)	run_barcode (run)	run_name (run)	analysis_type (exp)	analysis_type (run)	region)	sample_type (exp)
PRJNA59571	SRR071587	WGS	72	2774595096	SAMN00117560	18529995056	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030380	Illumina Genome Analyzer II	Solexa-24164	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	613YCAAXX	missing	6	Genomic DNA	G1286	G1286	613YCAAXX100405	100405_SL-XBB_0012_FC613YCAAXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-XBB	21438
PRJNA59571	SRR071588	WGS	202	27983965768	SAMN00117560	16540407470	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030381	Illumina HiSeq 2000	Solexa-36943	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	4	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071589	WGS	202	6110317796	SAMN00117560	37935883812	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030382	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	7	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071591	WGS	202	28144463050	SAMN00117560	16687192658	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030384	Illumina HiSeq 2000	Solexa-36940	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	6	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071592	WGS	72	2779491096	SAMN00117560	18553287108	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030385	Illumina Genome Analyzer II	Solexa-24164	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	613YCAAXX	missing	5	Genomic DNA	G1286	G1286	613YCAAXX100405	100405_SL-XBB_0012_FC613YCAAXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-XBB	21438
PRJNA59571	SRR071593	WGS	202	6777146460	SAMN00117560	42177809707	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030386	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	5	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071594	WGS	202	6497756826	SAMN00117560	40216027098	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030387	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	3	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071595	WGS	152	1380186144	SAMN00117560	778085470	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030388	Illumina Genome Analyzer II	Solexa-29439	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61NE9AAXX	missing	5	Genomic DNA	G1286	G1286	61NE9AAXX100603	100603_SL-XDE_0007_FC61NE9AAXX	Blood	WGSNoRef	WGSNoRef	SL-XDE	22085
PRJNA59571	SRR071597	WGS	202	28268337530	SAMN00117560	16755529939	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030390	Illumina HiSeq 2000	Solexa-36940	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	8	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071598	WGS	152	1652974920	SAMN00117560	898609966	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030391	Illumina Genome Analyzer II	Solexa-29409	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61NE9AAXX	missing	7	Genomic DNA	G1286	G1286	61NE9AAXX100603	100603_SL-XDE_0007_FC61NE9AAXX	Blood	WGSNoRef	WGSNoRef	SL-XDE	22085
